ShortState,State,NumAirports,Population,AirportsPer1KPeople,Date100Deaths,Date1000Deaths,CurrentDeaths
AK,Alaska,763,"731,545",10.42998038,2020-11-17,,305
AL,Alabama,314,"4,903,185",0.6404000665,2020-04-14,2020-07-03,10148
AR,Arkansas,308,"3,017,825",1.020602586,2020-05-18,2020-09-15,5319
AS,American Samoa,3,"55,312",0.5423777842,,,0
AZ,Arizona,298,"7,278,717",0.4094128127,2020-04-11,2020-06-05,16328
CA,California,881,"39,512,223",0.2229689785,2020-03-28,2020-04-18,54124
CO,Colorado,447,"5,758,736",0.7762120021,2020-04-03,2020-05-12,5989
CT,Connecticut,123,"3,565,287",0.3449932642,2020-04-02,2020-04-17,7704
DC,District of Columbia,16,"705,749",0.2267094959,2020-04-20,2021-02-24,1030
DE,Delaware,41,"973,764",0.421046578,2020-04-21,2021-01-15,1473
FL,Florida,884,"21,477,737",0.4115889863,2020-04-02,2020-04-24,32266
GA,Georgia,458,"10,617,423",0.4313664436,2020-03-31,2020-04-28,17906
GU,Guam,4,"167,294",0.2391000275,2020-11-17,,133
HI,Hawaii,46,"1,415,872",0.3248881255,2020-09-16,,445
IA,Iowa,279,"3,155,070",0.8842909983,2020-04-24,2020-08-19,5558
ID,Idaho,301,"1,787,065",1.684325976,2020-07-10,2020-12-04,1879
IL,Illinois,698,"12,671,821",0.5508284879,2020-04-01,2020-04-16,23014
IN,Indiana,520,"6,732,219",0.7724050569,2020-04-03,2020-04-29,12737
KS,Kansas,371,"2,913,314",1.273463828,2020-04-20,2020-10-28,4812
KY,Kentucky,262,"4,467,673",0.5864350412,2020-04-14,2020-09-09,4819
LA,Louisiana,502,"4,648,794",1.079849957,2020-03-27,2020-04-14,9748
MA,Massachusetts,225,"6,949,503",0.3237641598,2020-03-30,2020-04-12,16417
MD,Maryland,222,"6,045,680",0.3672043509,2020-04-04,2020-04-26,7955
ME,Maine,217,"1,344,212",1.614328692,2020-06-09,,706
MI,Michigan,473,"9,986,857",0.473622482,2020-03-25,2020-04-04,16658
MN,Minnesota,473,"5,639,632",0.8387072064,2020-04-17,2020-05-29,6550
MO,Missouri,510,"6,137,428",0.8309669783,2020-04-11,2020-06-30,8161
MP,Northern Marianas,11,"57,216",1.92253915,,,2
MS,Mississippi,235,"2,976,149",0.789611004,2020-04-14,2020-06-24,6808
MT,Montana,304,"1,068,778",2.844369925,2020-08-28,2021-01-05,1381
NC,North Carolina,481,"10,488,084",0.4586157014,2020-04-14,2020-06-08,11502
ND,North Dakota,281,"762,062",3.68736402,2020-07-22,2020-12-05,1478
NE,Nebraka,245,"1,934,408",1.266537359,2020-05-12,2020-12-01,2113
NH,New Hampshire,186,"1,359,711",1.367937746,2020-05-07,2021-01-27,1184
NJ,New Jersey,321,"8,882,190",0.3613973581,2020-03-26,2020-04-04,23574
NM,New Mexico,171,"2,096,829",0.8155171452,2020-04-27,2020-10-30,3808
NV,Nevada,140,"3,080,156",0.4545224333,2020-04-08,2020-08-13,5037
NY,New York,552,"19,453,561",0.2837526764,2020-03-22,2020-03-30,39029
OH,Ohio,651,"11,689,100",0.5569291049,2020-04-04,2020-05-01,17656
OK,Oklahoma,464,"3,956,971",1.172614103,2020-04-14,2020-09-26,4534
OR,Oregon,423,"4,217,737",1.002907483,2020-04-30,2020-12-05,2296
PA,Pennsylvania,758,"12,801,989",0.5920954939,2020-04-03,2020-04-19,24349
PR,Puerto Rico,47,"3,193,694",0.147165007,2020-05-07,2020-11-21,2059
RI,Rhode island,22,"1,059,361",0.207672361,2020-04-16,2020-07-23,2547
SC,South Carolina,196,"5,148,714",0.3806775828,2020-04-15,2020-07-16,8754
SD,South Dakota,185,"884,659",2.091201243,2020-07-09,2020-12-03,1900
TN,Tennessee,339,"6,833,174",0.4961091288,2020-04-11,2020-07-29,11543
TX,Texas,2036,"28,995,881",0.7021686977,2020-04-04,2020-05-08,44451
UT,Utah,156,"3,205,958",0.4865940228,2020-05-26,2020-12-10,1976
VT,Vermont,92,"623,989",1.474384965,2020-12-15,,9596
VA,Virginia,431,"8,535,519",0.504948791,2020-04-09,2020-05-16,25
VI,Virgin Islands,8,"106,631",0.7502508651,,,208
WA,Washington,539,"7,614,893",0.7078234717,2020-03-20,2020-05-17,5041
WI,Wisconsin,540,"5,822,434",0.927447181,2020-04-09,2020-08-08,7106
WV,West Virginia,125,"1,792,147",0.6974874271,2020-07-17,2020-12-15,2325
WY,Wyoming,121,"578,759",2.090680231,2020-11-04,,682
