,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,analysis_url,duration_ms,time_signature
0,1,SPORT,TopGunn,672968,https://open.spotify.com/track/5Zzhe6zsBBnqCEXmJtiDXM,0.899,0.545,7.0,-6.853,1.0,0.121,0.019,7.77e-05,0.114,0.452,85.006,audio_features,5Zzhe6zsBBnqCEXmJtiDXM,spotify:track:5Zzhe6zsBBnqCEXmJtiDXM,https://api.spotify.com/v1/audio-analysis/5Zzhe6zsBBnqCEXmJtiDXM,162065.0,4.0
1,2,THE SCOTTS,THE SCOTTS,471039,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0.0,-7.648,0.0,0.0514,0.233,0.0,0.157,0.28,129.97899999999998,audio_features,39Yp9wwQiSRIDOvrVg7mbk,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,165978.0,4.0
2,3,Blinding Lights,The Weeknd,465564,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040.0,4.0
3,4,NO SKRUB$,TopGunn,442805,https://open.spotify.com/track/6iV6FxCwplHr8IzwdnX5xX,0.8390000000000001,0.637,1.0,-6.825,1.0,0.0563,0.0415,0.0,0.0818,0.634,101.978,audio_features,6iV6FxCwplHr8IzwdnX5xX,spotify:track:6iV6FxCwplHr8IzwdnX5xX,https://api.spotify.com/v1/audio-analysis/6iV6FxCwplHr8IzwdnX5xX,162853.0,4.0
4,5,Toosie Slide,Drake,442007,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y,,,,,,,,,,,,,,,,,
5,6,SKRIV TIL MIG (feat. ICEKIID),TopGunn,362719,https://open.spotify.com/track/2c4lM4r3EAwZIHzaNqJPRm,0.701,0.493,1.0,-9.71,0.0,0.336,0.252,0.000162,0.125,0.669,70.148,audio_features,2c4lM4r3EAwZIHzaNqJPRm,spotify:track:2c4lM4r3EAwZIHzaNqJPRm,https://api.spotify.com/v1/audio-analysis/2c4lM4r3EAwZIHzaNqJPRm,168095.0,5.0
6,7,Roses - Imanbek Remix,SAINt JHN,353392,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,,,,,,,,,,,,,,,,,
7,8,MASH,TopGunn,336595,https://open.spotify.com/track/7p3h4ZE3d44Yp1NtVUvAEa,0.8290000000000001,0.396,1.0,-7.874,1.0,0.47,0.0387,0.0,0.601,0.369,161.826,audio_features,7p3h4ZE3d44Yp1NtVUvAEa,spotify:track:7p3h4ZE3d44Yp1NtVUvAEa,https://api.spotify.com/v1/audio-analysis/7p3h4ZE3d44Yp1NtVUvAEa,118889.0,4.0
8,9,Min Bror (Josef Og Elias X ICEKIID),Josef Og Elias,327948,https://open.spotify.com/track/7ucXd8IbW11iUAOqxmZo7k,0.8859999999999999,0.595,4.0,-6.246,0.0,0.10099999999999999,0.16,0.0,0.111,0.7390000000000001,119.896,audio_features,7ucXd8IbW11iUAOqxmZo7k,spotify:track:7ucXd8IbW11iUAOqxmZo7k,https://api.spotify.com/v1/audio-analysis/7ucXd8IbW11iUAOqxmZo7k,166725.0,4.0
9,10,ROCKSTAR (feat. Roddy Ricch),DaBaby,318021,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11.0,-7.956,1.0,0.16399999999999998,0.247,0.0,0.10099999999999999,0.49700000000000005,89.977,audio_features,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733.0,4.0
10,11,LA DANZA,Branco,309440,https://open.spotify.com/track/5M9phYS7KgM3ZXKTSlgLv0,0.78,0.665,11.0,-6.017,0.0,0.162,0.228,1.25e-05,0.0967,0.5920000000000001,127.20100000000001,audio_features,5M9phYS7KgM3ZXKTSlgLv0,spotify:track:5M9phYS7KgM3ZXKTSlgLv0,https://api.spotify.com/v1/audio-analysis/5M9phYS7KgM3ZXKTSlgLv0,185711.0,4.0
11,12,Klovne,RH,292123,https://open.spotify.com/track/6TDGzRZH53BojuIb2XPaYf,0.861,0.545,3.0,-6.776,0.0,0.19,0.24600000000000002,0.000131,0.15,0.629,106.06700000000001,audio_features,6TDGzRZH53BojuIb2XPaYf,spotify:track:6TDGzRZH53BojuIb2XPaYf,https://api.spotify.com/v1/audio-analysis/6TDGzRZH53BojuIb2XPaYf,133742.0,4.0
12,13,Tættere End Vi Tror,P3,270919,https://open.spotify.com/track/4j5QQ3eZNpmxT4inyVEaAU,0.657,0.5589999999999999,9.0,-5.6979999999999995,1.0,0.0538,0.33799999999999997,0.0,0.207,0.433,89.958,audio_features,4j5QQ3eZNpmxT4inyVEaAU,spotify:track:4j5QQ3eZNpmxT4inyVEaAU,https://api.spotify.com/v1/audio-analysis/4j5QQ3eZNpmxT4inyVEaAU,271206.0,4.0
13,14,BELLA,TopGunn,269493,https://open.spotify.com/track/7a3USKN1W3QrzN4HQwcMnz,0.759,0.344,0.0,-9.46,0.0,0.222,0.29100000000000004,0.0,0.11599999999999999,0.475,158.875,audio_features,7a3USKN1W3QrzN4HQwcMnz,spotify:track:7a3USKN1W3QrzN4HQwcMnz,https://api.spotify.com/v1/audio-analysis/7a3USKN1W3QrzN4HQwcMnz,148598.0,4.0
14,15,EN GANG MERE,TopGunn,265249,https://open.spotify.com/track/3lYWewgc6roSKDsgrV6PPb,0.802,0.409,2.0,-7.715,1.0,0.289,0.162,0.0,0.297,0.7609999999999999,75.548,audio_features,3lYWewgc6roSKDsgrV6PPb,spotify:track:3lYWewgc6roSKDsgrV6PPb,https://api.spotify.com/v1/audio-analysis/3lYWewgc6roSKDsgrV6PPb,167523.0,4.0
15,16,Blueberry Faygo,Lil Mosey,265243,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.5539999999999999,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.03399999999999,audio_features,22LAwLoDA5b4AaGSkg6bKW,spotify:track:22LAwLoDA5b4AaGSkg6bKW,https://api.spotify.com/v1/audio-analysis/22LAwLoDA5b4AaGSkg6bKW,162547.0,4.0
16,17,WHIP WHOP,I$WAAL,262210,https://open.spotify.com/track/1PxGMn63iT7sc4eS52c9UP,0.748,0.55,1.0,-8.376,1.0,0.311,0.0343,0.0,0.193,0.455,99.986,audio_features,1PxGMn63iT7sc4eS52c9UP,spotify:track:1PxGMn63iT7sc4eS52c9UP,https://api.spotify.com/v1/audio-analysis/1PxGMn63iT7sc4eS52c9UP,211840.0,4.0
17,18,Righteous,Juice WRLD,253806,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,,,,,,,,,,,,,,,,,
18,19,In Your Eyes,The Weeknd,253036,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,0.667,0.7190000000000001,7.0,-5.371,0.0,0.0346,0.00285,8.1e-05,0.0736,0.7170000000000001,100.021,audio_features,7szuecWAPwGoV1e5vGu8tl,spotify:track:7szuecWAPwGoV1e5vGu8tl,https://api.spotify.com/v1/audio-analysis/7szuecWAPwGoV1e5vGu8tl,237520.0,4.0
19,20,death bed (coffee for your head),Powfu,245830,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,0.726,0.431,8.0,-8.765,0.0,0.135,0.731,0.0,0.696,0.348,144.026,audio_features,7eJMfftS33KTjuF7lTsMCx,spotify:track:7eJMfftS33KTjuF7lTsMCx,https://api.spotify.com/v1/audio-analysis/7eJMfftS33KTjuF7lTsMCx,173333.0,4.0
20,21,Say So,Doja Cat,238765,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,0.787,0.6729999999999999,11.0,-4.577,0.0,0.158,0.256,3.57e-06,0.0904,0.7859999999999999,110.962,audio_features,3Dv1eDb0MEgF93GpLXlucZ,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/audio-analysis/3Dv1eDb0MEgF93GpLXlucZ,237893.0,4.0
21,22,Don't Start Now,Dua Lipa,228513,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,0.7929999999999999,0.7929999999999999,11.0,-4.521,0.0,0.083,0.0123,0.0,0.0951,0.679,123.95,audio_features,3PfIrDoz19wz7qK7tYeu62,spotify:track:3PfIrDoz19wz7qK7tYeu62,https://api.spotify.com/v1/audio-analysis/3PfIrDoz19wz7qK7tYeu62,183290.0,4.0
