,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,analysis_url,duration_ms,time_signature
0,1,Blinding Lights,The Weeknd,357415,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.33399999999999996,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040.0,4.0
1,2,Tässäkö tää oli? (feat. Leavings-Orkesteri),Arttu Wiskari,338206,https://open.spotify.com/track/3DxOpRtAzmGviFnsn0aM8m,,,,,,,,,,,,,,,,,
2,3,100%,Keko Salata,281311,https://open.spotify.com/track/6WVeP76nOIPfbGN67aJ2Pq,0.735,0.6759999999999999,8.0,-6.381,1.0,0.0826,0.7020000000000001,5.34e-06,0.10400000000000001,0.331,102.115,audio_features,6WVeP76nOIPfbGN67aJ2Pq,spotify:track:6WVeP76nOIPfbGN67aJ2Pq,https://api.spotify.com/v1/audio-analysis/6WVeP76nOIPfbGN67aJ2Pq,203749.0,4.0
3,4,THE SCOTTS,THE SCOTTS,261117,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0.0,-7.648,0.0,0.0514,0.233,0.0,0.157,0.28,129.97899999999998,audio_features,39Yp9wwQiSRIDOvrVg7mbk,spotify:track:39Yp9wwQiSRIDOvrVg7mbk,https://api.spotify.com/v1/audio-analysis/39Yp9wwQiSRIDOvrVg7mbk,165978.0,4.0
4,5,Penelope (feat. Clever),william,259021,https://open.spotify.com/track/4NVHhia6yRB4RsRTlpzsz3,,,,,,,,,,,,,,,,,
5,6,Roses - Imanbek Remix,SAINt JHN,257129,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,,,,,,,,,,,,,,,,,
6,7,Boss Bitch,Doja Cat,241588,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,0.7070000000000001,0.955,10.0,-4.593,0.0,0.222,0.127,0.0,0.20199999999999999,0.575,125.98899999999999,audio_features,78qd8dvwea0Gosb6Fe6j3k,spotify:track:78qd8dvwea0Gosb6Fe6j3k,https://api.spotify.com/v1/audio-analysis/78qd8dvwea0Gosb6Fe6j3k,134240.0,4.0
7,8,Tivolit,BEHM,237495,https://open.spotify.com/track/2utt674vADrUfuHtwWZ6hn,,,,,,,,,,,,,,,,,
8,9,Epäröimättä hetkeekään,Elastinen,213358,https://open.spotify.com/track/6efE8dnOMEq6omfJK96lCM,,,,,,,,,,,,,,,,,
9,10,Ikuinen vappu,JVG,211483,https://open.spotify.com/track/4ycKgmGOtvuJZVPyvBpVVU,0.6679999999999999,0.767,7.0,-5.285,0.0,0.0262,0.0602,0.0,0.185,0.705,121.06299999999999,audio_features,4ycKgmGOtvuJZVPyvBpVVU,spotify:track:4ycKgmGOtvuJZVPyvBpVVU,https://api.spotify.com/v1/audio-analysis/4ycKgmGOtvuJZVPyvBpVVU,187653.0,4.0
10,11,Toosie Slide,Drake,201023,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,0.83,0.49,1.0,-8.82,0.0,0.209,0.289,3.04e-06,0.113,0.845,81.604,audio_features,466cKvZn1j45IpxDdYZqdA,spotify:track:466cKvZn1j45IpxDdYZqdA,https://api.spotify.com/v1/audio-analysis/466cKvZn1j45IpxDdYZqdA,247059.0,4.0
11,12,Hei rakas,BEHM,187328,https://open.spotify.com/track/0tc8HGXosQDC8TTAaON1TP,,,,,,,,,,,,,,,,,
12,13,Blueberry Faygo,Lil Mosey,182188,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,0.774,0.5539999999999999,0.0,-7.909,1.0,0.0383,0.207,0.0,0.132,0.349,99.03399999999999,audio_features,22LAwLoDA5b4AaGSkg6bKW,spotify:track:22LAwLoDA5b4AaGSkg6bKW,https://api.spotify.com/v1/audio-analysis/22LAwLoDA5b4AaGSkg6bKW,162547.0,4.0
13,14,"Parempi yksin - Recorded At Spotify Studios, Stockholm",Pyhimys,175465,https://open.spotify.com/track/6C8yvrWVybDnGYZa5yHBHm,0.715,0.764,8.0,-7.789,0.0,0.0558,0.217,0.00143,0.0896,0.26,125.09,audio_features,6C8yvrWVybDnGYZa5yHBHm,spotify:track:6C8yvrWVybDnGYZa5yHBHm,https://api.spotify.com/v1/audio-analysis/6C8yvrWVybDnGYZa5yHBHm,182827.0,4.0
14,15,Kings & Queens,Ava Max,173875,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn,,,,,,,,,,,,,,,,,
15,16,Breaking Me,Topic,168163,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8.0,-5.652,0.0,0.218,0.223,0.0,0.129,0.664,122.031,audio_features,3H7ihDc1dqLriiWXwsc2po,spotify:track:3H7ihDc1dqLriiWXwsc2po,https://api.spotify.com/v1/audio-analysis/3H7ihDc1dqLriiWXwsc2po,166794.0,4.0
16,17,Salt,Ava Max,164486,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV,0.693,0.835,6.0,-3.242,1.0,0.0623,0.131,0.0,0.073,0.743,128.05700000000002,audio_features,7vgv8KZBSo0TPzyIWG9yzV,spotify:track:7vgv8KZBSo0TPzyIWG9yzV,https://api.spotify.com/v1/audio-analysis/7vgv8KZBSo0TPzyIWG9yzV,180283.0,4.0
17,18,Tuhansien Lärvien Maa,Petri Nygård,163588,https://open.spotify.com/track/6fSIWSitgWxDUUY4WcaEpe,,,,,,,,,,,,,,,,,
18,19,Righteous,Juice WRLD,161077,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t,,,,,,,,,,,,,,,,,
