,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,analysis_url,duration_ms,time_signature
0,1,Bande organisée,Kofs,5742186,https://open.spotify.com/track/205HNJ73cgpC0LAOnuQiWT,0.9009999999999999,0.9390000000000001,6.0,-2.762,1.0,0.27399999999999997,0.11699999999999999,0.0,0.0643,0.805,142.94799999999998,audio_features,205HNJ73cgpC0LAOnuQiWT,spotify:track:205HNJ73cgpC0LAOnuQiWT,https://api.spotify.com/v1/audio-analysis/205HNJ73cgpC0LAOnuQiWT,356347.0,4.0
1,2,Freeze Raël,Freeze corleone,3368667,https://open.spotify.com/track/6DPrYPPGYK218iVIZDix3i,0.645,0.545,11.0,-10.675,0.0,0.0511,0.375,2.3199999999999998e-05,0.106,0.0379,137.09,audio_features,6DPrYPPGYK218iVIZDix3i,spotify:track:6DPrYPPGYK218iVIZDix3i,https://api.spotify.com/v1/audio-analysis/6DPrYPPGYK218iVIZDix3i,268947.0,4.0
2,3,Rap catéchisme,Freeze corleone,2323435,https://open.spotify.com/track/2J0AJV5DsKyDuX1qEgJngB,0.7390000000000001,0.524,1.0,-10.05,1.0,0.289,0.172,0.000518,0.0665,0.38299999999999995,73.89,audio_features,2J0AJV5DsKyDuX1qEgJngB,spotify:track:2J0AJV5DsKyDuX1qEgJngB,https://api.spotify.com/v1/audio-analysis/2J0AJV5DsKyDuX1qEgJngB,178253.0,4.0
3,4,Hors ligne,Freeze corleone,2093770,https://open.spotify.com/track/0wUC6Pc1BCRJc1aXbF7yxp,0.804,0.605,11.0,-8.373,1.0,0.245,0.15,9.02e-05,0.23800000000000002,0.563,138.064,audio_features,0wUC6Pc1BCRJc1aXbF7yxp,spotify:track:0wUC6Pc1BCRJc1aXbF7yxp,https://api.spotify.com/v1/audio-analysis/0wUC6Pc1BCRJc1aXbF7yxp,278560.0,4.0
4,5,Macaroni (feat. Ninho),Leto,2055568,https://open.spotify.com/track/4Z9CNGHElj2rLkB8mQdvnA,0.5920000000000001,0.49200000000000005,9.0,-8.462,1.0,0.16899999999999998,0.272,0.0,0.0785,0.384,128.067,audio_features,4Z9CNGHElj2rLkB8mQdvnA,spotify:track:4Z9CNGHElj2rLkB8mQdvnA,https://api.spotify.com/v1/audio-analysis/4Z9CNGHElj2rLkB8mQdvnA,223747.0,4.0
5,6,Grand bain,Dadju,1998217,https://open.spotify.com/track/1fyVvRQsa095P7QK5Um7xH,,,,,,,,,,,,,,,,,
6,7,À la fête,UZI,1660848,https://open.spotify.com/track/0qARyMVNjA6q1uxxO3nofB,,,,,,,,,,,,,,,,,
7,8,Joli bébé,Naza,1652755,https://open.spotify.com/track/6ARJHbYGKNatxHVghTkWWp,,,,,,,,,,,,,,,,,
8,9,On sait jamais (feat. Niska),PLK,1607121,https://open.spotify.com/track/216QmkNpU3hIjeZtGocb9B,0.764,0.812,7.0,-4.946000000000001,1.0,0.179,0.20199999999999999,0.0,0.126,0.742,139.961,audio_features,216QmkNpU3hIjeZtGocb9B,spotify:track:216QmkNpU3hIjeZtGocb9B,https://api.spotify.com/v1/audio-analysis/216QmkNpU3hIjeZtGocb9B,194973.0,4.0
9,10,Carbozo 2.0 - Extrait du projet Carbozo 2020,Carbozo,1512632,https://open.spotify.com/track/7LFVUDIK2h3quyDMybadon,0.5539999999999999,0.7490000000000001,0.0,-5.66,1.0,0.465,0.397,0.0,0.198,0.42700000000000005,108.41799999999999,audio_features,7LFVUDIK2h3quyDMybadon,spotify:track:7LFVUDIK2h3quyDMybadon,https://api.spotify.com/v1/audio-analysis/7LFVUDIK2h3quyDMybadon,112027.0,3.0
10,11,Angela,Hatik,1503630,https://open.spotify.com/track/6ab3CQvDlAVttThZucwGQ1,0.65,0.469,2.0,-8.676,0.0,0.184,0.7020000000000001,0.249,0.106,0.37799999999999995,191.85299999999998,audio_features,6ab3CQvDlAVttThZucwGQ1,spotify:track:6ab3CQvDlAVttThZucwGQ1,https://api.spotify.com/v1/audio-analysis/6ab3CQvDlAVttThZucwGQ1,236000.0,4.0
11,12,Scellé part.2,Freeze corleone,1482313,https://open.spotify.com/track/5IkofYa6Ac1plKIf6nYkDE,0.8290000000000001,0.33899999999999997,1.0,-11.394,0.0,0.39299999999999996,0.225,3.79e-06,0.11900000000000001,0.304,135.931,audio_features,5IkofYa6Ac1plKIf6nYkDE,spotify:track:5IkofYa6Ac1plKIf6nYkDE,https://api.spotify.com/v1/audio-analysis/5IkofYa6Ac1plKIf6nYkDE,170107.0,4.0
12,13,My Salsa,Franglish,1451037,https://open.spotify.com/track/7IJIj326qJJA6oi6EpFCBD,0.841,0.574,4.0,-6.183,0.0,0.0834,0.276,0.0,0.0752,0.5479999999999999,98.999,audio_features,7IJIj326qJJA6oi6EpFCBD,spotify:track:7IJIj326qJJA6oi6EpFCBD,https://api.spotify.com/v1/audio-analysis/7IJIj326qJJA6oi6EpFCBD,209816.0,4.0
13,14,Pilote (feat. Hamza),PLK,1448981,https://open.spotify.com/track/12GV2Wr4p1hBWQCrQcVsew,0.8440000000000001,0.562,2.0,-7.744,0.0,0.13699999999999998,0.217,0.0006360000000000001,0.114,0.574,94.976,audio_features,12GV2Wr4p1hBWQCrQcVsew,spotify:track:12GV2Wr4p1hBWQCrQcVsew,https://api.spotify.com/v1/audio-analysis/12GV2Wr4p1hBWQCrQcVsew,187307.0,4.0
14,15,Tarkov,Freeze corleone,1406646,https://open.spotify.com/track/0aSFXdXIOnQz9GTxU4zZ2f,0.743,0.43700000000000006,2.0,-10.754000000000001,1.0,0.33399999999999996,0.0797,2.64e-05,0.10800000000000001,0.0815,127.071,audio_features,0aSFXdXIOnQz9GTxU4zZ2f,spotify:track:0aSFXdXIOnQz9GTxU4zZ2f,https://api.spotify.com/v1/audio-analysis/0aSFXdXIOnQz9GTxU4zZ2f,230827.0,4.0
15,16,C'est mort,PLK,1374101,https://open.spotify.com/track/2N9Ms8Xb9aQw63O5jKKM9b,0.622,0.8220000000000001,8.0,-6.234,1.0,0.16,0.266,0.0,0.11699999999999999,0.491,86.007,audio_features,2N9Ms8Xb9aQw63O5jKKM9b,spotify:track:2N9Ms8Xb9aQw63O5jKKM9b,https://api.spotify.com/v1/audio-analysis/2N9Ms8Xb9aQw63O5jKKM9b,198587.0,4.0
16,17,Jolie nana,Aya Nakamura,1357052,https://open.spotify.com/track/34FbkFgAbv4ffvhL2XQMVm,,,,,,,,,,,,,,,,,
17,18,Coco,Wejdene,1289469,https://open.spotify.com/track/593oNiMJ6d9PQkaOLOvIDo,,,,,,,,,,,,,,,,,
18,19,Cabeza,OBOY,1272286,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9,0.884,0.5660000000000001,5.0,-7.398,0.0,0.046,0.12300000000000001,3.25e-06,0.106,0.565,106.98299999999999,audio_features,66tNDqYNR2S6Svwgm3BMi9,spotify:track:66tNDqYNR2S6Svwgm3BMi9,https://api.spotify.com/v1/audio-analysis/66tNDqYNR2S6Svwgm3BMi9,148035.0,4.0
19,20,Djomb - Bien ou quoi,Bosh,1269040,https://open.spotify.com/track/0KBwGCY9RYD9t2zjeW4h48,0.945,0.6759999999999999,1.0,-6.6,1.0,0.207,0.172,0.00036,0.322,0.631,123.109,audio_features,0KBwGCY9RYD9t2zjeW4h48,spotify:track:0KBwGCY9RYD9t2zjeW4h48,https://api.spotify.com/v1/audio-analysis/0KBwGCY9RYD9t2zjeW4h48,141893.0,4.0
20,21,Stretch 4,Freeze corleone,1266306,https://open.spotify.com/track/1EmeUETPQOquxljE27h699,0.7170000000000001,0.633,2.0,-9.368,1.0,0.38,0.18,0.0,0.129,0.5589999999999999,132.852,audio_features,1EmeUETPQOquxljE27h699,spotify:track:1EmeUETPQOquxljE27h699,https://api.spotify.com/v1/audio-analysis/1EmeUETPQOquxljE27h699,174853.0,4.0
21,22,Mood (feat. iann dior),24kGoldn,1248148,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,0.7,0.722,7.0,-3.5580000000000003,0.0,0.0369,0.221,0.0,0.272,0.7559999999999999,90.98899999999999,audio_features,3tjFYV6RSFtuktYl3ZtYcq,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526.0,4.0
22,23,La meilleure,Hatik,1194011,https://open.spotify.com/track/2g63GxCZUmhsr4XoKR93F6,0.757,0.517,8.0,-8.499,0.0,0.0672,0.652,0.00527,0.17300000000000001,0.218,102.008,audio_features,2g63GxCZUmhsr4XoKR93F6,spotify:track:2g63GxCZUmhsr4XoKR93F6,https://api.spotify.com/v1/audio-analysis/2g63GxCZUmhsr4XoKR93F6,185120.0,4.0
23,24,ROCKSTAR (feat. Roddy Ricch),DaBaby,1127976,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11.0,-7.956,1.0,0.16399999999999998,0.247,0.0,0.10099999999999999,0.49700000000000005,89.977,audio_features,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733.0,4.0
24,25,N'y pense plus,Tayc,1089885,https://open.spotify.com/track/0RUavidTwACAYUoNhAxNNp,,,,,,,,,,,,,,,,,
25,26,Moto,Mac Tyer,1061290,https://open.spotify.com/track/5DH03Qs3SSG12TNUCSAzMi,0.9309999999999999,0.605,7.0,-6.615,1.0,0.36,0.153,0.0,0.214,0.601,127.00399999999999,audio_features,5DH03Qs3SSG12TNUCSAzMi,spotify:track:5DH03Qs3SSG12TNUCSAzMi,https://api.spotify.com/v1/audio-analysis/5DH03Qs3SSG12TNUCSAzMi,217562.0,4.0
