week,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2019-01-04--2019-01-11,0.6676206896551725,0.631718965517241,5.545977011494253,-6.474747126436784,0.6206896551724138,0.09492873563218387,0.22235364942528732,0.0202451224137931,0.1710160919540231,0.4458844827586206,118.65879885057474,209557.8275862069,3.954022988505747
2019-01-11--2019-01-18,0.6725406976744185,0.6354825581395346,5.662790697674419,-6.400872093023259,0.622093023255814,0.09320988372093021,0.22148600000000007,0.02475176343023255,0.17552965116279076,0.442277906976744,120.37315697674426,211007.37209302327,3.953488372093023
2019-01-18--2019-01-25,0.6752544378698222,0.6368757396449702,5.437869822485207,-6.395485207100594,0.6449704142011834,0.09260236686390529,0.2135986094674555,0.019264899585798818,0.17674023668639055,0.44432426035502953,120.36450295857993,211525.73964497042,3.9585798816568047
2019-01-25--2019-02-01,0.6797894736842104,0.6393040935672513,5.380116959064328,-6.284614035087719,0.6374269005847953,0.09664736842105257,0.2191204736842104,0.01837523538011696,0.17567953216374269,0.45249181286549695,120.14254970760234,210866.40935672514,3.9649122807017543
2019-02-01--2019-02-08,0.6793720930232557,0.6406918604651163,5.476744186046512,-6.330552325581399,0.6395348837209303,0.10049418604651159,0.21511390116279064,0.01709371110465116,0.17614534883720928,0.45750174418604633,119.55199418604657,210702.98837209304,3.9651162790697674
2019-02-08--2019-02-15,0.6799017341040462,0.6419017341040462,5.398843930635838,-6.248306358381504,0.6416184971098265,0.098150289017341,0.21464173988439306,0.011812164855491327,0.17351849710982659,0.4650416184971097,117.67092485549135,206615.8323699422,3.959537572254335
2019-02-15--2019-02-22,0.6646723163841809,0.6434406779661019,5.581920903954802,-6.203598870056495,0.655367231638418,0.09834519774011295,0.2104158813559321,0.007936529887005649,0.1701813559322034,0.45337966101694904,118.30204519774016,208091.06214689265,3.9548022598870056
2019-02-22--2019-03-01,0.6716971428571427,0.6425314285714288,5.588571428571429,-6.309691428571429,0.6457142857142857,0.1017314285714286,0.20742063428571428,0.009302625428571427,0.1713074285714286,0.45360114285714265,117.6267257142857,210429.82857142857,3.96
2019-03-01--2019-03-08,0.6663786982248524,0.6398165680473374,5.627218934911243,-6.266159763313608,0.6272189349112426,0.10170355029585797,0.22102490532544383,0.010193424852071007,0.1760698224852071,0.4577526627218932,116.64605917159761,209876.50887573964,3.9526627218934913
2019-03-08--2019-03-15,0.6771286549707604,0.641309941520468,5.6608187134502925,-6.211859649122806,0.5672514619883041,0.1109046783625731,0.23345192397660802,0.007532713976608186,0.17266374269005846,0.46889181286549686,114.9179298245615,211471.25146198831,3.9766081871345027
2019-03-15--2019-03-22,0.6749999999999999,0.6432272727272729,5.636363636363637,-6.2076818181818165,0.6022727272727273,0.10635397727272725,0.22214402840909087,0.007392066704545455,0.17263125,0.4721403409090909,115.73434659090917,208998.5284090909,3.965909090909091
2019-03-22--2019-03-29,0.6678505747126434,0.6421321839080462,5.5344827586206895,-6.183902298850573,0.6206896551724138,0.09757988505747128,0.22855255172413794,0.009428999252873565,0.1757436781609196,0.46933965517241377,116.17459195402299,208474.4195402299,3.9770114942528734
2019-03-29--2019-04-05,0.6602977528089887,0.6170117977528092,5.410112359550562,-6.761443820224718,0.6123595505617978,0.10542865168539328,0.2637518483146067,0.01778959516853933,0.17839831460674163,0.452826966292135,115.18958988764045,208064.94943820225,3.966292134831461
2019-04-05--2019-04-12,0.6621396648044694,0.6053525139664807,5.418994413407821,-7.042502793296089,0.6145251396648045,0.10838044692737435,0.2628306089385473,0.029906461340782127,0.17905195530726262,0.44649441340782137,115.71891620111731,206345.87150837987,3.9664804469273744
2019-04-12--2019-04-19,0.6677039106145253,0.6177435754189948,5.5307262569832405,-6.9133128491620095,0.5921787709497207,0.11370446927374304,0.25614440782122894,0.021580866592178775,0.1790782122905028,0.45542178770949726,115.57597206703913,206471.30726256984,3.9720670391061454
2019-04-19--2019-04-26,0.6716853932584271,0.6253320224719104,5.550561797752809,-6.844196629213482,0.6067415730337079,0.11100449438202248,0.25099876966292134,0.017017284550561805,0.1792730337078652,0.47059494382022465,117.5081573033708,208207.88202247192,3.9831460674157304
2019-04-26--2019-05-03,0.666994350282486,0.6101022598870057,5.480225988700565,-6.950333333333335,0.6214689265536724,0.11533672316384184,0.2713140734463277,0.01651624531073447,0.1841384180790961,0.45621977401129943,116.6120734463277,208376.96045197741,3.9548022598870056
2019-05-03--2019-05-10,0.6643579545454547,0.6172846590909091,5.6022727272727275,-6.869698863636364,0.625,0.11292613636363637,0.2712813125,0.01608098579545455,0.17772215909090916,0.4649653409090908,117.9740625,207566.98295454544,3.9545454545454546
2019-05-10--2019-05-17,0.6630465116279072,0.6300465116279071,5.337209302325581,-6.742174418604648,0.6395348837209303,0.10886162790697676,0.25692948255813947,0.019806760697674414,0.17459069767441865,0.47544011627906985,117.34881395348839,208629.18604651163,3.9593023255813953
2019-05-17--2019-05-24,0.6517555555555556,0.622738888888889,5.688888888888889,-6.696516666666667,0.6388888888888888,0.10505777777777779,0.2649878944444444,0.014085483166666671,0.1912822222222221,0.461951111111111,117.93599999999992,209857.63888888888,3.9555555555555557
2019-05-24--2019-05-31,0.6595690607734809,0.623734806629834,5.458563535911602,-6.727469613259671,0.6464088397790055,0.09785524861878452,0.2661463038674033,0.012696049999999999,0.18338508287292812,0.4803104972375691,118.51111049723757,212822.41988950275,3.9502762430939224
2019-05-31--2019-06-07,0.658446327683616,0.6168361581920903,5.338983050847458,-6.81064406779661,0.6497175141242938,0.10375084745762714,0.28239458192090394,0.013397491807909605,0.17742033898305087,0.47337344632768386,120.0022824858757,213394.22598870058,3.9604519774011298
2019-06-07--2019-06-14,0.6634388888888892,0.6331055555555555,5.227777777777778,-6.692466666666666,0.6333333333333333,0.10810388888888889,0.2701018944444445,0.014623645333333333,0.17346999999999999,0.48656000000000005,120.24921111111114,212360.42222222223,3.9833333333333334
2019-06-14--2019-06-21,0.6686931818181819,0.6303352272727273,5.198863636363637,-6.653687500000004,0.6420454545454546,0.10139204545454547,0.2701543863636364,0.013364847329545454,0.1726244318181818,0.4837613636363635,119.46352272727273,211567.9090909091,3.977272727272727
2019-06-21--2019-06-28,0.6709470588235293,0.6411823529411765,5.405882352941177,-6.440870588235292,0.6411764705882353,0.09514058823529407,0.2667055411764706,0.013528721764705884,0.18127647058823526,0.489660588235294,118.53675882352942,209670.53529411764,3.9941176470588236
2019-06-28--2019-07-05,0.6728214285714288,0.6383035714285712,5.154761904761905,-6.455077380952381,0.6726190476190477,0.10174702380952379,0.25692822619047617,0.012667189761904766,0.18243571428571426,0.5012696428571427,118.370880952381,208351.26785714287,3.994047619047619
2019-07-05--2019-07-12,0.6738654970760234,0.6425847953216374,5.1988304093567255,-6.2987017543859665,0.6549707602339181,0.10152748538011688,0.2520079064327486,0.012304378304093568,0.17833684210526315,0.5035146198830408,118.97978362573103,206412.29824561405,3.9941520467836256
2019-07-12--2019-07-19,0.6817542857142858,0.639382857142857,5.2457142857142856,-6.4181028571428556,0.6457142857142857,0.10479828571428572,0.2608994685714287,0.013395828742857146,0.18359542857142863,0.5063771428571425,116.88283428571438,205449.61714285714,3.9771428571428573
2019-07-19--2019-07-26,0.6782601156069366,0.6340982658959537,5.271676300578035,-6.4360057803468225,0.6473988439306358,0.10607283236994222,0.263979809248555,0.011876650809248556,0.1825104046242775,0.506922543352601,116.50534682080927,205618.38150289017,3.994219653179191
2019-07-26--2019-08-02,0.6787471264367819,0.6329712643678164,5.425287356321839,-6.441511494252873,0.6436781609195402,0.1100954022988506,0.25314575862068966,0.01238181787356322,0.1788919540229885,0.5061873563218386,117.79087931034489,205380.11494252874,3.9885057471264367
2019-08-02--2019-08-09,0.6757882352941178,0.6339705882352941,5.476470588235294,-6.4775352941176445,0.6411764705882353,0.10482352941176473,0.2574891882352942,0.012711366647058827,0.1732576470588235,0.5084505882352935,117.45803529411772,206258.91176470587,3.988235294117647
2019-08-09--2019-08-16,0.6803647058823529,0.6364823529411765,5.370588235294117,-6.431417647058824,0.6294117647058823,0.10832294117647062,0.2521689529411765,0.01268845005882353,0.17217352941176475,0.5052447058823525,117.77494705882359,206068.16470588234,3.988235294117647
2019-08-16--2019-08-23,0.6782558139534886,0.6384651162790698,5.424418604651163,-6.422500000000002,0.627906976744186,0.10463197674418603,0.24857390697674414,0.012827370523255813,0.17115581395348836,0.5063406976744184,118.2571162790698,205733.93604651163,3.9767441860465116
2019-08-23--2019-08-30,0.6805536723163844,0.6232768361581923,5.322033898305085,-6.544451977401132,0.6271186440677966,0.10379717514124294,0.269439827118644,0.01118990175141243,0.16918983050847455,0.4975288135593218,118.1646836158192,205455.395480226,3.983050847457627
2019-08-30--2019-09-06,0.6702342857142859,0.6106365714285715,5.588571428571429,-6.75195428571429,0.6114285714285714,0.10293200000000005,0.27819943999999985,0.013644755314285714,0.16030228571428573,0.48066628571428577,118.56126285714281,207763.7257142857,3.9657142857142857
2019-09-06--2019-09-13,0.6752795031055904,0.6246832298136646,5.546583850931677,-6.432900621118016,0.6149068322981367,0.10961739130434785,0.2574469689440993,0.0070186065838509365,0.164644099378882,0.4979795031055898,119.73529192546587,203648.4347826087,3.9565217391304346
2019-09-13--2019-09-20,0.6643693181818185,0.6343636363636365,5.301136363636363,-6.23886363636364,0.625,0.10828693181818187,0.2545265454545454,0.009724439261363639,0.1638522727272727,0.4825210227272725,120.51732386363636,203944.00568181818,3.965909090909091
2019-09-20--2019-09-27,0.6789306358381505,0.6298092485549134,5.271676300578035,-6.225641618497114,0.6242774566473989,0.11306705202312149,0.2467701849710982,0.006911840115606934,0.16833757225433527,0.49310231213872796,121.01461849710984,202312.31791907514,3.9826589595375723
2019-09-27--2019-10-04,0.6716057142857145,0.6300400000000002,5.2628571428571425,-6.261045714285717,0.6171428571428571,0.11221885714285723,0.2612252685714286,0.007295955600000001,0.17041828571428572,0.49590685714285654,119.88680571428577,202982.14857142858,3.9828571428571427
2019-10-04--2019-10-11,0.6653977272727274,0.6269602272727273,5.261363636363637,-6.266102272727275,0.5965909090909091,0.10861761363636367,0.25516603409090916,0.005371614034090909,0.15791136363636366,0.4831710227272724,121.14137499999997,204478.61931818182,3.977272727272727
2019-10-11--2019-10-18,0.6650344827586206,0.6258793103448276,5.17816091954023,-6.366494252873569,0.5919540229885057,0.1069856321839081,0.255780459770115,0.005445492068965516,0.16024195402298852,0.48412701149425263,121.14018390804597,204362.0172413793,3.9482758620689653
2019-10-18--2019-10-25,0.6634186046511628,0.6229069767441862,5.273255813953488,-6.515360465116279,0.5930232558139535,0.10752906976744186,0.2603356976744186,0.0056770925,0.15915348837209312,0.48784360465116267,120.57990697674424,205794.2093023256,3.941860465116279
2019-10-25--2019-11-01,0.6586842105263159,0.634812865497076,5.3274853801169595,-6.264362573099419,0.5730994152046783,0.11163040935672518,0.25048853801169596,0.0024654210526315794,0.17871871345029242,0.4831538011695904,118.52435672514618,200925.33333333334,3.9707602339181287
2019-11-01--2019-11-08,0.6566036585365854,0.6296707317073172,5.445121951219512,-6.324286585365856,0.5792682926829268,0.1046243902439024,0.26799012195121946,0.009819945548780486,0.16812987804878052,0.48893353658536565,120.20112804878045,202563.7987804878,3.9634146341463414
2019-11-08--2019-11-15,0.6527305389221558,0.6242095808383233,5.149700598802395,-6.521257485029943,0.6047904191616766,0.10777844311377245,0.2696466467065868,0.00958298592814371,0.1626407185628743,0.48779700598802384,119.85489820359284,204115.77844311378,3.92814371257485
2019-11-15--2019-11-22,0.6512787878787879,0.616969696969697,5.2303030303030305,-6.5322000000000005,0.6060606060606061,0.10811999999999998,0.2841746060606061,0.00799536406060606,0.1684921212121212,0.4926551515151513,120.42245454545447,205547.69090909092,3.9454545454545453
2019-11-22--2019-11-29,0.6420943396226417,0.6013018867924526,5.352201257861635,-6.666201257861636,0.6352201257861635,0.10502641509433966,0.3088080503144656,0.008279006226415093,0.16236918238993708,0.49391886792452805,120.2566666666667,204649.3396226415,3.943396226415094
