,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,analysis_url,duration_ms,time_signature
0,1,"Calipso (with Dardust) (feat. Sfera Ebbasta, Mahmood & Fabri Fibra)",Charlie Charles,3604358,https://open.spotify.com/track/45zJRuzK9e6AO527NOW7Fy,0.775,0.6609999999999999,6.0,-6.178,0.0,0.183,0.0261,2.09e-05,0.11199999999999999,0.467,112.029,audio_features,45zJRuzK9e6AO527NOW7Fy,spotify:track:45zJRuzK9e6AO527NOW7Fy,https://api.spotify.com/v1/audio-analysis/45zJRuzK9e6AO527NOW7Fy,190700.0,4.0
1,2,Ostia Lido,J-AX,3337114,https://open.spotify.com/track/2J9TGb5CRT4omfAgnKmXn5,,,,,,,,,,,,,,,,,
2,3,JAMBO,Takagi & Ketra,3148952,https://open.spotify.com/track/4H5arInh2BLVz94mIibTrv,0.74,0.777,7.0,-5.425,0.0,0.163,0.0399,0.0,0.0835,0.767,129.98,audio_features,4H5arInh2BLVz94mIibTrv,spotify:track:4H5arInh2BLVz94mIibTrv,https://api.spotify.com/v1/audio-analysis/4H5arInh2BLVz94mIibTrv,157024.0,4.0
3,4,Veleno 7,Gemitaiz,2893932,https://open.spotify.com/track/3fV9z98dnQLSIPIMMJXCm7,,,,,,,,,,,,,,,,,
4,5,Dove e quando,Benji & Fede,2255865,https://open.spotify.com/track/5BAJMdCQqax0oBQigQTl5h,,,,,,,,,,,,,,,,,
5,6,Corazón Morado (feat. Sfera Ebbasta),Elettra Lamborghini,2068756,https://open.spotify.com/track/6stctriNY7UC7KyHcG7ZBH,0.73,0.8029999999999999,1.0,-4.57,1.0,0.0438,0.0171,7.72e-06,0.142,0.483,92.98700000000001,audio_features,6stctriNY7UC7KyHcG7ZBH,spotify:track:6stctriNY7UC7KyHcG7ZBH,https://api.spotify.com/v1/audio-analysis/6stctriNY7UC7KyHcG7ZBH,211589.0,4.0
6,7,I Don't Care (with Justin Bieber),Ed Sheeran,2032983,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns,,,,,,,,,,,,,,,,,
7,8,bad guy,Billie Eilish,1992826,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7.0,-10.965,1.0,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088.0,4.0
8,9,Mambo Salentino,Boomdabash,1919865,https://open.spotify.com/track/7piIo15vVy3ULGXSpFs5xc,0.9059999999999999,0.662,3.0,-6.707000000000001,0.0,0.319,0.248,0.0,0.067,0.863,100.035,audio_features,7piIo15vVy3ULGXSpFs5xc,spotify:track:7piIo15vVy3ULGXSpFs5xc,https://api.spotify.com/v1/audio-analysis/7piIo15vVy3ULGXSpFs5xc,155414.0,4.0
9,10,Look Back at It (feat. CAPO PLAZA),A Boogie Wit da Hoodie,1830019,https://open.spotify.com/track/34Jnbbi34tPtYdutY5Pd6G,0.7859999999999999,0.552,1.0,-8.189,1.0,0.0944,0.423,0.0,0.0873,0.551,96.025,audio_features,34Jnbbi34tPtYdutY5Pd6G,spotify:track:34Jnbbi34tPtYdutY5Pd6G,https://api.spotify.com/v1/audio-analysis/34Jnbbi34tPtYdutY5Pd6G,225541.0,4.0
