,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,analysis_url,duration_ms,time_signature
0,1,ドライフラワー,優里,2507410,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,0.46299999999999997,0.624,7.0,-5.118,1.0,0.0274,0.426,0.0,0.221,0.521,147.929,audio_features,7dH0dpi751EoguDDg3xx6J,spotify:track:7dH0dpi751EoguDDg3xx6J,https://api.spotify.com/v1/audio-analysis/7dH0dpi751EoguDDg3xx6J,285587.0,4.0
1,2,Dynamite,BTS,2040715,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,4saklk6nie3yiGePpBwUoc,spotify:track:4saklk6nie3yiGePpBwUoc,https://api.spotify.com/v1/audio-analysis/4saklk6nie3yiGePpBwUoc,199054.0,4.0
2,3,夜に駆ける,YOASOBI,1967058,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB,0.6629999999999999,0.871,8.0,-5.287000000000001,1.0,0.03,0.00299,1.8000000000000001e-06,0.337,0.826,130.025,audio_features,6MCjmGYlw6mQVWRFVgBRvB,spotify:track:6MCjmGYlw6mQVWRFVgBRvB,https://api.spotify.com/v1/audio-analysis/6MCjmGYlw6mQVWRFVgBRvB,258840.0,4.0
3,4,勿忘,Awesome City Club,1744335,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h,0.44799999999999995,0.447,6.0,-7.1610000000000005,0.0,0.045,0.23399999999999999,0.0,0.382,0.299,78.861,audio_features,0XZyF9lv6diMt4bxThOL0h,spotify:track:0XZyF9lv6diMt4bxThOL0h,https://api.spotify.com/v1/audio-analysis/0XZyF9lv6diMt4bxThOL0h,251533.0,4.0
4,5,うっせぇわ,Ado,1703051,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n,0.525,0.978,11.0,-1.072,0.0,0.0815,0.00485,0.0,0.06,0.5770000000000001,178.06900000000002,audio_features,6EzZn96uOc9JsVGNRpx06n,spotify:track:6EzZn96uOc9JsVGNRpx06n,https://api.spotify.com/v1/audio-analysis/6EzZn96uOc9JsVGNRpx06n,204920.0,4.0
5,6,怪物,YOASOBI,1665102,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,0.627,0.8240000000000001,1.0,-3.4189999999999996,1.0,0.11800000000000001,0.0699,6.57e-05,0.31,0.774,169.935,audio_features,06XQvnJb53SUYmlWIhUXUi,spotify:track:06XQvnJb53SUYmlWIhUXUi,https://api.spotify.com/v1/audio-analysis/06XQvnJb53SUYmlWIhUXUi,206000.0,4.0
6,7,群青,YOASOBI,1643733,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk,0.725,0.853,10.0,-3.193,1.0,0.0516,0.305,0.0,0.115,0.7070000000000001,134.991,audio_features,1zd35Y44Blc1CwwVbW3Qnk,spotify:track:1zd35Y44Blc1CwwVbW3Qnk,https://api.spotify.com/v1/audio-analysis/1zd35Y44Blc1CwwVbW3Qnk,248027.0,4.0
7,8,炎,LiSA,1384265,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn,0.47700000000000004,0.685,2.0,-4.553999999999999,1.0,0.0325,0.105,0.0,0.27699999999999997,0.308,152.04,audio_features,0cSkn2l67csUljEy0EEBPn,spotify:track:0cSkn2l67csUljEy0EEBPn,https://api.spotify.com/v1/audio-analysis/0cSkn2l67csUljEy0EEBPn,275000.0,4.0
8,9,虹,Masaki Suda,1284970,https://open.spotify.com/track/7AIj86wFWqm7X1TZ2hzHwS,0.5479999999999999,0.6,5.0,-5.0489999999999995,1.0,0.0297,0.071,0.0,0.192,0.29600000000000004,143.961,audio_features,7AIj86wFWqm7X1TZ2hzHwS,spotify:track:7AIj86wFWqm7X1TZ2hzHwS,https://api.spotify.com/v1/audio-analysis/7AIj86wFWqm7X1TZ2hzHwS,258733.0,4.0
9,10,Kaikai Kitan,Eve,1268064,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos,0.584,0.9109999999999999,5.0,-3.515,0.0,0.09,0.0119,0.0,0.11900000000000001,0.606,92.50200000000001,audio_features,6y4GYuZszeXNOXuBFsJlos,spotify:track:6y4GYuZszeXNOXuBFsJlos,https://api.spotify.com/v1/audio-analysis/6y4GYuZszeXNOXuBFsJlos,221426.0,4.0
10,11,"Stand by me, Stand by you.",HIRAIDAI,1191270,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh,0.66,0.5760000000000001,3.0,-5.627000000000001,1.0,0.0363,0.0879,0.0,0.0599,0.561,80.97800000000001,audio_features,7DyS11kB1YNrfDzQqtjmTh,spotify:track:7DyS11kB1YNrfDzQqtjmTh,https://api.spotify.com/v1/audio-analysis/7DyS11kB1YNrfDzQqtjmTh,193013.0,4.0
11,12,猫 〜THE FIRST TAKE ver.〜,DISH//,1183286,https://open.spotify.com/track/25BJRpLBe3i6d8okphoRAm,0.635,0.578,8.0,-6.749,1.0,0.132,0.539,0.0,0.115,0.584,77.065,audio_features,25BJRpLBe3i6d8okphoRAm,spotify:track:25BJRpLBe3i6d8okphoRAm,https://api.spotify.com/v1/audio-analysis/25BJRpLBe3i6d8okphoRAm,273893.0,4.0
12,13,ハルジオン,YOASOBI,1180528,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv,0.687,0.873,8.0,-3.852,1.0,0.0335,0.0545,0.0,0.318,0.884,130.024,audio_features,08YwAPnX8sygJUXG9rvhDv,spotify:track:08YwAPnX8sygJUXG9rvhDv,https://api.spotify.com/v1/audio-analysis/08YwAPnX8sygJUXG9rvhDv,198600.0,4.0
13,14,かくれんぼ,優里,1162735,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ,0.6709999999999999,0.505,9.0,-7.575,1.0,0.0629,0.41700000000000004,0.0,0.124,0.311,156.019,audio_features,0JTjZnuciQH4M3620aMDtZ,spotify:track:0JTjZnuciQH4M3620aMDtZ,https://api.spotify.com/v1/audio-analysis/0JTjZnuciQH4M3620aMDtZ,271093.0,4.0
