,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,analysis_url,duration_ms,time_signature
0,1,Pa Mí - Remix,Dalex,144661,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH,,,,,,,,,,,,,,,,,
1,2,Solita,Sech,119725,https://open.spotify.com/track/6Bc48Fgqgb6j4K6JdkZTNk,,,,,,,,,,,,,,,,,
2,3,Me mato,Boza,103331,https://open.spotify.com/track/6ehcQY0jLuWqOIeVmUJFow,0.768,0.802,2.0,-3.5810000000000004,1.0,0.0594,0.0878,4.0799999999999996e-05,0.129,0.934,100.98100000000001,audio_features,6ehcQY0jLuWqOIeVmUJFow,spotify:track:6ehcQY0jLuWqOIeVmUJFow,https://api.spotify.com/v1/audio-analysis/6ehcQY0jLuWqOIeVmUJFow,200187.0,4.0
3,4,Con Calma,Daddy Yankee,97295,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,0.737,0.86,8.0,-2.6519999999999997,0.0,0.0593,0.11,1.94e-06,0.0574,0.6559999999999999,93.98899999999999,audio_features,5w9c2J52mkdntKOmRLeM2m,spotify:track:5w9c2J52mkdntKOmRLeM2m,https://api.spotify.com/v1/audio-analysis/5w9c2J52mkdntKOmRLeM2m,193227.0,4.0
4,5,Secreto,Anuel AA,95181,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,0.807,0.8029999999999999,11.0,-4.156000000000001,1.0,0.126,0.602,0.00853,0.136,0.706,91.98700000000001,audio_features,5W83ErFkO3aKAIS1WMi6u0,spotify:track:5W83ErFkO3aKAIS1WMi6u0,https://api.spotify.com/v1/audio-analysis/5W83ErFkO3aKAIS1WMi6u0,258800.0,4.0
5,6,Calma - Remix,Pedro Capó,80796,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,,,,,,,,,,,,,,,,,
6,7,Baila Baila Baila,Ozuna,76307,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,0.816,0.754,11.0,-2.75,0.0,0.111,0.0361,0.0,0.217,0.5329999999999999,99.96600000000001,audio_features,7uH27oIt4a6cIFCA8ZPcyG,spotify:track:7uH27oIt4a6cIFCA8ZPcyG,https://api.spotify.com/v1/audio-analysis/7uH27oIt4a6cIFCA8ZPcyG,158400.0,4.0
7,8,Sígueme - Remix,Feid,75527,https://open.spotify.com/track/3pAwh9JxSJxWyUy3BUBPb4,,,,,,,,,,,,,,,,,
8,9,Lollipop,Boza,68540,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ,0.667,0.935,10.0,-2.98,0.0,0.16399999999999998,0.365,0.0,0.105,0.877,194.115,audio_features,4AFdUHHDslEOgQOzGjIJwJ,spotify:track:4AFdUHHDslEOgQOzGjIJwJ,https://api.spotify.com/v1/audio-analysis/4AFdUHHDslEOgQOzGjIJwJ,227653.0,4.0
9,10,Qué Más Pues,Sech,66501,https://open.spotify.com/track/5O3cRP4ZHC9vvVIHtET1f0,0.563,0.565,8.0,-5.513999999999999,0.0,0.376,0.065,0.000169,0.0855,0.818,169.842,audio_features,5O3cRP4ZHC9vvVIHtET1f0,spotify:track:5O3cRP4ZHC9vvVIHtET1f0,https://api.spotify.com/v1/audio-analysis/5O3cRP4ZHC9vvVIHtET1f0,203667.0,4.0
