,chart_position,track,artist,streams,url
353,37,Nicki Minaj,Diktion,1389,https://open.spotify.com/track/2UUpUZwyPvr7SE0iyhO4PO
941,182,Ballin',Duki,138661,https://open.spotify.com/track/7jRUINbSDOIeI3oPTFeQyP
943,184,Ferrari,Duki,137713,https://open.spotify.com/track/1YIqazOPARc41ThBqS7a8F
951,192,Si Te Sentis Sola,Duki,134274,https://open.spotify.com/track/2Z4VK9otSeq3MxWcEgptUa
1147,188,El Baile de las Egresadas,DJ Alan Gomez,136989,https://open.spotify.com/track/1IlbkW24QMlXRs5GF15FMM
1149,190,Vete,KHEA,136627,https://open.spotify.com/track/2rZB6indPhp8C5AZK1PpkS
1333,174,Como Le Digo,KHEA,147000,https://open.spotify.com/track/2fxJDRmUMatqyZ6ZOQi7RD
1359,200,Vuelve,Coscu,135370,https://open.spotify.com/track/2nszsLBeJj894eERcKEAPW
1544,185,Pla Cacha Pla - Remix,DJ Alan Gomez,138084,https://open.spotify.com/track/4mOOQDVAfgjZ6kQMQn8uzU
1752,193,Jaleo,Nicky Jam,138933,https://open.spotify.com/track/5qEDMy4lkVZ93et8y1VP99
1759,200,Mi Chain de Roque,Duki,135947,https://open.spotify.com/track/4PNKgqXRmLMPC14Xc0RxME
2041,82,C14TORCE II,Cazzu,245505,https://open.spotify.com/track/2e2ZtZbe6rQoOnUizqowNT
2748,189,Verano Hater,Dante Spinetta,129532,https://open.spotify.com/track/1kg3ch5elhWxnPEeefLfYo
2756,197,Makina de Armado,Duki,125329,https://open.spotify.com/track/02qf5aeUXhov2KmQeKQaVa
2958,199,Esta Saliendo El Sol,Intoxicados,131256,https://open.spotify.com/track/2pmHBQiIjVfTyn3p1rRbSB
3153,194,Ahora No (feat. Kodigo),FMK,143350,https://open.spotify.com/track/26CBgVxQ7oxdiKWVpfN9xJ
3282,123,"Tumbando El Club (feat. C.R.O., Mike Southside & Coqeein Montana)",0-600,187053,https://open.spotify.com/track/66TqyIw4lqniQu62cbMfyz
3954,195,Vapormax,Duki,137156,https://open.spotify.com/track/6iWnIObjnBMlaKgrAZgUA1
4142,183,Glitter,Bhavi,137398,https://open.spotify.com/track/7791eaHScobUflcXYVvxpt
4750,191,C14Torce Ii,Cazu,134829,https://open.spotify.com/track/61TfEvFJO7qmX2O41K4KVt
5154,195,La Razón Que Te Demora,La Renga,139548,https://open.spotify.com/track/0ljyHIWERJQp8O5LKgKm1l
5346,187,Tengo Sed,Bardero$,150351,https://open.spotify.com/track/7BTraGhB2vTpyBTAOCJs3t
5357,198,Balada Del Diablo y La Muerte,La Renga,142617,https://open.spotify.com/track/4ObkiTmpsSU31gqGhTb8SH
5547,188,Mentiste,Cazzu,135874,https://open.spotify.com/track/2xoBzKUr7zr7N9uK0tkVTO
5557,198,Quavo #Mododiablo,Duki,132101,https://open.spotify.com/track/262lBp5MtK39jc7gQdYrVM
5689,130,Si No Fue Asi,Midel,178647,https://open.spotify.com/track/1wdAd6JuFOaFfLbzNXPR0Y
5756,197,Calle2,FMK,138885,https://open.spotify.com/track/2hTdqJB1wi7dxG30l6FeYb
7158,199,Sólo con un Beso,Los Totora,157433,https://open.spotify.com/track/5ucrujpVC5pPdxNR42guhh
