,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Hawái,Maluma,5856,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
2,"Relación - Remix",Sech,3526,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
3,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,3279,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
4,"Tattoo - Remix with Camilo","Rauw Alejandro",2879,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
5,"Ay, DiOs Mío!","KAROL G",2876,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
6,"Mamichula - con Nicki Nicole",Trueno,2788,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
7,Caramelo,Ozuna,2741,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
8,"La Curiosidad","Jay Wheeler",2464,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
9,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",2140,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
10,Mami,Ptazeta,2079,https://open.spotify.com/track/55C0glNSvxJDCfgHwiCZb1
11,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,2045,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
12,"Djadja (feat. Maluma) - Remix","Aya Nakamura",2018,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
13,"La Jeepeta - Remix","Nio Garcia",1915,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
14,"Blinding Lights","The Weeknd",1871,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Tu Foto Del DNI",Marmi,1775,https://open.spotify.com/track/1eWWdO6oIBdJT8SCXaYCYV
16,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1728,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
17,"Breaking Me",Topic,1689,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
