,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",2662593,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,"L-Gante Rkt","Papu DJ",2253041,https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu
3,DÁKITI,"Bad Bunny",2182705,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,BICHOTA,"KAROL G",2136696,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
5,"Hecha Pa' Mi",Boza,1940335,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
6,"Si Me Tomo Una Cerveza",Migrantes,1808421,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
7,"YSY A: Bzrp Music Sessions, Vol. 37",Bizarrap,1770214,https://open.spotify.com/track/1xXQCSt0xkfeGhe18ey2p8
8,"LA NOCHE DE ANOCHE","Bad Bunny",1757089,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
9,Animal,"Maria Becerra",1659887,https://open.spotify.com/track/3OXxCquI8i14EigwILaLx9
10,"Ropa Cara",Camilo,1632714,https://open.spotify.com/track/7BIy3EGQhg98CsRdKYHnJC
11,BEBÉ,Camilo,1521496,https://open.spotify.com/track/7D7EH7MGyNHWSkqrszerI1
12,Hawái,Maluma,1408589,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
13,Bésame,"El Reja",1407559,https://open.spotify.com/track/5uD4fcXch2qE5LYeyDipA1
14,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,1372342,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
15,"Chica Ideal","Sebastian Yatra",1348371,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
16,Reloj,"Rauw Alejandro",1337508,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
17,"La Nota","Manuel Turizo",1285979,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
18,"Vida de Rico",Camilo,1198092,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
19,"La Tóxica",Farruko,1157566,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
20,Jeans,"Justin Quiles",1142821,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
21,Verte,"Nicki Nicole",1136948,https://open.spotify.com/track/2mMZAd3ol9wGI2WJl4XJCF
22,Confiesalo,"Maria Becerra",1113906,https://open.spotify.com/track/1jtkP2Vj67mcBTXJgIOZsW
23,Polvo,"Nicky Jam",1087889,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
24,"Una Locura",Ozuna,1042382,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
25,"Ponte Pa' Mi","Justin Quiles",996870,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
26,"Relación - Remix",Sech,954971,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
27,"drivers license","Olivia Rodrigo",886419,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
28,"La Curiosidad","Jay Wheeler",873724,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
29,"Parce (feat. Justin Quiles)",Maluma,844444,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
30,"Barrio Prendido","The La Planta",838910,https://open.spotify.com/track/2I3qA0KslRCxFTfZnPyDhf
31,Despeinada,Ozuna,827217,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
32,"Mi Niña",Wisin,801878,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
33,"High (Remix)","Maria Becerra",782574,https://open.spotify.com/track/2HpbDdD3JLpAPMJFYCeC6o
34,"TE MUDASTE","Bad Bunny",774125,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
35,"Tattoo - Remix with Camilo","Rauw Alejandro",764187,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
36,"Ay, DiOs Mío!","KAROL G",763600,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
