,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Además de Mí - Remix",Rusherking,525850,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
2,"Ella No Es Tuya - Remix","Rochy RD",343889,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
3,Bandido,"Myke Towers",300399,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
4,"L-Gante Rkt","Papu DJ",251890,https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu
5,"LA NOCHE DE ANOCHE","Bad Bunny",231822,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
6,Animal,"Maria Becerra",227074,https://open.spotify.com/track/3OXxCquI8i14EigwILaLx9
7,BICHOTA,"KAROL G",210493,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
8,"Hecha Pa' Mi",Boza,199277,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
9,DÁKITI,"Bad Bunny",185863,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
10,"Si Me Tomo Una Cerveza",Migrantes,176176,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
11,Acaramelao,"Maria Becerra",171073,https://open.spotify.com/track/4fipVdNyG6zx7nxuqHScsy
12,BEBÉ,Camilo,159493,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
13,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",157369,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
14,Reloj,"Rauw Alejandro",152507,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
15,"Ropa Cara",Camilo,150521,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
16,Confiesalo,"Maria Becerra",139850,https://open.spotify.com/track/1jtkP2Vj67mcBTXJgIOZsW
17,"Chica Ideal","Sebastian Yatra",139550,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
18,Bésame,"El Reja",139531,https://open.spotify.com/track/5uD4fcXch2qE5LYeyDipA1
19,"La Nota","Manuel Turizo",138492,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
20,Verte,"Nicki Nicole",130880,https://open.spotify.com/track/2mMZAd3ol9wGI2WJl4XJCF
21,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,123811,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
22,telepatía,"Kali Uchis",121577,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
23,"Ponte Pa' Mi","Justin Quiles",120307,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
24,"Machu Picchu",Camilo,120224,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
25,"Te Mentiria","Luck Ra",118411,https://open.spotify.com/track/5MOF8J0yJVHdKE3gRgpM6r
26,Hawái,Maluma,116401,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
27,"Una Locura",Ozuna,114522,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
28,"Vida de Rico",Camilo,113807,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
29,Polvo,"Nicky Jam",113427,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
30,Pistola,L-Gante,109885,https://open.spotify.com/track/2OEVXCvrzJfpZaIPwsR99i
31,"No Te Enamores - Remix",Milly,109381,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
32,"Relación - Remix",Sech,107789,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
33,"La Tóxica",Farruko,104243,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
34,"Parce (feat. Justin Quiles)",Maluma,99818,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
35,"Mi Niña",Wisin,96974,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
36,DELITO,"Nathy Peluso",90870,https://open.spotify.com/track/0K3dGPXHVALEqW8EEQGc3T
37,"YSY A: Bzrp Music Sessions, Vol. 37",Bizarrap,90420,https://open.spotify.com/track/1xXQCSt0xkfeGhe18ey2p8
38,Despeinada,Ozuna,88343,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
39,"TE MUDASTE","Bad Bunny",87470,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
40,"Barrio Prendido","The La Planta",84973,https://open.spotify.com/track/2I3qA0KslRCxFTfZnPyDhf
41,"Se Te Nota (with Guaynaa)","Lele Pons",83461,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
42,"En Tu Cuerpo - Remix",Lyanno,81633,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
43,"De Cora <3","Rauw Alejandro",80895,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
44,Jeans,"Justin Quiles",79741,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
45,911,Sech,78796,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
46,"Hasta Abajo","Kevin Roldan",78594,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
47,"Tattoo - Remix with Camilo","Rauw Alejandro",77971,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
48,"La Curiosidad","Jay Wheeler",76540,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
