,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ohne Dich",KASIMIR1441,282745,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
2,"drivers license","Olivia Rodrigo",245563,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,"WITHOUT YOU","The Kid LAROI",163855,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
4,"Save Your Tears","The Weeknd",145868,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
5,"Mood (feat. iann dior)",24kGoldn,143608,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
6,"The Business",Tiësto,132833,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
7,"Blinding Lights","The Weeknd",129634,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"All We Got (feat. KIDDO)","Robin Schulz",128115,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
9,Whoopty,CJ,120851,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
10,"Wenn sie ruft","Miksu / Macloud",119909,https://open.spotify.com/track/0O214XAfoQz8VVH83xpAjz
11,Afterglow,"Ed Sheeran",117996,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
12,"Astronaut In The Ocean","Masked Wolf",117114,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
13,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,108284,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
14,"Head & Heart (feat. MNEK)","Joel Corry",104940,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
15,"Paradise (feat. Dermot Kennedy)",MEDUZA,99149,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
16,"NO HUGS",Ufo361,96399,https://open.spotify.com/track/6lWncv0txvt3Qwf5jY3ogH
17,"you broke me first","Tate McRae",93359,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
18,"NICHT WACH",Luciano,92608,https://open.spotify.com/track/3s60n518rusOQcNmLRIGZH
19,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",92158,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
20,"coke light",Dardan,91365,https://open.spotify.com/track/31M6uFzb0yY2TjqfyuLU89
21,"Jerusalema (feat. Nomcebo Zikode)","Master KG",90496,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
22,"Bayrisch Drip",Sääftig,84857,https://open.spotify.com/track/3ECbHfRSFMjfm99YFvAD4x
23,HOLIDAY,"Lil Nas X",84278,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
24,"Love Not War (The Tampa Beat)","Jason Derulo",83729,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
25,Angst,"Apache 207",81665,https://open.spotify.com/track/5yUzqd3H7cmJ1no6B4uTzu
26,NBA,Jalil,81017,https://open.spotify.com/track/0i2H7vm6eVR3JvWXBIYrpO
27,Paradies,Gzuz,79894,https://open.spotify.com/track/6qNLO4HzHeVvHxTaCFMXrf
28,Goosebumps,HVME,78338,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
29,Paradise,VIZE,76782,https://open.spotify.com/track/2qpZjutAe3pstQsjwSXQb4
30,"Lost (feat. TOPIC42)",Samra,75045,https://open.spotify.com/track/19LqJBBfd73oeBc3CPgDdl
31,"Your Love (9PM)",ATB,75013,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
32,Subwoofer,"SHINSKY x DIMA",74792,https://open.spotify.com/track/5zPT86unoFaNP2J348n1p0
33,7,Ufo361,72904,https://open.spotify.com/track/3ipliatTDndCmnYGaNiAbI
34,"Girls Like Us","Zoe Wees",72662,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
35,"Fly Away","Tones And I",72593,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
36,Roller,"Apache 207",71180,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
37,"Prisoner (feat. Dua Lipa)","Miley Cyrus",69719,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
38,"Roses - Imanbek Remix","SAINt JHN",69420,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
39,"Rise Up (feat. Vamero)",VINAI,68391,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
40,"White Lies",VIZE,67200,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
41,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,67183,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
42,"The One","Rea Garvey",66584,https://open.spotify.com/track/6j0l7Hjt6qeDCQnYBZuJXY
43,Hell,"PA Sports",66494,https://open.spotify.com/track/1CFBjAXDYaKLyxGMrijeo1
44,"ALLES DOPE",Cro,65453,https://open.spotify.com/track/7HZMdCSq7oUYmn6OHU6kSB
45,"What You Know Bout Love","Pop Smoke",64465,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
