,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ohne Dich",KASIMIR1441,26200,https://open.spotify.com/track/4hSJUp6k7QeHLxU32MrLIU
2,"drivers license","Olivia Rodrigo",25802,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,"Astronaut In The Ocean","Masked Wolf",25705,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,PEPPERMINT,Luciano,25113,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
5,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",25032,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
6,Madonna,Bausa,24210,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
7,Aventador,"Capital Bra",21936,https://open.spotify.com/track/5T7pVU8KMd7hpyqfWt0nhy
8,"WITHOUT YOU","The Kid LAROI",21396,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
9,"Save Your Tears","The Weeknd",19763,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
10,"SYGL (feat. Shindy)",Cro,19549,https://open.spotify.com/track/1tUF7dEhqmV2Z1pTsGAGnD
11,"The Business",Tiësto,17607,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
12,"Mood (feat. iann dior)",24kGoldn,17010,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
13,"Girls Like Us","Zoe Wees",15876,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
14,Ordentlich,t-low,15469,https://open.spotify.com/track/4DnHEa1fuf3bn61AwT8Qiv
15,"Diese eine Melodie","Kontra K",14561,https://open.spotify.com/track/6RvBo8JZUMSvvHnGa2hDrj
16,Afterglow,"Ed Sheeran",14448,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
17,"BAD EYEZ",Nimo,14263,https://open.spotify.com/track/5dDQDduj3EaWrPIZ9bc8tj
18,"Hold On","Justin Bieber",14189,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
19,"All We Got (feat. KIDDO)","Robin Schulz",14022,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
20,"you broke me first","Tate McRae",14008,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
21,"Blinding Lights","The Weeknd",13685,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,13482,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
23,Meer,RIN,13192,https://open.spotify.com/track/3rQHGffq4FmBBykPn5YuKc
24,"Head & Heart (feat. MNEK)","Joel Corry",12920,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
25,"Your Love (9PM)",ATB,12580,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
26,"White Lies",VIZE,12576,https://open.spotify.com/track/2QuQkdLLzgktXwruPAz6f4
27,"Paradise (feat. Dermot Kennedy)",MEDUZA,12310,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
28,Arcade,"Duncan Laurence",12247,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
29,Whoopty,CJ,11842,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
30,"Calling My Phone","Lil Tjay",11775,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
31,"What’s Next",Drake,11573,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
32,Roller,"Apache 207",11560,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M
33,Subwoofer,"SHINSKY x DIMA",11475,https://open.spotify.com/track/5zPT86unoFaNP2J348n1p0
34,"My Head & My Heart","Ava Max",11064,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
35,"The One","Rea Garvey",10805,https://open.spotify.com/track/6j0l7Hjt6qeDCQnYBZuJXY
36,"Cover Me In Sunshine",P!nk,10357,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
37,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",10190,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
38,"No Comprendo",Jamule,10002,https://open.spotify.com/track/5ezbc8nalmV7JqLQQfHwTV
39,"Love Not War (The Tampa Beat)","Jason Derulo",9931,https://open.spotify.com/track/4Lt6GXGzYsa1tgkv3nGSTm
40,"Keiner kann mich ficken","187 Strassenbande",9890,https://open.spotify.com/track/7M4zWJmzuf8aZ2aEQUnzU3
41,"Prisoner (feat. Dua Lipa)","Miley Cyrus",9458,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
42,"Wants and Needs (feat. Lil Baby)",Drake,9280,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
43,Habibi,"Ricky Rich",9231,https://open.spotify.com/track/0PukrHFus6hVBHku8hrS0Z
44,Paradise,VIZE,8967,https://open.spotify.com/track/2qpZjutAe3pstQsjwSXQb4
45,"Squad X Showtime","PA Sports",8965,https://open.spotify.com/track/3RHHUGP9E1McRXqPVsaW66
46,Goosebumps,HVME,8865,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
47,SugarCrash!,ElyOtto,8700,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
48,"Fly Away","Tones And I",8507,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
49,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,8500,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
50,"Rise Up (feat. Vamero)",VINAI,8307,https://open.spotify.com/track/46lyJh9GYmWsHez3EsvmAx
51,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,8098,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
52,"Roses - Imanbek Remix","SAINt JHN",7932,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
53,"Wenn sie ruft","Miksu / Macloud",7887,https://open.spotify.com/track/0O214XAfoQz8VVH83xpAjz
54,"Wellerman - Sea Shanty","Nathan Evans",7869,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
55,Hypnotized,"Purple Disco Machine",7778,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
56,"Jerusalema (feat. Nomcebo Zikode)","Master KG",7772,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
57,"Paper Loving","Christopher Martin",7766,https://open.spotify.com/track/0FBgQ1eevuO0NP8Nm4wjiy
58,Up,"Cardi B",7716,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
59,"Leave The Door Open","Bruno Mars",7623,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
60,telepatía,"Kali Uchis",7560,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
61,"Someone You Loved","Lewis Capaldi",7461,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
62,HOLIDAY,"Lil Nas X",7350,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
