,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Heat Waves","Glass Animals",269348,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
2,"drivers license","Olivia Rodrigo",233201,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
3,"WITHOUT YOU","The Kid LAROI",211669,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
4,"Calling My Phone","Lil Tjay",182896,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
5,"The Business",Tiësto,150745,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
6,"What’s Next",Drake,138975,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
7,"Save Your Tears","The Weeknd",135907,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
8,"Goosebumps - Remix","Travis Scott",133991,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
9,"Leave The Door Open","Bruno Mars",133300,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
10,"Astronaut In The Ocean","Masked Wolf",132302,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
11,"Mood (feat. iann dior)",24kGoldn,116825,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
12,"Hold On","Justin Bieber",116622,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
13,Up,"Cardi B",115109,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
14,"SO DONE","The Kid LAROI",114394,https://open.spotify.com/track/2gqWRRCXnma9L8xQ1RdemQ
15,Streets,"Doja Cat",111896,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
16,"Heartbreak Anniversary",Giveon,110776,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
17,"Levitating (feat. DaBaby)","Dua Lipa",109592,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
18,"Good Days",SZA,106479,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
19,"Cover Me In Sunshine",P!nk,104363,https://open.spotify.com/track/6Tio0ZoDeSQnI7EBAqWer2
20,"Wants and Needs (feat. Lil Baby)",Drake,101601,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
21,"Blinding Lights","The Weeknd",98838,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,Anyone,"Justin Bieber",98750,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
23,"Head & Heart (feat. MNEK)","Joel Corry",90247,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
24,"My Head & My Heart","Ava Max",89018,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
25,"Fly Away","Tones And I",88487,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
