,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",541690,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,ROXANNE,"Arizona Zervas",305911,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
3,"Blinding Lights","The Weeknd",282751,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"Ride It",Regard,270370,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
5,"Ne reviens pas",Gradur,264920,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
6,"Don't Start Now","Dua Lipa",262437,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,Memories,"Maroon 5",259250,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
8,"everything i wanted","Billie Eilish",257953,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,Circles,"Post Malone",215708,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
10,Señorita,"Shawn Mendes",215620,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
11,"Someone You Loved","Lewis Capaldi",214654,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
12,Falling,"Trevor Daniel",208040,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
13,"bad guy","Billie Eilish",207015,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
14,"Hoe Het Danst","Marco Borsato",203613,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq
15,"Lose Control",MEDUZA,198731,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
16,"Lose You To Love Me","Selena Gomez",180291,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
17,Trampoline,SHAED,180090,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS
18,"RITMO (Bad Boys For Life)","Black Eyed Peas",176765,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
19,"hot girl bummer",blackbear,175518,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
20,"Oui ou non",Angèle,175322,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP
21,Lalala,Y2K,162266,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
22,Pookie,"Aya Nakamura",161438,https://open.spotify.com/track/2QpUWi6VSNOt2WyH5FIeLD
23,Moulaga,"Heuss L'enfoiré",158157,https://open.spotify.com/track/5BfCoUcWNXcpyJfjXRIeyC
24,Reünie,Snelle,156596,https://open.spotify.com/track/5S7YAM3lcfPNBSTVyciwCu
25,"Before You Go","Lewis Capaldi",155616,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
26,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,148088,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
27,"Beautiful People (feat. Khalid)","Ed Sheeran",148069,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
28,"Adore You","Harry Styles",139503,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,"God Bless (feat. Damso)",Hamza,134375,https://open.spotify.com/track/2oT2g4vkjRaFOcUtdOf9eg
30,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",134049,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
31,"Turn Me On (feat. Vula)",Riton,131727,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9
32,Instagram,"Dimitri Vegas & Like Mike",131150,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
33,"Sun is Shining","Lost Frequencies",131042,https://open.spotify.com/track/5ucCPnp8gVYluxSXiy4J5d
34,POPOPOP,Gambi,127565,https://open.spotify.com/track/18HNGxDOcshRU2Hdu8tMOM
35,"Don't Call Me Up",Mabel,125938,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
36,Baianá,Bakermat,123848,https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS
37,"How Do You Sleep?","Sam Smith",122026,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
38,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",121978,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
39,"I Don't Care (with Justin Bieber)","Ed Sheeran",121519,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
40,"My Oh My (feat. DaBaby)","Camila Cabello",120033,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
41,Ransom,"Lil Tecca",119975,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
42,"Lucid Dreams","Juice WRLD",119510,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
43,"HIGHEST IN THE ROOM","Travis Scott",113898,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
44,"Piece Of Your Heart",MEDUZA,112529,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
45,"All I Want for Christmas Is You","Mariah Carey",112341,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
46,"Old Town Road - Remix","Lil Nas X",108907,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
47,"Higher Love",Kygo,108030,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
48,Liar,"Camila Cabello",106348,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA
49,Lippenstift,"Marco Borsato",105253,https://open.spotify.com/track/3D9MKbMaHCZjSEcCWf4wDm
50,40%,"Aya Nakamura",100163,https://open.spotify.com/track/47LFcy7prvEY5D08d26zOo
51,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Travis Scott",99378,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
52,Shallow,"Lady Gaga",97870,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
53,"All Around The World (La La La)",R3HAB,94686,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
