,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",49374,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"The Business",Tiësto,41651,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
3,"WITHOUT YOU","The Kid LAROI",38884,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
4,"Mona Lisa",Booba,37505,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
5,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,36360,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
6,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",35841,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
7,"Save Your Tears","The Weeknd",33914,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
8,"Astronaut In The Ocean","Masked Wolf",32107,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
9,Fever,"Dua Lipa",30704,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
10,"Mood (feat. iann dior)",24kGoldn,28728,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
11,"you broke me first","Tate McRae",28110,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
12,"Paradise (feat. Dermot Kennedy)",MEDUZA,27673,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
13,"GIRL LIKE ME","Black Eyed Peas",25091,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
14,"All We Got (feat. KIDDO)","Robin Schulz",24493,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
15,"Head & Heart (feat. MNEK)","Joel Corry",23801,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
16,"Blinding Lights","The Weeknd",23722,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,GP,Booba,23265,https://open.spotify.com/track/1COYNecOxmnapvty8PVR4s
18,"Calling My Phone","Lil Tjay",23184,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
19,Whoopty,CJ,22955,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
