,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",30347,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
2,"WAP (feat. Megan Thee Stallion)","Cardi B",28244,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
3,"Не, мерси - Single",Medi,27928,https://open.spotify.com/track/1bwLTopYsL8A0j0fg7fi79
4,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",26292,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
5,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",24135,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
6,"Mood (feat. iann dior)",24kGoldn,20764,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,"POPSTAR (feat. Drake)","DJ Khaled",19810,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
8,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,17580,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
9,"What You Know Bout Love","Pop Smoke",17199,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
10,"Blinding Lights","The Weeknd",16761,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Granitsi / Den mporo",Emanuela,16501,https://open.spotify.com/track/6veSbPnFR3ABt3AnSDr5uI
12,Dior,"Pop Smoke",15069,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
13,"you broke me first","Tate McRae",14940,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
14,"Watermelon Sugar","Harry Styles",14838,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
15,"HIGHEST IN THE ROOM","Travis Scott",14423,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
16,Daisy,Ashnikko,14384,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
17,"Midnight Sky","Miley Cyrus",13702,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
18,"Roses - Imanbek Remix","SAINt JHN",13647,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
19,"Наливай ми feat. D3MO","Billy Hlapeto",13631,https://open.spotify.com/track/2VLkqMSEuj10HushVQ93jD
20,"Breaking Me",Topic,13444,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
21,"100 zhivota",Galena,12878,https://open.spotify.com/track/2rFZhVHWOwDxAy59qLUzLy
22,"Beden v sartseto",Preslava,12805,https://open.spotify.com/track/5oE4QPgCrAs3itnmj2GmsM
23,"Красиви лъжи",Krisko,12739,https://open.spotify.com/track/0fZTtyWq3HIfYzZNrRUNBl
24,Minutite,"Tsvetelina Yaneva",12704,https://open.spotify.com/track/5z8q2yz2tvKpue9zJj942c
