,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Astronaut In The Ocean","Masked Wolf",6446,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
2,"Грешна си",Krisko,5900,https://open.spotify.com/track/589KeND3ebjbfhs5GfGGyx
3,Изкушение,"ToTo H",4052,https://open.spotify.com/track/6Fz0IEZ0qHeu3cEbRDqSnU
4,Up,"Cardi B",3693,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
5,Streets,"Doja Cat",3301,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
6,"What’s Next",Drake,2867,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
7,"Wants and Needs (feat. Lil Baby)",Drake,2855,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
8,"The Business",Tiësto,2849,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
9,Whoopty,CJ,2719,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
10,Грешници,Lidia,2674,https://open.spotify.com/track/6W2jsJG6MPPJ6xTWcNEeHr
11,"Save Your Tears","The Weeknd",2529,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
12,Chukove,Marso,2458,https://open.spotify.com/track/2IxTTLlkB2hSUDn138o8uq
13,"drivers license","Olivia Rodrigo",2447,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
14,"Blinding Lights","The Weeknd",2365,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2245,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
16,"Calling My Phone","Lil Tjay",2104,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
17,telepatía,"Kali Uchis",2081,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
18,"Mood (feat. iann dior)",24kGoldn,2065,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
19,Dior,"Pop Smoke",2022,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
20,"Prisoner (feat. Dua Lipa)","Miley Cyrus",2008,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
21,"Levitating (feat. DaBaby)","Dua Lipa",2003,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
22,"Да си тук",Medi,1989,https://open.spotify.com/track/4a0oV0MjoURyHnW1gz8qcg
23,"Sweater Weather","The Neighbourhood",1938,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
24,positions,"Ariana Grande",1920,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
25,"Goosebumps - Remix","Travis Scott",1886,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
26,"Pie mi se II",Marso,1879,https://open.spotify.com/track/5w49x5l1LNLhnSCAp7KnYg
27,"Best Friend (feat. Doja Cat)",Saweetie,1870,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
28,"Your Love (9PM)",ATB,1829,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
29,HOLIDAY,"Lil Nas X",1807,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
30,"HIGHEST IN THE ROOM","Travis Scott",1730,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
31,Ратата,Konfuz,1720,https://open.spotify.com/track/14YjOD4J7N1FGZMt5N4eIs
32,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1718,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
33,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1704,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
34,"Paradise (feat. Dermot Kennedy)",MEDUZA,1693,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
35,Arcade,"Duncan Laurence",1675,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
36,"WITHOUT YOU","The Kid LAROI",1659,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
37,goosebumps,"Travis Scott",1658,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
38,"Leave The Door Open","Bruno Mars",1634,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
39,"Къде беше ти",Galena,1626,https://open.spotify.com/track/3zvOhLPf8JIi5cmEdkVJWx
40,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,1618,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
41,"Hold On","Justin Bieber",1581,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
42,"AP - Music from the film Boogie","Pop Smoke",1577,https://open.spotify.com/track/17vGPZ5EsdvtgAOCD4FLWI
43,"We're Good","Dua Lipa",1573,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
44,"Не, мерси - Single",Medi,1559,https://open.spotify.com/track/1bwLTopYsL8A0j0fg7fi79
45,"WAP (feat. Megan Thee Stallion)","Cardi B",1557,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
46,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",1551,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
47,"Недей ме вини",Galin,1548,https://open.spotify.com/track/1AE3geuJdEBiitm81QuuOi
48,"My Head & My Heart","Ava Max",1545,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
49,"What You Know Bout Love","Pop Smoke",1518,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
50,"you broke me first","Tate McRae",1487,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
51,"Head & Heart (feat. MNEK)","Joel Corry",1461,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
52,"Наливай ми feat. D3MO","Billy Hlapeto",1443,https://open.spotify.com/track/2VLkqMSEuj10HushVQ93jD
53,"Life Is Good (feat. Drake)",Future,1433,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
54,"Daddy Issues","The Neighbourhood",1427,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
55,"The Box","Roddy Ricch",1424,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
56,"CASH MONEY",Raus,1422,https://open.spotify.com/track/3wiAEjY81b9g5BGkmNanUI
57,"Gledai me",Gery-Nikol,1401,https://open.spotify.com/track/0txHI0BUicGtEOT6FClpiU
58,"Therefore I Am","Billie Eilish",1392,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
59,"Кавала кючек",Krisko,1377,https://open.spotify.com/track/2c5uQMBQb3KyUG7YiP3cOF
60,SugarCrash!,ElyOtto,1373,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
61,"Selfish Love (with Selena Gomez)","DJ Snake",1371,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
62,"Roses - Imanbek Remix","SAINt JHN",1361,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
63,Hayloft,"Mother Mother",1353,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
64,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1341,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
