,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Hawái,Maluma,266613,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
2,"Relación - Remix",Sech,150544,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
3,"Ay, DiOs Mío!","KAROL G",150055,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
4,"La Curiosidad","Jay Wheeler",137505,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
5,"La Jeepeta - Remix","Nio Garcia",120341,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
6,"Tattoo - Remix with Camilo","Rauw Alejandro",116407,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
7,"La Tóxica",Farruko,103094,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
8,Despeinada,Ozuna,91378,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
9,Caramelo,Ozuna,90241,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
10,"Parce (feat. Justin Quiles)",Maluma,89841,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
11,"Mi Cuarto","Jerry Di",84390,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
12,Relación,Sech,78065,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
13,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",78060,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
14,"Pa' Olvidarme De Ella","Piso 21",76014,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
15,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,73181,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
16,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",68219,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
17,Dynamite,BTS,67993,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
18,"Djadja (feat. Maluma) - Remix","Aya Nakamura",67793,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
19,Favorito,Camilo,65761,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
20,"Tak Tiki Tak","Harry Nach",64738,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
21,"Quiéreme Mientras Se Pueda","Manuel Turizo",64086,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
22,Nada,"Cali Y El Dandee",61664,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
23,+Linda,Dalex,61447,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
24,"Una Locura",Ozuna,60854,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
25,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",60569,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
26,Azul,"J Balvin",59916,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
27,"Caramelo - Remix",Ozuna,59891,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
28,Rojo,"J Balvin",57804,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
29,"Blinding Lights","The Weeknd",56891,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,"No Bailes Sola","Danna Paola",56872,https://open.spotify.com/track/1GNSWpe2SB30zYGbNTD96b
31,"Mamichula - con Nicki Nicole",Trueno,54741,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
32,"Se Te Nota (with Guaynaa)","Lele Pons",52623,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
33,Tusa,"KAROL G",52598,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
34,Jangueo,"Alex Rose",52388,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR
35,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,52130,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
36,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,51584,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
37,"El Mismo Aire - con Pablo Alborán",Camilo,50815,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
38,ADMV,Maluma,49204,https://open.spotify.com/track/4j3iq13kHs5PB94jdTp3Y3
39,"Don Don","Daddy Yankee",48180,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
40,"Hola - Remix",Dalex,47897,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
41,"Vida de Rico",Camilo,47166,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
42,PORFA,Feid,45640,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
43,"Hasta Que Dios Diga","Anuel AA",43970,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
44,Diosa,"Myke Towers",43420,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
45,"De Los Besos Que Te Di","Christian Nodal",43236,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
46,"La Mitad",Camilo,43145,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
47,"Sigues Con El","Dímelo Flow",42946,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
48,"Por Primera Vez",Camilo,42260,https://open.spotify.com/track/0pgj4EzB1XRqgZemoMNG5D
49,"Si Me Dices Que Sí",Reik,42217,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
50,Locura,"Cali Y El Dandee",38685,https://open.spotify.com/track/5379uuUPHodsdVhy8pIAAr
