,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",21759,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,"LA NOCHE DE ANOCHE","Bad Bunny",20449,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
3,DÁKITI,"Bad Bunny",19257,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,telepatía,"Kali Uchis",17152,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
5,BICHOTA,"KAROL G",17148,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
6,"Hecha Pa' Mi",Boza,15572,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
7,"Ella No Es Tuya - Remix","Rochy RD",15465,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
8,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",15189,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
9,Reloj,"Rauw Alejandro",14231,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
10,"Hasta Abajo","Kevin Roldan",12989,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
11,Hawái,Maluma,12414,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
12,"Machu Picchu",Camilo,12125,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
13,"Además de Mí - Remix",Rusherking,11636,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
14,"Parce (feat. Justin Quiles)",Maluma,11128,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
15,"No Te Enamores - Remix",Milly,11096,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
16,"Mi Niña",Wisin,10880,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
17,"Chica Ideal","Sebastian Yatra",10680,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
18,"La Nota","Manuel Turizo",10445,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
19,"Relación - Remix",Sech,10156,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
20,"Si Me Tomo Una Cerveza",Migrantes,9527,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
21,BEBÉ,Camilo,9470,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
22,"Ropa Cara",Camilo,9041,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
23,"La Tóxica",Farruko,8878,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
24,"Aquí Abajo","Christian Nodal",8821,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
25,"Más De La Una","Piso 21",8804,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
26,"TE MUDASTE","Bad Bunny",8744,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
27,"Vida de Rico",Camilo,8704,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
28,Fiel,"Los Legendarios",8640,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
29,911,Sech,8561,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
30,"La Curiosidad","Jay Wheeler",8447,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
31,"Pa' Olvidarme De Ella","Piso 21",8323,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
32,"Una Locura",Ozuna,8218,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
33,Jeans,"Justin Quiles",8006,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
34,"Fan de Tus Fotos","Nicky Jam",7999,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
35,Polvo,"Nicky Jam",7926,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
36,"Se Te Nota (with Guaynaa)","Lele Pons",7809,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
37,"Blinding Lights","The Weeknd",7625,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
38,"Tattoo - Remix with Camilo","Rauw Alejandro",7290,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
39,"Ponte Pa' Mi","Justin Quiles",7269,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
40,"Ay, DiOs Mío!","KAROL G",7182,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
41,"Mi Cuarto","Jerry Di",7057,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
42,Bonita,Jeeiph,6916,https://open.spotify.com/track/7EUvcSFkyVB73zrblhQmEL
43,Despeinada,Ozuna,6674,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
44,LOCATION,"KAROL G",6660,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
45,"Agua de Jamaica",Maluma,6641,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
46,"Tan Enamorados",CNCO,6628,https://open.spotify.com/track/1yc7ERfIzFxPP1E0OFRvp0
47,"Mala Costumbre","Manuel Turizo",6470,https://open.spotify.com/track/70uX4beGHc1nQikXveOknp
48,"Save Your Tears","The Weeknd",6378,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
49,"Miedito o Qué? (feat. KAROL G)","Ovy On The Drums",6217,https://open.spotify.com/track/7MoZgM6AsQaZw14WnKopuy
50,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",6201,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
51,PROBLEMA,"Daddy Yankee",5491,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
52,"drivers license","Olivia Rodrigo",5178,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
53,"En Tu Cuerpo - Remix",Lyanno,5024,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
54,Dynamite,BTS,4910,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
55,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",4901,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
56,Tusa,"KAROL G",4738,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
57,"Quiéreme Mientras Se Pueda","Manuel Turizo",4721,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
58,Animal,"Maria Becerra",4698,https://open.spotify.com/track/3OXxCquI8i14EigwILaLx9
59,"La Forma en Que Me Miras","Super Yei",4634,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
60,"De Cora <3","Rauw Alejandro",4592,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
61,Nada,"Cali Y El Dandee",4573,https://open.spotify.com/track/4K8cyoCDovlc4FvtUr2Hfx
62,Explícito,"Myke Towers",4450,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
63,Caramelo,Ozuna,4392,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
64,"BOOKER T","Bad Bunny",4387,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
65,"Hola - Remix",Dalex,4376,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
66,"La Jeepeta - Remix","Nio Garcia",4338,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
67,"Dejaría Todo",CNCO,4312,https://open.spotify.com/track/1ZN2Dat0KrO0xqr9t8QP9r
68,"La Mitad",Camilo,4277,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
69,"L-Gante Rkt","Papu DJ",4232,https://open.spotify.com/track/6EHrppRT1Uj4cyShAujxFu
70,"LA CANCIÓN","J Balvin",4209,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
71,"De Los Besos Que Te Di","Christian Nodal",4168,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
72,"Como Si Nada","Adso Alejandro",4132,https://open.spotify.com/track/2ECKWYbTPpKvtnKiRiUQqC
73,"Dime Cómo Quieres","Christian Nodal",4024,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
74,Favorito,Camilo,4008,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
75,"Tú Me Dejaste De Querer","C. Tangana",3979,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
76,+Linda,Dalex,3972,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
