,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"What’s Next",Drake,272643,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
2,"Wants and Needs (feat. Lil Baby)",Drake,232858,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
3,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,173640,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
4,"drivers license","Olivia Rodrigo",167356,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Calling My Phone","Lil Tjay",165463,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
6,"Leave The Door Open","Bruno Mars",156370,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
7,"Hold On","Justin Bieber",140093,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
8,"Save Your Tears","The Weeknd",131302,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
9,"Astronaut In The Ocean","Masked Wolf",123865,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
10,Up,"Cardi B",117597,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
11,"WITHOUT YOU","The Kid LAROI",105664,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
12,"Mood (feat. iann dior)",24kGoldn,100807,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
13,"Levitating (feat. DaBaby)","Dua Lipa",96463,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,"Blinding Lights","The Weeknd",94440,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,"Good Days",SZA,91572,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
16,telepatía,"Kali Uchis",87793,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
17,Streets,"Doja Cat",87647,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
18,"The Business",Tiësto,84021,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,"Heartbreak Anniversary",Giveon,82474,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
20,Whoopty,CJ,80318,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
21,"Goosebumps - Remix","Travis Scott",75745,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
22,"you broke me first","Tate McRae",75410,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
23,Anyone,"Justin Bieber",72554,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
24,"What You Know Bout Love","Pop Smoke",72051,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
25,"Someone You Loved","Lewis Capaldi",71835,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,"Therefore I Am","Billie Eilish",70631,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
27,"Best Friend (feat. Doja Cat)",Saweetie,70170,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
28,"Heat Waves","Glass Animals",69031,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
29,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,68606,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
30,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",66481,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
31,positions,"Ariana Grande",65903,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
32,Bang!,AJR,64563,https://open.spotify.com/track/53BHUFdQphHiZUUG3nx9zn
33,"AP - Music from the film Boogie","Pop Smoke",64401,https://open.spotify.com/track/17vGPZ5EsdvtgAOCD4FLWI
34,"Back In Blood (feat. Lil Durk)","Pooh Shiesty",63412,https://open.spotify.com/track/7FGdjbZ32vMybPuP0IuE7d
35,Arcade,"Duncan Laurence",63186,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
36,"Roses - Imanbek Remix","SAINt JHN",62686,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
