,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,390791,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"Roses - Imanbek Remix","SAINt JHN",335995,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
3,"Blinding Lights","The Weeknd",320196,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,BaeBae,Samra,280464,https://open.spotify.com/track/1yYBOIXO2H9LDqEPui42GM
5,"Shotz Fired","Bonez MC",262987,https://open.spotify.com/track/0dy5NFDnx5fuZvE8ZXEX35
6,"Dance Monkey","Tones And I",261154,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,"The Box","Roddy Ricch",191326,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"death bed (coffee for your head)",Powfu,185444,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
9,"Breaking Me",Topic,182381,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
10,"Don't Start Now","Dua Lipa",180557,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
11,Tusa,"KAROL G",173398,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
12,"In Your Eyes (feat. Alida)","Robin Schulz",161332,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
13,Salt,"Ava Max",157529,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
14,"Du bist mein",Zuna,154493,https://open.spotify.com/track/719aY5gAzJbx2PHjyalZQu
15,"Blueberry Faygo","Lil Mosey",149684,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
16,"What's Luv",Shindy,145434,https://open.spotify.com/track/3UE1ojFN1y0GybCNSyKGdK
17,"ily (i love you baby) (feat. Emilee)","Surf Mesa",143728,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
