,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,PEPPERMINT,Luciano,33373,https://open.spotify.com/track/6V1lWr7s8CO5VkxXe4hBtg
2,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",31723,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
3,"Astronaut In The Ocean","Masked Wolf",30963,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"Mona Lisa",Booba,30225,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
5,"drivers license","Olivia Rodrigo",29666,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
6,"Save Your Tears","The Weeknd",28607,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
7,"The Business",Tiësto,27842,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
8,"Wellerman - Sea Shanty","Nathan Evans",27326,https://open.spotify.com/track/54OBgO0Xwu20Jak9TMXbR7
9,"Girls Like Us","Zoe Wees",25726,https://open.spotify.com/track/5SFXOMJJ334Wn2PwBHeRZN
10,"WITHOUT YOU","The Kid LAROI",25162,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
11,Aventador,"Capital Bra",24439,https://open.spotify.com/track/5T7pVU8KMd7hpyqfWt0nhy
12,"Your Love (9PM)",ATB,22439,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
13,Madonna,Bausa,21968,https://open.spotify.com/track/6a3kNt1UlUOapDKmEr3JzZ
14,"All We Got (feat. KIDDO)","Robin Schulz",21040,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
15,Arcade,"Duncan Laurence",20717,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
16,"Blinding Lights","The Weeknd",20452,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,Whoopty,CJ,19666,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
18,"Paradise (feat. Dermot Kennedy)",MEDUZA,19555,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
19,"Calling My Phone","Lil Tjay",19549,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
20,"Le temps",Tayc,19524,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
21,"What’s Next",Drake,19439,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
22,"Mood (feat. iann dior)",24kGoldn,19203,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
23,Ultra,Booba,19107,https://open.spotify.com/track/0jKtpN3rsW1831n2w6OfH9
24,Afterglow,"Ed Sheeran",19037,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
25,VVV,Booba,18870,https://open.spotify.com/track/0Q1ZthgaRH9sLIHHDrzX4X
26,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,18394,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
