,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Hawái,Maluma,3140581,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
2,"La Curiosidad","Jay Wheeler",1860463,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
3,"Ay, DiOs Mío!","KAROL G",1842250,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
4,"Relación - Remix",Sech,1824888,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
5,"Una Locura",Ozuna,1728735,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
6,"La Jeepeta - Remix","Nio Garcia",1535986,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
7,"Tattoo - Remix with Camilo","Rauw Alejandro",1498286,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
8,Caramelo,Ozuna,1460945,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
9,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1266505,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
10,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,1172738,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
11,"Mi Cuarto","Jerry Di",1136384,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
12,"La Tóxica",Farruko,1114570,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
13,"Caramelo - Remix",Ozuna,1029969,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
14,"CÓMO SE SIENTE - Remix","Jhay Cortez",987828,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
15,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",984889,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
16,"Hasta Que Dios Diga","Anuel AA",975937,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
17,Jeans,"Justin Quiles",911845,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
18,"Madrid (feat. Myke Towers)",Maluma,890027,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
19,"Don Don","Daddy Yankee",864578,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
20,"Tak Tiki Tak","Harry Nach",841730,https://open.spotify.com/track/7gwwt1IaAWwmB7af0AcuBM
21,Relación,Sech,830069,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
22,Reggaetonera,"Anuel AA",817899,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH
23,"El Efecto - Remix","Rauw Alejandro",802734,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
24,"Djadja (feat. Maluma) - Remix","Aya Nakamura",793955,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
25,"Dembow 2020",Yandel,773628,https://open.spotify.com/track/0j1VxrPkMyFGvz0jZzxUoZ
26,Anaranjado,"Jowell & Randy",751332,https://open.spotify.com/track/0cRgJuB6TRtb5RZ2HkjSLh
27,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,736782,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
28,"Mamichula - con Nicki Nicole",Trueno,719577,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
29,Despeinada,Ozuna,710854,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
30,Favorito,Camilo,705037,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
31,Rojo,"J Balvin",692864,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
32,Jangueo,"Alex Rose",683817,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR
33,+Linda,Dalex,669030,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
34,Azul,"J Balvin",661058,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
35,Singapur,"El Alfa",656732,https://open.spotify.com/track/4QfZYDhGZc0T2RDvGiI69E
36,PORFA,Feid,643668,https://open.spotify.com/track/4TOmcZvw0gHa7GiXRbcYAW
37,Illuminati,Kiddtetoon,618669,https://open.spotify.com/track/6aKV6o1hZR6J1ajKqhlxnT
38,"La Forma en Que Me Miras","Super Yei",601439,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
39,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,598087,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
40,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",579218,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
41,Santería,"Lola Indigo",570305,https://open.spotify.com/track/3VArTR8VPyOEiITj8SJMLv
42,"Blinding Lights","The Weeknd",562876,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
43,"El Mismo Aire - con Pablo Alborán",Camilo,552361,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
44,"La Santa","Bad Bunny",542530,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
45,Safaera,"Bad Bunny",530831,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
46,"Hola - Remix",Dalex,514609,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
47,Diosa,"Myke Towers",514353,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
48,"Dream Girl - Remix","Ir Sais",511702,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
