,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",300328,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,Fiel,"Los Legendarios",281094,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
3,"Ella No Es Tuya - Remix","Rochy RD",260042,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
4,DÁKITI,"Bad Bunny",251444,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
5,"LA NOCHE DE ANOCHE","Bad Bunny",243009,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
6,"Hecha Pa' Mi",Boza,201583,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
7,BICHOTA,"KAROL G",195177,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
8,911,Sech,185398,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
9,"No Te Enamores - Remix",Milly,185341,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
10,"Juju Juju","El Futuro Fuera De Orbita",183743,https://open.spotify.com/track/1Ymx1Q7EXkxd7FwKypAQ6o
11,Reloj,"Rauw Alejandro",176198,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
12,telepatía,"Kali Uchis",166617,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
13,Explícito,"Myke Towers",160926,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
14,Polvo,"Nicky Jam",156379,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
15,"TE MUDASTE","Bad Bunny",153550,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
16,"Ponte Pa' Mi","Justin Quiles",151528,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
17,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",150906,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
18,"Una Locura",Ozuna,145732,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
19,"La Nota","Manuel Turizo",143126,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
20,"Hasta Abajo","Kevin Roldan",133472,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
21,"Fan de Tus Fotos","Nicky Jam",132696,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
22,"Mi Niña",Wisin,131518,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
23,"Machu Picchu",Camilo,125615,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
24,"Relación - Remix",Sech,117108,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
25,"La Tóxica",Farruko,114536,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
26,Skyline,Ak4:20,114049,https://open.spotify.com/track/3ymRYcYHxXMmyvCaKcJ46k
27,PROBLEMA,"Daddy Yankee",111095,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
28,"Además de Mí - Remix",Rusherking,109668,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
29,"Si Me Tomo Una Cerveza",Migrantes,109053,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
30,Jeans,"Justin Quiles",106530,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
31,BEBÉ,Camilo,103524,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
