,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Hawái,Maluma,732496,https://open.spotify.com/track/4uoR6qeWeuL4Qeu2qJzkuG
2,"Ay, DiOs Mío!","KAROL G",573563,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
3,"La Curiosidad","Jay Wheeler",565589,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
4,"Tattoo - Remix with Camilo","Rauw Alejandro",548535,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
5,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,518271,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
6,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",491692,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
7,"La Jeepeta - Remix","Nio Garcia",474596,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
8,Relación,Sech,413439,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
9,Rojo,"J Balvin",366528,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
10,Caramelo,Ozuna,363910,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
11,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,354373,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9
12,Anaranjado,"Jowell & Randy",350076,https://open.spotify.com/track/0cRgJuB6TRtb5RZ2HkjSLh
13,Azul,"J Balvin",329054,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
14,Favorito,Camilo,309330,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
15,"Quiéreme Mientras Se Pueda","Manuel Turizo",303293,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
16,"Djadja (feat. Maluma) - Remix","Aya Nakamura",296227,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
