,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",88555,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,DÁKITI,"Bad Bunny",86757,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,"LA NOCHE DE ANOCHE","Bad Bunny",79595,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,BICHOTA,"KAROL G",69771,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
5,telepatía,"Kali Uchis",65647,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,"Machu Picchu",Camilo,63975,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
7,CHIMBITA,Feid,62884,https://open.spotify.com/track/5xwjEzvJ2OSdnHlzusKNYA
8,Reloj,"Rauw Alejandro",59422,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
9,"Hecha Pa' Mi",Boza,56878,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
10,"La Nota","Manuel Turizo",54495,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
11,Hawái,Maluma,53959,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
12,"Ella No Es Tuya - Remix","Rochy RD",53874,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
13,LOCATION,"KAROL G",52038,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
14,"Hasta Abajo","Kevin Roldan",49871,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
15,"Una Locura",Ozuna,47157,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
16,911,Sech,44516,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
17,"Parce (feat. Justin Quiles)",Maluma,42899,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
18,"Mi Niña",Wisin,42537,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
19,Fiel,"Los Legendarios",39780,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
20,"La Curiosidad","Jay Wheeler",39649,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
21,"Blinding Lights","The Weeknd",39568,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,"Vida de Rico",Camilo,39505,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
23,BEBÉ,Camilo,38472,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
24,"Relación - Remix",Sech,38098,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
25,"Chica Ideal","Sebastian Yatra",37508,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
26,"Ropa Cara",Camilo,37056,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
27,"No Te Enamores - Remix",Milly,36374,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
28,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",36290,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
29,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",35385,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
30,Despeinada,Ozuna,35361,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
31,"TE MUDASTE","Bad Bunny",35256,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
32,"La Tóxica",Farruko,34128,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
33,Polvo,"Nicky Jam",34026,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
34,"Save Your Tears","The Weeknd",33384,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
35,Jeans,"Justin Quiles",32521,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
36,Explícito,"Myke Towers",32275,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
37,"Más De La Una","Piso 21",31816,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
