,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Calma - Remix","Pedro Capó",214858,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
2,Secreto,"Anuel AA",195308,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
3,"Adan y Eva","Paulo Londra",192073,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
4,Desconocidos,"Mau y Ricky",189440,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
5,"Te Vi","Piso 21",154865,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
6,"7 rings","Ariana Grande",146949,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
7,"Con Calma","Daddy Yankee",134289,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
8,"MIA (feat. Drake)","Bad Bunny",132854,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
9,"Baila Baila Baila",Ozuna,125955,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
10,Sola,"Manuel Turizo",117541,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
11,"Ella Quiere Beber - Remix","Anuel AA",116674,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq
12,"Un Año","Sebastian Yatra",114258,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
13,Bubalu,"Becky G",105990,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
14,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",104889,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
15,"Ni Gucci Ni Prada","Kenny Man",100036,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
16,"break up with your girlfriend, i'm bored","Ariana Grande",99333,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
17,Créeme,"KAROL G",95974,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
18,Amanece,"Anuel AA",92546,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
19,"thank u, next","Ariana Grande",89344,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
20,"Puntos Suspensivos","Piso 21",88670,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv
21,Happier,Marshmello,87632,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
22,"Pa Mí - Remix",Dalex,80855,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
23,"Vaina Loca",Ozuna,75941,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
24,Adictiva,"Daddy Yankee",75882,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
25,Ibiza,Ozuna,72512,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
26,Imposible,"Luis Fonsi",70936,https://open.spotify.com/track/4cuGZb0iFyHtwaSKdKrJkF
27,"Ya No Tiene Novio","Sebastian Yatra",68834,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
28,"Cuando Te Besé","Becky G",66901,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
