,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Bandido,"Myke Towers",29824,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
2,DÁKITI,"Bad Bunny",27335,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
3,"LA NOCHE DE ANOCHE","Bad Bunny",24802,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,telepatía,"Kali Uchis",23645,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
5,"Ella No Es Tuya - Remix","Rochy RD",22393,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
6,BICHOTA,"KAROL G",21394,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
7,"Hecha Pa' Mi",Boza,21023,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
8,Reloj,"Rauw Alejandro",16779,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
9,"No Te Enamores - Remix",Milly,16417,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
10,"Machu Picchu",Camilo,15885,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
11,Hawái,Maluma,15859,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
12,"Chica Ideal","Sebastian Yatra",15532,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
13,"Además de Mí - Remix",Rusherking,14341,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
14,"La Nota","Manuel Turizo",14242,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
15,911,Sech,14007,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
16,"Hasta Abajo","Kevin Roldan",13936,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
17,"Mi Niña",Wisin,13686,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
18,"La Tóxica",Farruko,13285,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
19,"Dime Cómo Quieres","Christian Nodal",13069,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
20,"Vida de Rico",Camilo,12788,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
21,BEBÉ,Camilo,12752,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
22,"La Curiosidad","Jay Wheeler",12716,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
23,"Aquí Abajo","Christian Nodal",12676,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
24,"BOOKER T","Bad Bunny",11782,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
25,"TE MUDASTE","Bad Bunny",11688,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
26,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",11544,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
27,"Parce (feat. Justin Quiles)",Maluma,11543,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
28,"Relación - Remix",Sech,11106,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
29,Despeinada,Ozuna,10808,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
30,"Pa' Olvidarme De Ella","Piso 21",10738,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
31,"De Los Besos Que Te Di","Christian Nodal",10579,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
32,Jeans,"Justin Quiles",10486,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
