,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Rodinnej Typ",Yzomandias,245223,https://open.spotify.com/track/7cdFi520Hjj7RUVkaUsqNv
2,"Astronaut In The Ocean","Masked Wolf",164816,https://open.spotify.com/track/3Ofmpyhv5UAQ70mENzB277
3,"drivers license","Olivia Rodrigo",146942,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
4,"Hlavy na hlavy","Robin Zoot",129420,https://open.spotify.com/track/4iTXkX6gxdAgB03WlFcu4N
5,"The Business",Tiësto,128302,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
6,"Blinding Lights","The Weeknd",114527,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"Mood (feat. iann dior)",24kGoldn,114281,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
8,"Rozdělený světy","Viktor Sheen",107924,https://open.spotify.com/track/65sTVVVMDnczku5Gt2PTmt
9,"pápá (feat. Ben Cristovao & STEIN27)",fiedlerski,98548,https://open.spotify.com/track/4gqH5pgWqzKMo0v4vcoVmX
10,"Save Your Tears","The Weeknd",97381,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,Rolls,Yzomandias,96309,https://open.spotify.com/track/0E92CGQj3E7REEC9TWqYze
12,"Paradise (feat. Dermot Kennedy)",MEDUZA,92748,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
13,"Head & Heart (feat. MNEK)","Joel Corry",92690,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"WITHOUT YOU","The Kid LAROI",85569,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
15,"All We Got (feat. KIDDO)","Robin Schulz",85022,https://open.spotify.com/track/1FP9s72rDYty6mfoOEYKnE
16,"Je Mi Fajn",Earth,84203,https://open.spotify.com/track/5PJNHy1xww2n6VdwonZBOB
17,"I PŘES TO VŠECHNO",Mirai,83684,https://open.spotify.com/track/5efRbEnxrNDKEql0u8Ligh
18,Šílený,"Ben Cristovao",80238,https://open.spotify.com/track/23Eonfmg2iwhn0NSbPOqjf
19,Whoopty,CJ,78730,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
20,"Až na měsíc","Viktor Sheen",76957,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l
21,"Malá Biš","Nik Tendo",74729,https://open.spotify.com/track/24uwSyNSroMsm845cJXfWG
22,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",73012,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
23,"Someone You Loved","Lewis Capaldi",70505,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,70493,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
25,"you broke me first","Tate McRae",69498,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
