,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Astronaut In The Ocean","Masked Wolf",23099,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
2,"The Business",Tiësto,17547,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
3,"drivers license","Olivia Rodrigo",16426,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
4,"Rodinnej Typ",Yzomandias,15921,https://open.spotify.com/track/35nvMkQglkoeydD81a0b77
5,"Mood (feat. iann dior)",24kGoldn,15444,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
6,"Rozdělený světy","Viktor Sheen",14257,https://open.spotify.com/track/65sTVVVMDnczku5Gt2PTmt
7,"Save Your Tears","The Weeknd",14070,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
8,"All We Got (feat. KIDDO)","Robin Schulz",13804,https://open.spotify.com/track/1iAyJBksvAI6DQEnzv8l1E
9,"Blinding Lights","The Weeknd",13728,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,"Head & Heart (feat. MNEK)","Joel Corry",13217,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
11,"Paradise (feat. Dermot Kennedy)",MEDUZA,12851,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
12,"WITHOUT YOU","The Kid LAROI",12261,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
13,BodyBag,Yzomandias,12095,https://open.spotify.com/track/3fBpzO81OXrmZPKL0KG8LF
14,SugarCrash!,ElyOtto,12065,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
15,Šílený,"Ben Cristovao",11729,https://open.spotify.com/track/23Eonfmg2iwhn0NSbPOqjf
16,"I PŘES TO VŠECHNO",Mirai,11369,https://open.spotify.com/track/5efRbEnxrNDKEql0u8Ligh
17,Arcade,"Duncan Laurence",11236,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
18,"Až na měsíc","Viktor Sheen",11097,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l
19,"Je Mi Fajn",Earth,10773,https://open.spotify.com/track/5PJNHy1xww2n6VdwonZBOB
20,Rolls,Yzomandias,10753,https://open.spotify.com/track/0E92CGQj3E7REEC9TWqYze
21,"Hlavy na hlavy","Robin Zoot",10602,https://open.spotify.com/track/4iTXkX6gxdAgB03WlFcu4N
22,"pápá (feat. Ben Cristovao & STEIN27)",fiedlerski,10575,https://open.spotify.com/track/4gqH5pgWqzKMo0v4vcoVmX
23,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,10108,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
24,Plastic,"Viktor Sheen",10044,https://open.spotify.com/track/05ApNVIBssPKqyyKiydA6D
25,Whoopty,CJ,10034,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
26,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",9523,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
27,alibababigbass,Gleb,9506,https://open.spotify.com/track/0N9Fccu5ESGwWPJ3MU9Yt5
28,"you broke me first","Tate McRae",9424,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
29,"Someone You Loved","Lewis Capaldi",9262,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
30,"Hold On","Justin Bieber",9109,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
31,"Malá Biš","Nik Tendo",8845,https://open.spotify.com/track/24uwSyNSroMsm845cJXfWG
32,"Designer Flow",Yzomandias,8596,https://open.spotify.com/track/7C9WUhnC08zjbutkdtQXxH
33,"Roses - Imanbek Remix","SAINt JHN",8517,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
34,"Emoce Na Emoce",Ektor,8236,https://open.spotify.com/track/7DwqfrDKsOxRrYVfwloVeu
35,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,8178,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
36,HOLIDAY,"Lil Nas X",7991,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
37,"Svaz ceskych bohemu",Wohnout,7921,https://open.spotify.com/track/0twbASvGKPDvbWviKZcpyy
