,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Kærlighed (feat. Gilli & Kesi)",ATYPISK,519412,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw
2,"All I Want for Christmas Is You","Mariah Carey",464439,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,"Last Christmas",Wham!,461298,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
4,Tinka,"Burhan G",449675,https://open.spotify.com/track/2f82yXiMKGkX2CtbkhgtvT
5,"Dance Monkey","Tones And I",378418,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"Santa Tell Me","Ariana Grande",356046,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
7,"London Town",Branco,342795,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ
8,"Roses - Imanbek Remix","SAINt JHN",342754,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,"Blinding Lights","The Weeknd",335976,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,"VERDEN VENDER",Branco,331161,https://open.spotify.com/track/0qgqH6VqlkIXj45e5tTFCH
11,"Lille Store Verden","Rasmus Seebach",329088,https://open.spotify.com/track/4ZmaxcxpEmzZgsMZPRdLIG
12,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,322010,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
13,Ben,Tessa,320081,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT
14,"I En Stjerneregn Af Sne","Mads Langer",317953,https://open.spotify.com/track/2MHiE76HdeJznaQtrLwBug
15,"Kongespil - Tinka og Kongespillet",Hjalmer,313339,https://open.spotify.com/track/0nQBmwUprs4LYyhECw44LH
16,"Merry Christmas Everyone","Shakin' Stevens",312738,https://open.spotify.com/track/4rRIovg4TvxLUiUrpGI6lE
17,ROXANNE,"Arizona Zervas",305742,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,"Driving Home for Christmas - 2019 Remaster","Chris Rea",289006,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
19,"My Only Wish (This Year)","Britney Spears",288581,https://open.spotify.com/track/6id0KJ3XgvJLSzyMtHBj67
20,"Lærte Hende Alt (feat. Lærke Emilie)",ATYPISK,287773,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM
21,"Jingle Bell Rock","Bobby Helms",286503,https://open.spotify.com/track/3hBXvHLlTHvnbwrPbeoyAj
22,"Do They Know It's Christmas? - 1984 Version","Band Aid",285990,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
23,"everything i wanted","Billie Eilish",285972,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
24,Mistletoe,"Justin Bieber",284516,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
25,"HERE (For Christmas)","Lukas Graham",283336,https://open.spotify.com/track/1Cth2nNUYYfCiSoIei6rCi
26,"It's Beginning to Look a Lot like Christmas","Michael Bublé",276232,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
27,"Der' Noget I December","Rasmus Seebach",275028,https://open.spotify.com/track/0wm3wOmYpTILjqyHzDDJIp
28,"Don't Start Now","Dua Lipa",275007,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
29,"Jesus & Josefine",Julie,271850,https://open.spotify.com/track/0QA4qO2kj327TUCEW3IRiE
30,Falling,"Trevor Daniel",267423,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
31,"Let Love Be Love",Juice,265531,https://open.spotify.com/track/4cEhVWWBqVf1JJOUdNRB4v
32,"Super Mario",NODE,254385,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P
33,Balou,"Benny Jamz",251672,https://open.spotify.com/track/45GshECNB7YmOu9yM8Y039
34,Circles,"Post Malone",251161,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
35,"Drømte Mig En Lille Drøm",Dicte,243086,https://open.spotify.com/track/3eizF6STI8NRAAoBMDW4mC
36,Brandvarm,"Josef Og Elias",242426,https://open.spotify.com/track/5B6QJikgE2fsGpR1BBkapc
37,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",239545,https://open.spotify.com/track/3zJw3rugfpVrmBeDDnUYzy
38,"Guld Jul",Gulddreng,238742,https://open.spotify.com/track/2rui6bCZAz3yJ7YFQeyWMq
39,"Adore You","Harry Styles",234105,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
40,"Jul På Vesterbro","Anders Matthesen",233129,https://open.spotify.com/track/20oNCyFVv55xDpXGIw0QEs
41,"Rockin' Around The Christmas Tree","Mel & Kim",232337,https://open.spotify.com/track/5gpImN0eqlucE3a3r121SF
42,"Holdet (feat. NODE)",Jamaika,231753,https://open.spotify.com/track/53Z8vzEI2bbqpsSZ8dFSOt
43,"Når Sneen Falder","Thomas Helmig",230784,https://open.spotify.com/track/2jW0MuNkctmqajdnoNZvyg
44,"It's the Most Wonderful Time of the Year","Andy Williams",226919,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
45,"Someone You Loved","Lewis Capaldi",224034,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
46,"Ride It",Regard,220613,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
47,"Jul Det' Cool","Mc Einar",220041,https://open.spotify.com/track/4QOTOTJsJjgrAf0BgnfaRF
48,"Vai Amor",Gilli,213617,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb
49,"Lucid Dreams","Juice WRLD",212184,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
50,"Watermelon Sugar","Harry Styles",199852,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
51,"Den Himmelblå",Shu-Bi-Dua,199469,https://open.spotify.com/track/5c2HpRFDphuoQ75O6ZQfIB
52,"Underneath the Tree","Kelly Clarkson",198949,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
53,Memories,"Maroon 5",197641,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
54,"Thank God It's Christmas - Non-Album Single",Queen,194976,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
55,"Koldt Udenfor","Page Four",188849,https://open.spotify.com/track/0rEwD7QVscNnz05ooEb0qB
56,"Jul i Angora","Drengene Fra Angora",186467,https://open.spotify.com/track/4LTUBsLeIn8qcopkFwhwK9
57,"Sinaloa Stil","Shooter Gang",185108,https://open.spotify.com/track/1tNuRv1Wcagp2f3FVcgknp
58,Lie,"Lukas Graham",180914,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD
59,"Feliz Navidad","José Feliciano",179798,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
60,"Have Yourself A Merry Little Christmas","Sam Smith",178624,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
61,"Winter Wonderland","Tony Bennett",172299,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ
62,"HIGHEST IN THE ROOM","Travis Scott",172073,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
63,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",170463,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
64,"hot girl bummer",blackbear,169121,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
65,"Nu Er Det Jul (Nissebanden)","Burhan G",166735,https://open.spotify.com/track/5Jqo99jKKbaSYKQ7P0SM54
