,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Øve Os På Hinanden","Fyr Og Flamme",73232,https://open.spotify.com/track/5KLDajsSLvA5n2zTwKycvF
2,Vibes,NODE,73101,https://open.spotify.com/track/696pTNllVLM7EK9wMIuYdJ
3,MCQUEEN,RH,56815,https://open.spotify.com/track/29s2dhQ00vpr6eTI00Kc77
4,"drivers license","Olivia Rodrigo",54765,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Save Your Tears","The Weeknd",50369,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Hold On","Justin Bieber",50140,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
7,Kamæleon,"Fyr Og Flamme",48228,https://open.spotify.com/track/51UOsHi1DotcI4708sED8s
8,"WITHOUT YOU","The Kid LAROI",43958,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
9,"The Business",Tiësto,39641,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
10,Menneskeforbruger,"Fyr Og Flamme",39375,https://open.spotify.com/track/6LvfPTBltFJixi40e5uqDR
11,Buongiorno,KIDD,38574,https://open.spotify.com/track/4vAReYtMpAAFK6cyTE8WkZ
12,"Lo Lo",Fouli,37409,https://open.spotify.com/track/2oSFHZk3n4gAbPdNbCgZLQ
13,"Calling My Phone","Lil Tjay",36733,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
14,Kærlighedssangen,Jimilian,36543,https://open.spotify.com/track/6WELXrF1hsdUZEcasR1DGG
15,"No Evil",Branco,34057,https://open.spotify.com/track/7GT52p7q3ZeE97R6L8w5lU
16,"Blinding Lights","The Weeknd",33528,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",33245,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
18,"B2B (Carmon X Artigeardit)",Carmon,32148,https://open.spotify.com/track/4L4mcpHlreMItXsZiJOVxC
19,Anyone,"Justin Bieber",31350,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
20,"Paradise (feat. Dermot Kennedy)",MEDUZA,31134,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
21,Solhverv,"Lord Siva",30963,https://open.spotify.com/track/5x6ggDM895CRGHxS3dwRHz
22,"No Wahala",ICEKIID,30824,https://open.spotify.com/track/7rGU2T0LIENtfI1Anx0ywJ
23,"Blå Himmel (feat. Hans Philip)",KESI,30527,https://open.spotify.com/track/0qA2qykpcGdVl3tiiYum4g
24,"Astronaut In The Ocean","Masked Wolf",29029,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
25,Stjernerne,"Lord Siva",28935,https://open.spotify.com/track/6bGEf1NKIcpuqlo4BfLy7V
26,"Your Love (9PM)",ATB,28466,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
27,"Den Dejligste Boy","Benjamin Hav",28292,https://open.spotify.com/track/2cawJP5YFZrCvBQQ2kBZAH
28,"Leave The Door Open","Bruno Mars",28221,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
29,"What’s Next",Drake,26998,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
30,"Head & Heart (feat. MNEK)","Joel Corry",25634,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
31,"Bando Bitch",Branco,24420,https://open.spotify.com/track/46EJP4xRtHEzOthuhDqo54
32,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,24057,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
33,"Fly Away","Tones And I",23795,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76
34,"Blæstegnen (feat. Orgi-E)",Tessa,23695,https://open.spotify.com/track/79mXVVl7EeTzWiVLsOQ4YB
35,"Mood (feat. iann dior)",24kGoldn,23496,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
36,"Wants and Needs (feat. Lil Baby)",Drake,23296,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
