,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pa Mí - Remix",Dalex,99584,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
2,"Con Calma","Daddy Yankee",98041,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
3,Secreto,"Anuel AA",86868,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
4,Caro,"Bad Bunny",82568,https://open.spotify.com/track/6it15CsDlkqB7N4lF0C1qM
5,"La Romana","Bad Bunny",82493,https://open.spotify.com/track/1khmgu0pveJbkbpbkyvcQv
6,"Calma - Remix","Pedro Capó",79141,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
7,"Baila Baila Baila",Ozuna,71264,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
8,"Solo de Mi","Bad Bunny",67686,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR
9,"Si Estuviésemos Juntos","Bad Bunny",63817,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
10,Amanece,"Anuel AA",63179,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
11,"Esclavo de Tus Besos","Manuel Turizo",57442,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
12,"Ella Quiere Beber - Remix","Anuel AA",56157,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
13,"Pomposo (Remix) [feat. Yomel el Meloso, Shadow Blow & Bulova]","El Alfa",55780,https://open.spotify.com/track/38I8OemgIPYHdP5uBNY8BO
14,"MIA (feat. Drake)","Bad Bunny",55258,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
15,"NI BIEN NI MAL","Bad Bunny",54910,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
16,Aullando,"Wisin & Yandel",51730,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
17,Bubalu,"Becky G",49036,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
18,Adictiva,"Daddy Yankee",48555,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
19,"Otra Noche en Miami","Bad Bunny",47930,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra
20,Desconocidos,"Mau y Ricky",47455,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
21,"Un Año","Sebastian Yatra",46230,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp
22,"200 Mph","Bad Bunny",44279,https://open.spotify.com/track/5jGUJXnELDaDTgiRjD9lsg
23,Controla,Brytiago,42740,https://open.spotify.com/track/4AKWHLChPxYdXAB2cHmZB7
24,"Que Le De","Rauw Alejandro",42536,https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ
25,"Si Se Da","Myke Towers",41220,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
26,"A Solas - Remix",Lunay,39907,https://open.spotify.com/track/3T5QSIgoaPIh07SwixRDp7
27,Baby,Amenazzy,39851,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
28,"Adan y Eva","Paulo Londra",39096,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
29,Créeme,"KAROL G",37830,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
30,"Vaina Loca",Ozuna,36415,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
31,HP,Maluma,36259,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
32,"Vacia Sin Mi",Ozuna,36107,https://open.spotify.com/track/4l0O19WwpjzbDGkdFtkQ6W
33,"7 rings","Ariana Grande",35705,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
34,Culpables,"KAROL G",34676,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
35,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",34128,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
36,Ibiza,Ozuna,34110,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
37,"Ta To Gucci (Remix)",Cauty,33939,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C
38,"Luz Apaga",Ozuna,33489,https://open.spotify.com/track/5Q3e16qE1RE5oilN3ukasm
39,Devuelveme,Ozuna,33289,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
40,"Asesina - Remix",Brytiago,32959,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX
41,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,32235,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
42,Soltera,Lunay,31347,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM
43,"Te Vi","Piso 21",31342,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
44,Sola,"Manuel Turizo",31280,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
45,"Te Boté - Remix","Nio Garcia",29473,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
46,"Estamos Bien","Bad Bunny",29295,https://open.spotify.com/track/2OWVCFTolecLiGZPquvWvT
47,"Ser Bichote","Bad Bunny",29206,https://open.spotify.com/track/4UEuIEv9Wc3wtiWUplGJ7q
48,Sucker,"Jonas Brothers",29188,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
49,"Pa Jamaica","El Alfa",29120,https://open.spotify.com/track/6OewpeMYwwlTfQb0lC1jwn
50,Hipócrita,"Anuel AA",27827,https://open.spotify.com/track/4CbANooTL2aTHzJZqQ0Uvk
51,"Cuando Perriabas","Bad Bunny",27179,https://open.spotify.com/track/5mj8WVFcKdGA8p9HWGTSLc
52,"Na' Personal","Miky Woodz",23856,https://open.spotify.com/track/16fZpc0Md2q1SGu8FMTo6x
53,"Please Me","Cardi B",23590,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN
54,"¿Quien Tu Eres?","Bad Bunny",23588,https://open.spotify.com/track/6kN06eEOblRAuWI0xUUS91
55,"Mi Error","Eladio Carrion",23063,https://open.spotify.com/track/7ch7IMYm9DaujSfI1ToSzu
56,"Deja de Hablar de Mí","Bulin 47",22983,https://open.spotify.com/track/6E8wZiKp4ekrFMQp9766Yx
57,"Tecnobow (feat. Diplo)","El Alfa",22260,https://open.spotify.com/track/1roaN9AUTbYfiSDcpxdjr9
58,"Como Antes","Bad Bunny",22257,https://open.spotify.com/track/69ZaPBHhRMRDjRpW1ivnOU
59,"Está Rico","Marc Anthony",22164,https://open.spotify.com/track/2wRkBumdItthjYP9XknImg
