,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"LA NOCHE DE ANOCHE","Bad Bunny",18369,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
2,Bandido,"Myke Towers",17594,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
3,DÁKITI,"Bad Bunny",17102,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,"Ella No Es Tuya - Remix","Rochy RD",13572,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
5,telepatía,"Kali Uchis",11393,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,"BOOKER T","Bad Bunny",10660,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
7,Fiel,"Los Legendarios",10605,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
8,Reloj,"Rauw Alejandro",10517,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
9,911,Sech,10389,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
10,BICHOTA,"KAROL G",10255,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
11,"Machu Picchu",Camilo,9846,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
12,Explícito,"Myke Towers",9633,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
13,"Hecha Pa' Mi",Boza,9355,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
14,"La Nota","Manuel Turizo",8975,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
15,"TE MUDASTE","Bad Bunny",8389,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
16,"No Te Enamores - Remix",Milly,8073,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
17,"Caso Bugatti","El Alfa",7904,https://open.spotify.com/track/55hvx2D6b0xar5U66kl4MG
18,LOCATION,"KAROL G",7763,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
19,"Mi Niña",Wisin,7590,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
20,"Si Es Trucho Es Trucho","Axel Rulay",6984,https://open.spotify.com/track/6wQufshN8RwGazPyDQ0WXM
21,"Una Locura",Ozuna,6975,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
22,Hawái,Maluma,6913,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
23,"CÓMO SE SIENTE - Remix","Jhay Cortez",6804,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
24,"La Tóxica",Farruko,6553,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
25,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",6438,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
26,Antes,"Anuel AA",6430,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
27,Despeinada,Ozuna,6410,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
28,BEBÉ,Camilo,6344,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
29,Nataly,"Ceky Viciny",6319,https://open.spotify.com/track/05lNOE0iWEcHRFD2lZuZZE
30,"Ropa Cara",Camilo,6155,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
31,"Relación - Remix",Sech,6041,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
32,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",5923,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
33,Tiguere,"Dowba Montana",5802,https://open.spotify.com/track/3LqhDUTrzOxYrGw5nEEAwr
34,"Teteo - Remix","El Fecho RD",5769,https://open.spotify.com/track/0oBE11LSGSaccEBtk4lJEe
35,"HACIENDO QUE ME AMAS","Bad Bunny",5734,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
36,RD,"Anuel AA",5572,https://open.spotify.com/track/3F5OoUJSVVC1f5PwOxcx0N
37,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",5553,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
38,"La Curiosidad","Jay Wheeler",5526,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
39,"Vida de Rico",Camilo,5368,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
40,"Singapur (Remix)","El Alfa",5272,https://open.spotify.com/track/0lCHRVlRZCEyLj3Gkc1nv1
41,Polvo,"Nicky Jam",5260,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
42,"drivers license","Olivia Rodrigo",4992,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
43,"Hasta Abajo","Kevin Roldan",4883,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
44,"Tattoo - Remix with Camilo","Rauw Alejandro",4879,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
45,"Fan de Tus Fotos","Nicky Jam",4816,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
46,"La Jeepeta - Remix","Nio Garcia",4798,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
47,"Blinding Lights","The Weeknd",4671,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
48,"XOXA - Premium",Farruko,4530,https://open.spotify.com/track/2K1mqI6DBj5qv83oif1Zj5
49,"No Hago Coro",Ghetto,4513,https://open.spotify.com/track/2VCqHhpgat5QoYOB9chpt1
50,Caramelo,Ozuna,4237,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
51,"Corre Corre - Remix","El Cherry Scom",4136,https://open.spotify.com/track/3HrHPpZKQt2dNZIc2Ctp3r
52,"Save Your Tears","The Weeknd",4023,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
53,Streets,"Doja Cat",3902,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
54,"En Tu Cuerpo - Remix",Lyanno,3833,https://open.spotify.com/track/3dEtfTtCXWW7N8WQ9FD29z
55,120,"Bad Bunny",3769,https://open.spotify.com/track/3KJ3opyV29269SXkPrc19l
56,"Del Mar",Ozuna,3730,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8
57,"Vete Pal Carajo","Yan Block",3725,https://open.spotify.com/track/1mrQYY0NATPCe7WOYcCKf1
58,"HOY COBRÉ","Bad Bunny",3721,https://open.spotify.com/track/0tjZv2hChdHZCW1zFXpy1J
59,Scarface,"El Alfa",3718,https://open.spotify.com/track/0NMfbBpDkMp4WnAOnRFoiw
60,"Mi Cuarto","Jerry Di",3704,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
61,"Todo o Nada","Eladio Carrion",3660,https://open.spotify.com/track/2zdHRQTOBDk8mM8xBzziFh
62,PROBLEMA,"Daddy Yankee",3655,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
63,"Parce (feat. Justin Quiles)",Maluma,3648,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
64,Jeans,"Justin Quiles",3603,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
65,"LA CANCIÓN","J Balvin",3581,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
66,"YO VISTO ASÍ","Bad Bunny",3551,https://open.spotify.com/track/5fROvzNghPid8mbKNDYvpJ
67,"Oh Mama - Premium",Farruko,3538,https://open.spotify.com/track/1En6OzqLa2XWiY1We4jHms
68,"What’s Next",Drake,3513,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
69,"La Forma en Que Me Miras","Super Yei",3466,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
70,"Ay, DiOs Mío!","KAROL G",3443,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
71,"Leave The Door Open","Bruno Mars",3346,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
72,"Los Dioses","Anuel AA",3323,https://open.spotify.com/track/7oHsIIDKbEJlFULg1HF0pP
73,"Hasta Que Dios Diga","Anuel AA",3310,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1
74,Millones,Camilo,3257,https://open.spotify.com/track/3YAnNBdk0uHyakXXzMbNJq
75,Enchule,"Rauw Alejandro",3239,https://open.spotify.com/track/0S9ZVNTNRzLMgb96tmmG1u
76,Up,"Cardi B",3185,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
77,Privity,"Haraca Kiko",3120,https://open.spotify.com/track/5STCo0NvLGRAAIgpV3bpaa
78,Vete,"Bad Bunny",3117,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
79,"No Me Conoce - Remix","Jhay Cortez",3080,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
80,KESI,Camilo,3072,https://open.spotify.com/track/42lpuSQmnLUM1ZXJVzIVOi
81,Whoopty,CJ,2973,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
82,"Chica Ideal","Sebastian Yatra",2960,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
83,"La Santa","Bad Bunny",2917,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
84,"Quiéreme Mientras Se Pueda","Manuel Turizo",2912,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
85,100,"Anuel AA",2909,https://open.spotify.com/track/2sqgNScWya6T8PwKMELYW8
86,Desnudarte,Brytiago,2883,https://open.spotify.com/track/3wrBFPDRyIGyGXxGSc970M
87,Safaera,"Bad Bunny",2882,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
88,Ignorantes,"Bad Bunny",2866,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
89,"Si Estuviésemos Juntos","Bad Bunny",2865,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
90,Tukuntaso,Tokischa,2776,https://open.spotify.com/track/0EaBXOqo6TNIIhHctCbQPi
91,"La Maria","Anuel AA",2755,https://open.spotify.com/track/1tu5h5BU2WWrGH407kU0pe
92,"Wants and Needs (feat. Lil Baby)",Drake,2737,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
93,"De Cora <3","Rauw Alejandro",2733,https://open.spotify.com/track/22Sh5dlwbERqJAq1fZk5b2
94,"TE DESEO LO MEJOR","Bad Bunny",2704,https://open.spotify.com/track/23XjN1s3DZC8Q9ZwuorYY4
95,Aloha,Maluma,2694,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
96,"Si Veo a Tu Mamá","Bad Bunny",2691,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
97,"Yo Perreo Sola","Bad Bunny",2690,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
98,"LA DROGA","Bad Bunny",2669,https://open.spotify.com/track/67ACYA3UI6QMNtHX6b34wX
99,+Linda,Dalex,2659,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
100,"Manos de Tijera",Camilo,2648,https://open.spotify.com/track/2f8sB9lQ6Uh1lKKWJNR9rW
101,"Hola - Remix",Dalex,2647,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
102,"A Tu Merced","Bad Bunny",2638,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
103,"ANTES QUE SE ACABE","Bad Bunny",2619,https://open.spotify.com/track/7kjEqI6eZ7YlFrGhxixnlN
104,"La Difícil","Bad Bunny",2599,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
105,Tusa,"KAROL G",2591,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
106,Favorito,Camilo,2586,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q
107,"Cuando Sera",Mora,2572,https://open.spotify.com/track/1UmZpd5navRsg2ukqCKJjc
108,Callaita,"Bad Bunny",2555,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
109,"Si Me Dices Que Sí",Reik,2534,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
110,"El Mismo Aire - con Pablo Alborán",Camilo,2532,https://open.spotify.com/track/5EbtodsuLbxrFDH6j5avVS
111,"SORRY PAPI","Bad Bunny",2524,https://open.spotify.com/track/5jZ32WOU7sqzDYbzINwMUk
112,"GIRL LIKE ME","Black Eyed Peas",2492,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
113,"Heartbreak Anniversary",Giveon,2416,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
114,"Puerto Rico - Remix","El Fecho RD",2414,https://open.spotify.com/track/6P6BoBLQicL8mQYYotouh8
115,"Ponte Pa' Mi","Justin Quiles",2406,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
116,Diosa,"Myke Towers",2406,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
117,positions,"Ariana Grande",2406,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
118,"Se Te Nota (with Guaynaa)","Lele Pons",2389,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
119,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",2373,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
120,"Mi Contacto","Rochy RD",2345,https://open.spotify.com/track/2HSlvafZA16nbqyTqFCqxj
121,Mareado,Camilo,2294,https://open.spotify.com/track/5uzAnGIbuAIpaBHQ02X1uN
122,512,Mora,2288,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
123,"Mala Costumbre","Manuel Turizo",2273,https://open.spotify.com/track/70uX4beGHc1nQikXveOknp
124,"El Rey De La Popola","Rochy RD",2259,https://open.spotify.com/track/40NEzaZf0YyrxCbD7PPeop
125,"Otra Noche en Miami","Bad Bunny",2258,https://open.spotify.com/track/4vCAzANUWDE24URV6wQ4ra
126,"Agua de Jamaica",Maluma,2242,https://open.spotify.com/track/41BzKiCrKpUQHS3TP0jmdr
127,"3G (feat. Jon Z, Don Chezina, Chencho Corleone & Myke Towers) - Remix",Wisin,2217,https://open.spotify.com/track/6dyUkkcyYuDiHOwIRXYOJm
128,"Desacato Escolar",Tokischa,2186,https://open.spotify.com/track/2jm33owvUVJgwbjl0VkfAB
129,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,2175,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
130,"Astronaut In The Ocean","Masked Wolf",2151,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
131,"Más De La Una","Piso 21",2147,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
132,"Caramelo - Remix",Ozuna,2142,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
133,"Amantes y Amigos",Arcangel,2136,https://open.spotify.com/track/3yoDVeVWIPSuH1IolXKA0X
134,"Hold On","Justin Bieber",2134,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
135,"Someone You Loved","Lewis Capaldi",2118,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
136,"The Business",Tiësto,2114,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
137,"Sigues Con El","Dímelo Flow",2108,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
138,Dynamite,BTS,2107,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
139,2/Catorce,"Rauw Alejandro",2104,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
140,"Madrid (feat. Myke Towers)",Maluma,2098,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H
141,25/8,"Bad Bunny",2092,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
142,"EL MUNDO ES MÍO","Bad Bunny",2092,https://open.spotify.com/track/36DHxTW2xdr9GG15T9oK9L
143,"Toda Remix - Remix","Alex Rose",2086,https://open.spotify.com/track/47ZS1OjnJpJVfGN9yHXfMn
144,Yamile,"Rochy RD",2076,https://open.spotify.com/track/2vzxE7XT2xo3R3gxjtW2PL
145,"Mi Patron, Mi Papa (Remix)","El Alfa",2075,https://open.spotify.com/track/4OiQdjeghmXFxALStZ7Bpc
146,"Dream Girl - Remix","Ir Sais",2071,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
147,"Adicto (with Anuel AA & Ozuna)",Tainy,2067,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
148,"Mood (feat. iann dior)",24kGoldn,2056,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
149,"Levitating (feat. DaBaby)","Dua Lipa",2055,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
150,"WAP (feat. Megan Thee Stallion)","Cardi B",2051,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
151,Rojo,"J Balvin",2011,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
152,"Corazon de Acero","Yiyo Sarante",2000,https://open.spotify.com/track/2fM9D3e5pyVBzqOBgMC8ap
153,ADMV,Maluma,1996,https://open.spotify.com/track/4j3iq13kHs5PB94jdTp3Y3
