,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",552877,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Sigues Con El","Dímelo Flow",331467,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
3,"Dance Monkey","Tones And I",309813,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Fantasias,"Rauw Alejandro",254639,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
5,"Hola - Remix",Dalex,247714,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
6,Morado,"J Balvin",242352,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
7,Vete,"Bad Bunny",226950,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
8,Detente,"Mike Bahía",192705,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
9,"RITMO (Bad Boys For Life)","Black Eyed Peas",184832,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
10,Muévelo,"Nicky Jam",164522,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
11,"No Me Conoce - Remix","Jhay Cortez",164204,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
12,Blanco,"J Balvin",161712,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
13,"Me Gusta",Shakira,160506,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
14,China,"Anuel AA",159650,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
15,"Whine Up","Nicky Jam",156013,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
16,"LA CANCIÓN","J Balvin",153647,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
17,"Bellaquita - Remix",Dalex,146574,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
18,Callaita,"Bad Bunny",143837,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
19,"Adicto (with Anuel AA & Ozuna)",Tainy,134326,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
20,Indeciso,Reik,134290,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
21,Infeliz,Arcangel,133939,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
22,Quizas,"Rich Music LTD",132388,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
23,"QUE PRETENDES","J Balvin",121941,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
24,Aventura,Lunay,120593,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
25,"Si Te Vas",Sech,119571,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
26,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",118470,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
27,"La Difícil",Camilo,114009,https://open.spotify.com/track/0PaNKfwdqHjmW7hVEQ0lbu
28,Girl,"Myke Towers",113967,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
29,Tutu,Camilo,113079,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
30,"Que Tire Pa Lante","Daddy Yankee",112397,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
31,"Don't Start Now","Dua Lipa",111868,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
32,"Perreo en La Luna","Rich Music LTD",111508,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
33,"Pa' Olvidarme De Ella","Piso 21",106949,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
34,"Soltera - Remix",Lunay,103767,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
35,Yummy,"Justin Bieber",101809,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
36,"Blinding Lights","The Weeknd",100724,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
37,"Yo x Ti, Tu x Mi",ROSALÍA,97154,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
38,Señorita,"Shawn Mendes",96200,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
39,"11 PM",Maluma,94471,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
40,Desconocidos,"Mau y Ricky",93065,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
41,Piensan,"Myke Towers",92122,https://open.spotify.com/track/1A9PKAFEHMWgXNLpgf7k4J
42,Destino,Greeicy,91013,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
43,"Una Vida Para Recordar","Piso 21",90704,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
44,"Pa Mí - Remix",Dalex,88237,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
45,"Te Vi","Piso 21",86627,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
46,"Con Altura",ROSALÍA,85864,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
47,"Qué Pena",Maluma,84357,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
48,"Si Se Da - Remix","Myke Towers",83893,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
49,Loco,Beéle,81937,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
50,"Otro Trago - Remix",Sech,77003,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
51,"bad guy","Billie Eilish",76492,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
52,"Otro Trago",Sech,74919,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
53,"Que Mas Pues - Remix",Sech,73173,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
54,"Tal Vez","Paulo Londra",70743,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
