,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",39399,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,Bandido,"Myke Towers",39376,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
3,"LA NOCHE DE ANOCHE","Bad Bunny",38472,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,telepatía,"Kali Uchis",31799,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
5,BICHOTA,"KAROL G",30998,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
6,"Ella No Es Tuya - Remix","Rochy RD",28336,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
7,"Hecha Pa' Mi",Boza,26413,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
8,"Machu Picchu",Camilo,24619,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
9,Reloj,"Rauw Alejandro",23669,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
10,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",22633,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
11,"TE MUDASTE","Bad Bunny",22585,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
12,911,Sech,20903,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
13,"Chica Ideal","Sebastian Yatra",20425,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
14,Hawái,Maluma,20270,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
15,"La Nota","Manuel Turizo",19842,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
16,"No Te Enamores - Remix",Milly,19031,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
17,"Hasta Abajo","Kevin Roldan",18419,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
18,"Ropa Cara",Camilo,18183,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
19,BEBÉ,Camilo,17284,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
20,LOCATION,"KAROL G",17180,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
21,"Mi Niña",Wisin,16904,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
22,"La Curiosidad","Jay Wheeler",16661,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
23,"Parce (feat. Justin Quiles)",Maluma,16322,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
24,"Relación - Remix",Sech,15701,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
25,Fiel,"Los Legendarios",15628,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
26,"Vida de Rico",Camilo,15607,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
27,"Además de Mí - Remix",Rusherking,15539,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
28,Explícito,"Myke Towers",14684,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
29,"Blinding Lights","The Weeknd",14378,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,"Se Te Nota (with Guaynaa)","Lele Pons",14004,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
31,"Mala Costumbre","Manuel Turizo",13966,https://open.spotify.com/track/70uX4beGHc1nQikXveOknp
32,"Ponte Pa' Mi","Justin Quiles",13341,https://open.spotify.com/track/4C6BlqqMwjFzOXzqpTeoWR
33,"La Tóxica",Farruko,13256,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
34,"Una Locura",Ozuna,13253,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
