,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",21863,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
2,tmt,Nublu,21581,https://open.spotify.com/track/3BBC0z90LcToCjPIN0vuHp
3,"Without Me",Halsey,21391,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
4,Wow.,"Post Malone",20569,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
5,"High Hopes","Panic! At The Disco",17981,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
6,"Sweet but Psycho","Ava Max",17762,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
7,Shallow,"Lady Gaga",17759,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
8,"Dancing With A Stranger (with Normani)","Sam Smith",16388,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
9,"Lost in the Fire",Gesaffelstein,16264,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
10,"thank u, next","Ariana Grande",15583,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
11,öölaps!,Nublu,15017,https://open.spotify.com/track/70qZhu8T6VHpeugYFZCnVk
12,"when the party's over","Billie Eilish",13923,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
13,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",13670,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
14,"Mina Ka",Nublu,13197,https://open.spotify.com/track/4WTIwGBQobHLNo320RhOWW
15,"Eastside (with Halsey & Khalid)","benny blanco",12721,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
16,"Be Alright","Dean Lewis",12496,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
17,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",12205,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
18,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",12069,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
19,"SICKO MODE","Travis Scott",11880,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
20,"Mo Bamba","Sheck Wes",11848,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
21,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,11224,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
22,"Better Now","Post Malone",10572,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
23,"Tagasi Me","Elina Born",10378,https://open.spotify.com/track/3FSKFG95l4GGTCsdRqOjCL
24,"Saturday Nights",Khalid,10323,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
25,"Lucid Dreams","Juice WRLD",10166,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
26,SAD!,XXXTENTACION,10160,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
27,"Giant (with Rag'n'Bone Man)","Calvin Harris",9967,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
28,"Bohemian Rhapsody - Remastered 2011",Queen,9760,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
29,"I Got Love","MiyaGi & Endspiel",9556,https://open.spotify.com/track/5rwsJbBNa8SfPW4oFA1GjP
30,Mõtetes,Pluuto,9495,https://open.spotify.com/track/3syMpkCHtT1bxuBFU63L2I
31,lovely,"Billie Eilish",9492,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
32,Hope,"The Chainsmokers",9491,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5
33,"Promises (with Sam Smith)","Calvin Harris",9480,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
34,"In My Mind",Dynoro,9452,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
35,"Kiss and Make Up","Dua Lipa",9241,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3
36,"Diamond Heart","Alan Walker",9193,https://open.spotify.com/track/0nrWZWkJM62ftQJSI8fDc0
37,"Let You Love Me","Rita Ora",9084,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP
38,Happier,Marshmello,8919,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
39,"Going Bad (feat. Drake)","Meek Mill",8813,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
40,"Look Back at It","A Boogie Wit da Hoodie",8796,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
