,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Magus melanhoolia","Jüri Pootsmann",5966,https://open.spotify.com/track/1Ae5AcTlKsTEpksomr4oDK
2,Doomino,"Liis Lemsalu",3587,https://open.spotify.com/track/06HOLlh8Sh5jHptg37zMSz
3,Wingman,"Andrei Zevakin",3550,https://open.spotify.com/track/5f8CcmWeRg5KzHSPNu9XPx
4,"drivers license","Olivia Rodrigo",3301,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
5,"Astronaut In The Ocean","Masked Wolf",3276,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Save Your Tears","The Weeknd",3275,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
7,Universum,Nublu,2927,https://open.spotify.com/track/7IoTZnck9r11NCj5M0QG81
8,Streets,"Doja Cat",2744,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
9,"WITHOUT YOU","The Kid LAROI",2524,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
10,"Tee mis sa tahad",Smilers,2462,https://open.spotify.com/track/6vzXc5nsa0JTMfAtWrZkIN
11,"The Business",Tiësto,2446,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
12,SugarCrash!,ElyOtto,2412,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
13,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2277,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
14,Paraadna,Nublu,2154,https://open.spotify.com/track/5VEZQNZWsZaKb1Y2jB8SWJ
15,"Blinding Lights","The Weeknd",2109,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"What’s Next",Drake,2089,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
17,"Your Love (9PM)",ATB,2065,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
