,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mamichula - con Nicki Nicole",Trueno,3372905,https://open.spotify.com/track/4pXW6ZAHBz7ODXTRKklWrM
2,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,2960076,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
3,Hawái,Maluma,2788233,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
4,"La Curiosidad","Jay Wheeler",2584176,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
5,"A Güiro","Rafa Pabön",2464741,https://open.spotify.com/track/4hgIsfE3u7duCJFYXm6kZe
6,Caramelo,Ozuna,2418489,https://open.spotify.com/track/3gD4J3RUHy4OUuZ3qAiaiG
7,"Ay, DiOs Mío!","KAROL G",2371521,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
8,"Tattoo - Remix with Camilo","Rauw Alejandro",2300584,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
9,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,2102044,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
10,Trendy,Rvfv,1942115,https://open.spotify.com/track/6KS9MjBx9PnEetb0XUqGv6
11,"La Jeepeta - Remix","Nio Garcia",1881452,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
12,"Carita de Inocente (feat. Myke Towers) - Remix","Prince Royce",1836502,https://open.spotify.com/track/5kQre7o8ky5DXeEPcyaCR1
13,Relación,Sech,1740870,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
14,"El Manual","Anuel AA",1690329,https://open.spotify.com/track/7kOf0qHO4Rcwk6QJifZDRJ
15,"Djadja (feat. Maluma) - Remix","Aya Nakamura",1608536,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt
16,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1507309,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
17,Mami,Ptazeta,1496670,https://open.spotify.com/track/55C0glNSvxJDCfgHwiCZb1
18,Fabuloso,Sech,1492430,https://open.spotify.com/track/3cg2Y9mIiYNdcPTLKaQgK3
