,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ella No Es Tuya - Remix","Rochy RD",499362,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
2,Ingobernable,"C. Tangana",390213,https://open.spotify.com/track/3SK45LddxlEkzI8OWO9Eyo
3,Bandido,"Myke Towers",371757,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
4,911,Sech,329631,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
5,"Párteme La Cara","C. Tangana",282726,https://open.spotify.com/track/5gEUDNQvoQjdjklrwPdGwD
6,Solo,"Omar Montes",280341,https://open.spotify.com/track/1wPAOYQJcGSqvXkqcQHExr
7,"Tú Me Dejaste De Querer","C. Tangana",279918,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
8,"No Te Enamores - Remix",Milly,265655,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
9,Antes,"Anuel AA",265272,https://open.spotify.com/track/73O30uMI7n6DuzBmbtO7kC
10,"LA NOCHE DE ANOCHE","Bad Bunny",228351,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
11,DÁKITI,"Bad Bunny",227428,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
12,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",224110,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
13,"Hecha Pa' Mi",Boza,220787,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
14,Fiel,"Los Legendarios",217074,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
15,"Los Tontos","C. Tangana",188617,https://open.spotify.com/track/4DoEHKWh8k6vYDleECQkJx
16,LOCATION,"KAROL G",187509,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
17,"Yo No Sé",Rvfv,178799,https://open.spotify.com/track/43ic0un1f9Nak0ZCQgvKjY
18,"A Un Paso De La Luna","Ana Mena",178590,https://open.spotify.com/track/7ql2RUmAmj36tkMUNWo7MT
19,Polvo,"Nicky Jam",167407,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
20,"Vida de Rico",Camilo,162456,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
21,"La Nota","Manuel Turizo",157292,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
22,BICHOTA,"KAROL G",156720,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
23,Explícito,"Myke Towers",152749,https://open.spotify.com/track/6qraVL4IJaIj0IuEexYJNa
24,"Zorra - Remix","Bad Gyal",151739,https://open.spotify.com/track/30t9smohiwcsWePn1V18Ce
25,"Mala Costumbre","Manuel Turizo",150081,https://open.spotify.com/track/70uX4beGHc1nQikXveOknp
26,BEBÉ,Camilo,148081,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
27,"Demasiadas Mujeres","C. Tangana",144845,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
28,2/Catorce,"Rauw Alejandro",144306,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
29,Nominao,"C. Tangana",143996,https://open.spotify.com/track/5SkiVFWCP3NPEgNk3PaL2I
