,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",549914,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,"Beautiful People (feat. Khalid)","Ed Sheeran",328254,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
3,"Dance Monkey","Tones And I",291361,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Lokin päällä lokki",Apulanta,271050,https://open.spotify.com/track/4Sk3IcLo2nDenuBs8JBWBg
5,"Ikuinen vappu",JVG,255189,https://open.spotify.com/track/4ycKgmGOtvuJZVPyvBpVVU
6,"Goodbyes (Feat. Young Thug)","Post Malone",254068,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
7,Silmät,Gettomasa,242983,https://open.spotify.com/track/1rYP6R16sM0uSlxrqzR5pM
8,Frisbee,JVG,242321,https://open.spotify.com/track/7otEY2LI040OFwOfiFX3LL
9,"I Don't Care (with Justin Bieber)","Ed Sheeran",238790,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
10,"Ennen Ku Mä Delaan",Spekti,224353,https://open.spotify.com/track/5cGkDUUBSkkg0TAjFovvau
11,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",222337,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
12,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",221989,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
13,"Pommi (pampampam)",SANNI,207786,https://open.spotify.com/track/0KrCQlHyTyvG7cw1Ob336w
14,"Hedelmäpommi (feat. Frederik)","Yksi Totuus",207553,https://open.spotify.com/track/15G77geMokqnsvxoL5cgyY
15,"Mikä kesä",Seksikäs-Suklaa,202268,https://open.spotify.com/track/0eFX8guc47KwJMNiqwS7zo
16,"bad guy","Billie Eilish",198375,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
17,Ransom,"Lil Tecca",198166,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
18,Cringe,"Lukas Leon",194420,https://open.spotify.com/track/5XAkjLXcavpv1UaFYWVp7n
19,"Antisocial (with Travis Scott)","Ed Sheeran",192430,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
20,"Kalenterist tilaa (feat. Evelina)",JVG,189618,https://open.spotify.com/track/5KDPlTtsvctLnM8oPMDGV2
