,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Piilotan mun kyyneleet","Haloo Helsinki!",60327,https://open.spotify.com/track/6nU4btGccMwMywAAl6cNSD
2,"Dark Side","Blind Channel",48187,https://open.spotify.com/track/6A8B1kJ9ZNHbl2uFPN6Wtm
3,"20 Ave Mariaa",ABREU,41002,https://open.spotify.com/track/2SREBxoqvxhB0wQHgLeNVI
4,Aavikko,"Lauri Tähkä",40440,https://open.spotify.com/track/26tRJottEBj78dqKREPeBT
5,"Astronaut In The Ocean","Masked Wolf",37804,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"I Love You","Teflon Brothers",31803,https://open.spotify.com/track/4sFDPk9PwpHWDcXN8rY2oA
7,"Kelle mä soitan",Ilta,31402,https://open.spotify.com/track/0JaJLSes2LpFGit36B7tzm
8,Todennäköisyys,"Keko Salata",30379,https://open.spotify.com/track/4vgSUM8gXCmAVFOe4uTcld
9,"drivers license","Olivia Rodrigo",29614,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
10,"Save Your Tears","The Weeknd",29338,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
11,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",27270,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
12,Kyläbaari,"Portion Boys",27189,https://open.spotify.com/track/3H1AVr1EZqacjtG0btvXML
13,Lääke,VIIVI,26705,https://open.spotify.com/track/5xL99WCxOwOee326Ezf0eP
14,"Me ei mennä rikki",Gasellit,26205,https://open.spotify.com/track/3KlKNC9vfmdREv97mK0Xce
15,"WITHOUT YOU","The Kid LAROI",24794,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
16,Frida,BEHM,23159,https://open.spotify.com/track/2DnfYBSG1cEcEYieldgp2X
17,"Your Love (9PM)",ATB,22737,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
18,"The Business",Tiësto,21717,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,Ghost,Kube,21477,https://open.spotify.com/track/1852oZEnrZLjxQflC1KQl1
20,"Penelope (feat. Clever)",william,20391,https://open.spotify.com/track/677ly6xN6EUbIL8FPltKle
21,Dinosauruksii,Ellinoora,20339,https://open.spotify.com/track/33jnfmDEJXHXTQqxs7YPD0
22,"Hold On","Justin Bieber",20276,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
23,Kipee,"Antti Tuisku",19526,https://open.spotify.com/track/5WqcldHALjODfcnDAVpvm3
24,Bonsaipuu,"Aleksanteri Hakaniemi",19313,https://open.spotify.com/track/4vEqvtjkwJCC03otCRd5Pz
25,"Blinding Lights","The Weeknd",18225,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
26,"Epäkohtelias (feat. Axel Kala & Gettomasa)",Pyrythekid,17109,https://open.spotify.com/track/2PxwCd2txr200UiGxm5V2o
27,"Hei rakas",BEHM,16791,https://open.spotify.com/track/2XaewhXngZd2Zi4ijFIkK0
28,Arcade,"Duncan Laurence",16529,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
29,"Calling My Phone","Lil Tjay",16430,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
30,Lelu,"Nelli Matula",16318,https://open.spotify.com/track/7t7StcMUr1cqBZiRgDWwEs
31,Whoopty,CJ,15794,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
32,"What’s Next",Drake,15781,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
33,100,Kube,15478,https://open.spotify.com/track/7FVNXExNwkaELYlP7ueELx
34,"Lady Domina","Haloo Helsinki!",14947,https://open.spotify.com/track/2f6H6tU0BRpAMBTr0QQZ2c
35,"Jenny (I Wanna Ruin Our Friendship)","Studio Killers",14925,https://open.spotify.com/track/7lgA34nFXxjqQgyLkPUcLv
36,"Mood (feat. iann dior)",24kGoldn,14747,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
37,"Nuori Edelmann",costee,14653,https://open.spotify.com/track/6uhwrmB5hBkHKRPZDSLLCL
38,Streets,"Doja Cat",14640,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
39,"My Head & My Heart","Ava Max",14405,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
40,Up,"Cardi B",14219,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
41,molemmat,ibe,14160,https://open.spotify.com/track/6euiFn8WzBNrl1alWp1udS
