,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mona Lisa",Booba,589582,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
2,GP,Booba,332892,https://open.spotify.com/track/1COYNecOxmnapvty8PVR4s
3,"Le temps",Tayc,327249,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
4,Ultra,Booba,317057,https://open.spotify.com/track/0jKtpN3rsW1831n2w6OfH9
5,"Vue sur la mer",Booba,313659,https://open.spotify.com/track/6cXNliTOTb6IrU4YhyH10J
6,VVV,Booba,307601,https://open.spotify.com/track/0Q1ZthgaRH9sLIHHDrzX4X
7,RST,Booba,285975,https://open.spotify.com/track/4aiIh5wCetSjn6IuU9QX1F
8,"Bonne journée",Booba,277711,https://open.spotify.com/track/3jRTJfW2nvUM4eoZoihnfW
9,"Je sais",Booba,268948,https://open.spotify.com/track/352ZjWTgxP3OOjsZYpv0kz
10,"Dernière fois",Booba,267981,https://open.spotify.com/track/6wO9axcjFhcQqJHuhai40h
11,Azerty,Booba,248507,https://open.spotify.com/track/4uqh1AFQaNojpqgtQFgUPE
12,L'olivier,Booba,240429,https://open.spotify.com/track/1fpoNJItHwMjTYlD8eJ9Wd
13,5G,Booba,227463,https://open.spotify.com/track/5HHdKznp8Dqp7nNNd5gEW0
14,31,Booba,226217,https://open.spotify.com/track/0vxkghkV5IMJOfUbZ7Ksul
15,"Grain de sable",Booba,221188,https://open.spotify.com/track/1wq6CLiywo8ewiOLB9CYCe
16,"GIRL LIKE ME","Black Eyed Peas",157667,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
17,Fever,"Dua Lipa",156867,https://open.spotify.com/track/3F1P0QzdXtBz0MXy7KIO5w
18,DÁKITI,"Bad Bunny",153307,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
19,"Cœur noir",Eva,141910,https://open.spotify.com/track/2SYYB9pwxbYJducVc2xGWD
20,"RATPI WORLD",Booba,141468,https://open.spotify.com/track/2ZjTAieewsBC24kPGfLagc
21,"À cœur ouvert","Djadja & Dinaz",131982,https://open.spotify.com/track/6Hnkjbkaez3Dk8vTEdMakZ
22,"Tout en Gucci",Ninho,131566,https://open.spotify.com/track/0i5GJckWb9uCZU4jcGoBca
23,"Elles ont trop joué avec mon cœur",Jok'air,130816,https://open.spotify.com/track/5SqR7dxbJiTSadTaVEhZ04
24,"Save Your Tears","The Weeknd",128419,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
25,"1,2,3","Amel Bent",127562,https://open.spotify.com/track/7uCLrBdy5FH6T7vcJzqRd7
26,"KASSAV (feat. Tiakola)",Gazo,126838,https://open.spotify.com/track/25PVU9aowaP69bSYRBe3sj
27,"La kiffance",Naps,125668,https://open.spotify.com/track/4CWcaGtaOyAqBDKIeZMUe0
28,"Bande organisée","13 Organisé",122810,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
29,"Marché noir",SCH,115772,https://open.spotify.com/track/4uOiz6kmw0NkJLWAS0etWx
30,"Goosebumps - Remix","Travis Scott",115079,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
31,"Dieu merci",Dadju,110467,https://open.spotify.com/track/1HDqaIxeJ70BTHgZWEuaeT
32,Médusa,Landy,110445,https://open.spotify.com/track/2hL0WVDLvlxZ60J4YyWvFW
33,"Astronaut In The Ocean","Masked Wolf",108130,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
34,"Wasted Love (feat. Lagique)",Ofenbach,103730,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
35,Casanova,Were-vana,102834,https://open.spotify.com/track/5xriTc82DdSAGToWcixBKf
36,"Cosmos - feat. PLK",Rim'K,102735,https://open.spotify.com/track/5hM1Bta5Ej1rRyOXStRIzH
37,Cabeza,OBOY,102340,https://open.spotify.com/track/66tNDqYNR2S6Svwgm3BMi9
38,"drivers license","Olivia Rodrigo",100150,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
39,Champion,"Serge Ibaka",99572,https://open.spotify.com/track/7moGDROshDKDpuQxtQ3q4m
40,"Mood (feat. iann dior)",24kGoldn,97206,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
