,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",331989,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"Calling My Phone","Lil Tjay",266727,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
3,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,226184,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
4,"Don't Play",Anne-Marie,211191,https://open.spotify.com/track/4I5bvu2KDsrCg0EWHIcvul
5,"Wants and Needs (feat. Lil Baby)",Drake,200717,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
6,"What’s Next",Drake,200148,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
7,"WITHOUT YOU","The Kid LAROI",198721,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
8,Streets,"Doja Cat",198645,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
9,"Latest Trends","A1 x J1",197092,https://open.spotify.com/track/7pnQ23WgZca9jEfMts9qsR
10,"The Business",Tiësto,190578,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
11,"Commitment Issues","Central Cee",167029,https://open.spotify.com/track/5w3CtwPT5e0k8zg2LyjvNN
12,"Head & Heart (feat. MNEK)","Joel Corry",161346,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
13,"Blinding Lights","The Weeknd",156100,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,Up,"Cardi B",155665,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
15,"Good Days",SZA,154668,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
16,"Save Your Tears","The Weeknd",150215,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
17,"Levitating (feat. DaBaby)","Dua Lipa",147976,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
18,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,142788,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
19,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",136296,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
20,"you broke me first","Tate McRae",136011,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
21,"Heat Waves","Glass Animals",135090,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
22,"Leave The Door Open","Bruno Mars",135014,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
23,"Paradise (feat. Dermot Kennedy)",MEDUZA,132615,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
24,"Mood (feat. iann dior)",24kGoldn,131811,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
25,34+35,"Ariana Grande",127263,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
26,Loading,"Central Cee",124826,https://open.spotify.com/track/4D0GT8zWuA7Z2em6dpajAn
27,"Sweet Melody","Little Mix",124255,https://open.spotify.com/track/76Tuo484SLohJakHLnGI3B
28,"Your Love (9PM)",ATB,121081,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
29,Whoopty,CJ,119233,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
30,"Bringing It Back","Digga D",116836,https://open.spotify.com/track/3io8SywLvvaJDxTU94phL7
31,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",115032,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
32,"Astronaut In The Ocean","Masked Wolf",114066,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
33,"What You Know Bout Love","Pop Smoke",112965,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
34,"Someone You Loved","Lewis Capaldi",109960,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
35,"Rain On Me (with Ariana Grande)","Lady Gaga",109769,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
36,"Hold On","Justin Bieber",109499,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
37,"WAP (feat. Megan Thee Stallion)","Cardi B",108210,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
38,"Prisoner (feat. Dua Lipa)","Miley Cyrus",107991,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
39,BED,"Joel Corry",107503,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
40,"Mr. Brightside","The Killers",103911,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
41,"My Head & My Heart","Ava Max",103123,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
42,positions,"Ariana Grande",102639,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
43,"Money Talks (feat. Dave)",Fredo,101957,https://open.spotify.com/track/31gzwBma4iEppvk8um5ZGx
44,telepatía,"Kali Uchis",99196,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
45,Anxious,"AJ Tracey",97884,https://open.spotify.com/track/3cCLTTEpHB0f47z5GBcUr3
46,Arcade,"Duncan Laurence",97287,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
47,Anyone,"Justin Bieber",95501,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
48,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,92535,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
49,"Get Out My Head","Shane Codd",91528,https://open.spotify.com/track/055Mme9ReKK99jRFA5UJ55
50,"Therefore I Am","Billie Eilish",91176,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
51,"We're Good","Dua Lipa",90651,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
52,Afterglow,Wilkinson,89132,https://open.spotify.com/track/6LW3Z1GqbL78TIjfDyg4zp
53,"Watermelon Sugar","Harry Styles",86783,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
54,"Best Friend (feat. Doja Cat)",Saweetie,84829,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
55,Goosebumps,HVME,83471,https://open.spotify.com/track/20McUFi8KCIVdNDLrkTDuZ
56,SugarCrash!,ElyOtto,83269,https://open.spotify.com/track/3FxPbp05KjMBa4HbhAJTH0
57,"Sweater Weather","The Neighbourhood",81549,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
58,"Why'd You Only Call Me When You're High?","Arctic Monkeys",80593,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
59,Toxic,"Digga D",80573,https://open.spotify.com/track/7EZA4wXtnlZBiJQibMvtyA
60,"Lucid Dreams","Juice WRLD",80465,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
61,"Roses - Imanbek Remix","SAINt JHN",80207,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
62,"Believe Me",Navos,79692,https://open.spotify.com/track/44xO8889yUQHn70P73NILS
63,"Location (feat. Burna Boy)",Dave,78885,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
64,"Your New Boyfriend","Wilbur Soot",78595,https://open.spotify.com/track/4vLBnQtece15fFhqWxZvJP
65,"Do I Wanna Know?","Arctic Monkeys",77557,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
66,"Tick Tock (feat. 24kGoldn)","Clean Bandit",77458,https://open.spotify.com/track/27u7t9d7ZQoyjsCROHuZJ3
67,"Ferrari Horses","D-Block Europe",76575,https://open.spotify.com/track/5erCwioOcRwP59NJUAtEK3
68,"Train Wreck","James Arthur",76325,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
69,"Wishing Well","Juice WRLD",75743,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
70,"Before You Go","Lewis Capaldi",75597,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
71,"Martin & Gina","Polo G",75043,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
72,"Dance Monkey","Tones And I",73866,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
73,Robbery,"Juice WRLD",72985,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
74,"Come Over (feat. Popcaan)","Jorja Smith",72659,https://open.spotify.com/track/58mtgcQVZ56NgWHKsN94nD
75,Bluuwuu,"Digga D",72658,https://open.spotify.com/track/70dadmYOwUCwEGHgEVV3NV
76,"Heaven On My Mind (with Sigala)","Becky Hill",71670,https://open.spotify.com/track/7bIq1v8svANsAys7I694Up
77,"Lighter (feat. KSI)","Nathan Dawe",71393,https://open.spotify.com/track/5lWUeSYO61UYgNlFlqcwYl
78,"Mood Swings (feat. Lil Tjay)","Pop Smoke",71200,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
79,"Dreams - 2004 Remaster","Fleetwood Mac",71076,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
80,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",70660,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
81,Riptide,"Vance Joy",70139,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
82,Afterglow,"Ed Sheeran",69776,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
83,"Heartbreak Anniversary",Giveon,69623,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
84,"i miss u (with Au/Ra)","Jax Jones",69614,https://open.spotify.com/track/7CH8J4ulT49UfZwSDSkSZA
85,willow,"Taylor Swift",69575,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
86,"Looking for Me","Paul Woolford",69507,https://open.spotify.com/track/17bGtGqqaXOgVnhnfx5NlE
87,"Laugh Now Cry Later (feat. Lil Durk)",Drake,68824,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
88,Hayloft,"Mother Mother",68176,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
89,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",68175,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
90,"A92 x Fumez The Engineer - Plugged In Freestyle","Fumez The Engineer",67804,https://open.spotify.com/track/0goOUCNL6MYrqSVvGhvsxw
91,"Midnight Sky","Miley Cyrus",67634,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
92,"Ain't It Different (feat. AJ Tracey & Stormzy)","Headie One",67599,https://open.spotify.com/track/03snIuKJr5u7zpyp9zpQMU
93,"All Girls Are The Same","Juice WRLD",66850,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
94,"Say You Won't Let Go","James Arthur",66475,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
95,"Someone To You",BANNERS,66377,https://open.spotify.com/track/2f0pn9DkEJwAzXApnFh5cr
96,"Goosebumps - Remix","Travis Scott",66281,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
97,Golden,"Harry Styles",65800,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
98,Regardless,RAYE,65249,https://open.spotify.com/track/3DTqHfTGj1c6y2gDXsTez4
99,Falling,"Harry Styles",65081,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
100,"Take Me To Church",Hozier,64660,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
101,"Lasting Lover",Sigala,64043,https://open.spotify.com/track/0DmAvNCAK08oCi7miSZUIY
102,"Wonderwall - Remastered",Oasis,63565,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
103,"Don't Start Now","Dua Lipa",61949,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
104,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",61704,https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
105,F.N,"Lil Tjay",61188,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
106,Bruises,"Lewis Capaldi",60910,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
107,"Daddy Issues","The Neighbourhood",60780,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
108,"Day in the Life","Central Cee",60168,https://open.spotify.com/track/6DgMffCX9ftTdDEZgZLVSd
109,Dior,"Pop Smoke",59449,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
110,"Another Love","Tom Odell",59307,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
111,Classic,MKTO,58990,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
112,UFO,"D-Block Europe",58974,https://open.spotify.com/track/7G5VNGDnHt414PyL8rosns
113,Yellow,Coldplay,58967,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
114,"Little Bit of Love","Tom Grennan",58720,https://open.spotify.com/track/78q4ESvMkPVJzHAV11LAGE
115,"Dancing in the Moonlight",Toploader,58525,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od
116,Circles,"Post Malone",58141,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
117,"GREECE (feat. Drake)","DJ Khaled",57975,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
118,"Let’s Go Home Together","Ella Henderson",57671,https://open.spotify.com/track/53fP1JzpjywHdJKx1flKCA
119,"Really Love (feat. Craig David & Digital Farm Animals)",KSI,57640,https://open.spotify.com/track/50v2TSRV31bwpAPkjWejNL
120,"See Nobody","Wes Nelson",57560,https://open.spotify.com/track/0osdzA0D159EUmBcrwMcB4
121,"Blueberry Faygo","Lil Mosey",57179,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
122,"death bed (coffee for your head)",Powfu,56893,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
123,Heather,"Conan Gray",56669,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
124,"West Ten","AJ Tracey",56252,https://open.spotify.com/track/33EGYJLLwz56YIP5Ex9VKs
125,"Adore You","Harry Styles",56030,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
126,Pierre,"Ryn Weaver",55967,https://open.spotify.com/track/31c1V9xUONZYk78NE4Id8D
127,Shallow,"Lady Gaga",55636,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
128,Medicine,"James Arthur",55432,https://open.spotify.com/track/7CHNIK6EGjnwpWkSpx6JZe
129,Lonely,"Joel Corry",55432,https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV
130,"Godzilla (feat. Juice WRLD)",Eminem,55228,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
131,505,"Arctic Monkeys",54927,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
