,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Business,TOQUEL,113609,https://open.spotify.com/track/3gN3eHqeAp9NSQUAT9xtzg
2,Netflix,TOQUEL,104995,https://open.spotify.com/track/2JwQnJFhBVjX6XR9d0bq7S
3,Stars,TOQUEL,102708,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
4,Mama?,"Sin Boy",91983,https://open.spotify.com/track/15kf9DLlzjHMfVccydtAEb
5,Sandra,TOQUEL,81818,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
6,"Ta Leme Meta",TOQUEL,70160,https://open.spotify.com/track/3ucPVIMQmNsnLkuoTmUAvf
7,"bad guy","Billie Eilish",68929,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
8,"I Don't Care (with Justin Bieber)","Ed Sheeran",60682,https://open.spotify.com/track/3HVWdVOQ0ZA45FuZGSfvns
9,777,TOQUEL,59587,https://open.spotify.com/track/76Ed6NIq5ZxpUKtPsg4DBe
10,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",57376,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
11,Gigi,Rina,56963,https://open.spotify.com/track/2ySWuhmNR789tk5AN2EUc3
12,"Deja Vu",Hawk,56467,https://open.spotify.com/track/5A1uS1PcKcMsMG36KgAq1d
13,Kolasi,TOQUEL,56196,https://open.spotify.com/track/13yoLiwo2aUB3Mluf8uVQ0
14,"De Me Theloun",Fy,52926,https://open.spotify.com/track/5z8K92vYj0FH6C05HAT2Ve
15,"The London (feat. J. Cole & Travis Scott)","Young Thug",42421,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
16,Soldi,Mahmood,39915,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
17,"7 rings","Ariana Grande",38053,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
18,"If I Can't Have You","Shawn Mendes",37097,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
19,Press,"Cardi B",36772,https://open.spotify.com/track/6dPyzkyZwoj9LqjQXOFdVv
