,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Voodoo,Light,19137,https://open.spotify.com/track/6tGl1mj5CyoB1hUtOKyhkQ
2,"Astronaut In The Ocean","Masked Wolf",17221,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,Davay,Rack,16055,https://open.spotify.com/track/54EXZcuRYIFW75Y5Bxenxt
4,"CARLOS TEVEZ","Dani Gambino",14933,https://open.spotify.com/track/7sqV5wrcZH0B4q8X9uHKFJ
5,Ring,Fy,14637,https://open.spotify.com/track/5g5GOBG3mTODUxegwjK4VL
6,XILIOMETRA,"Mad Clip",13466,https://open.spotify.com/track/0Az2D1ByNU09je0ZtzDcHm
7,Gymni,Light,13462,https://open.spotify.com/track/0Vo6x7xCIqQlnm2XbLZ6mF
8,Prince,Fy,12947,https://open.spotify.com/track/4M8I7zcnQYsGH5thn1J0sC
9,Psycho,HGEMONA$,12560,https://open.spotify.com/track/21JQAUISN3fsOXa87H02B6
10,"Street Values",VLOSPA,11011,https://open.spotify.com/track/5008Rz0J8beglZBqnvSUCn
11,Whoopty,CJ,10685,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
12,"ELA PARTO","Dani Gambino",10319,https://open.spotify.com/track/1VYv1xH7yUl0b43UVR6yA9
13,"What’s Next",Drake,10158,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
14,Streets,"Doja Cat",10145,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
15,"drivers license","Olivia Rodrigo",9613,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
16,Elpida,"Mad Clip",9387,https://open.spotify.com/track/1JaBJC3gj7jSsNxsnYTzhj
17,Lockdown,Mef,9186,https://open.spotify.com/track/0LgIHffVhGleMeHORs7dUl
18,"Wants and Needs (feat. Lil Baby)",Drake,9167,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
19,"City Don't Love Me",Light,9038,https://open.spotify.com/track/7AZ8APzmxt0McQXnEXBq44
20,"Calling My Phone","Lil Tjay",8570,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
21,Neymar,Light,8526,https://open.spotify.com/track/2GOnF9OwX7CSCHzinCr3VY
22,Ligi,Light,8352,https://open.spotify.com/track/4iWDvVZZgRVgVnTtHOkHXp
23,"Don't Play","Ivan Greko",8279,https://open.spotify.com/track/1etOk2zpXgiUTTUtzgAABP
24,Hoodstars,GAMEBOY,8261,https://open.spotify.com/track/3F8ZuhmuIIIYkks2cqBiXZ
25,Morocco,"FLY LO",8232,https://open.spotify.com/track/4Bzee1IYWlqVHKdksLjGeo
26,"Dope Sport",HGEMONA$,8089,https://open.spotify.com/track/2lfAcEBz3k1NDjKSIW6x8G
27,ISLAMABAD,"Dani Gambino",7978,https://open.spotify.com/track/5ahPNTYu8v9MNaB7vjFfyB
28,"El Diablo","Elena Tsagrinou",7897,https://open.spotify.com/track/4TAttqXwjj56xZQVKvlX0K
29,"Save Your Tears","The Weeknd",7838,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
30,"The Business",Tiësto,7777,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
31,131X,"Dani Gambino",7770,https://open.spotify.com/track/6yUdOU2XSWqMFFfBEoW6RW
32,Drones,"Dof Twogee",7684,https://open.spotify.com/track/0YlRBYjNNBqnY2OAJ3V2WM
33,"Blinding Lights","The Weeknd",7617,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
34,MPERKETI,"Dani Gambino",7586,https://open.spotify.com/track/3sDM5Gru9kHWuyWPnQVRwo
35,"Get Away",HGEMONA$,7524,https://open.spotify.com/track/287BX5kPeUkHp1dCYMkcuS
36,Apatewn,"Dani Gambino",7472,https://open.spotify.com/track/1gK70fcr4UnSDmP7KXtH0F
37,Millionaire,SNIK,7391,https://open.spotify.com/track/01Y0KGT7VzixtLyOj44x56
38,"Low Profile",Wang,7358,https://open.spotify.com/track/6vzh7RVonxO1GmYCkK831d
39,"Den Eisai Edo",Tamta,7272,https://open.spotify.com/track/3tEIOasqpy7ghhcu5ueqGp
40,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",7141,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
41,Up,"Cardi B",7127,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
42,Etsi,SNIK,7064,https://open.spotify.com/track/73d7q3kVVIgfCUK07bVIVH
43,Dior,"Pop Smoke",7011,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
44,Bosses,SNIK,7008,https://open.spotify.com/track/4lRQP4PC7ZHQnkPuq8N52N
45,"Mood (feat. iann dior)",24kGoldn,6844,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
46,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",6798,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
47,"Hot Box",HGEMONA$,6765,https://open.spotify.com/track/6ANHJoH7xuHI4d6yoCBSFJ
48,Geitonia,MG,6618,https://open.spotify.com/track/4euI2v1IEEIUKdFs5WJmzQ
49,Spaceman,Light,6544,https://open.spotify.com/track/0mpeQPj9nUKFLvuOK6XyAz
50,Kamikazi,"Dof Twogee",6489,https://open.spotify.com/track/2K7HlGNAngiCJaaaApo2DF
51,Fendi,"Dirty Harry",6471,https://open.spotify.com/track/5CZbxKM8Ibh3RmfB7xFAzm
52,LDN,"FLY LO",6449,https://open.spotify.com/track/1TAypAcTg9M0u6UQ7r3LMR
53,"Oh No",Light,6406,https://open.spotify.com/track/0tWjoH3ZHahEJgfNbOU0zU
54,BALACLAVA,RICTA,6397,https://open.spotify.com/track/23QiG2QFsriAivFabPDHh5
55,Viktoria,Melisses,6311,https://open.spotify.com/track/6zjzustYTCBqaUiIMY9aJ2
56,CASINO,"Dani Gambino",6282,https://open.spotify.com/track/6R6PuTtq2onc9ktV1RbE16
57,Pistoli,"Sin Laurent",6219,https://open.spotify.com/track/1m0N54Nrd76muGR1nynZgZ
58,Fimi,"Mad Clip",6066,https://open.spotify.com/track/1ObRO6vf0rLZJ57iT2Y3df
59,"Prin Kati Meres",HGEMONA$,6035,https://open.spotify.com/track/39uFwSR76EqsEirO4hexpw
60,"Levitating (feat. DaBaby)","Dua Lipa",6001,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
61,SUPERSTAR,MG,5932,https://open.spotify.com/track/28dgIVVQiTOZlYs3JForb7
62,"Agria Zwa",Trannos,5927,https://open.spotify.com/track/6R5TN1VQaOwEvrSg57r5YD
63,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,5904,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
64,"Man Down",Immune,5899,https://open.spotify.com/track/6CG4hzdavLVJYrLq8MfH7i
65,"Gyrizw Pisw",HGEMONA$,5752,https://open.spotify.com/track/4A3kBkkD5lj8xLcuz8VmMN
66,"No Space","Thug Slime",5711,https://open.spotify.com/track/1rxs5NPppqYEQCavlNVqmF
67,telepatía,"Kali Uchis",5710,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
68,Grigora-Anisixa-Antistrofa,HGEMONA$,5699,https://open.spotify.com/track/4ytZHzA6LN6b7vYMIo4Sza
69,Arcade,"Duncan Laurence",5669,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
70,Rudeboys,"Mente Fuerte",5602,https://open.spotify.com/track/7golvOwQUXF4LEzISx7dRF
71,Joker,Lamanif,5495,https://open.spotify.com/track/11nUDQBQQZw37Osi7qWBDL
72,Hitman,ItsOnlySkillz,5443,https://open.spotify.com/track/5dBbNYBJLpngJpsTBKP56T
73,KERATO,"Dani Gambino",5404,https://open.spotify.com/track/6Fe1dz0yOdi7hVALU0T13t
74,"Love Your Voice",JONY,5382,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
75,"AP - Music from the film Boogie","Pop Smoke",5350,https://open.spotify.com/track/17vGPZ5EsdvtgAOCD4FLWI
76,positions,"Ariana Grande",5255,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
77,"Slime DNA","Thug Slime",5253,https://open.spotify.com/track/4XldPK1Ov4Vd8fTjCajZRE
78,Barcode,Rack,5189,https://open.spotify.com/track/42mmyfhNOjoLBdAYirszzB
79,"Sweater Weather","The Neighbourhood",5142,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
80,"What You Know Bout Love","Pop Smoke",5093,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
81,KOPROI,"Dani Gambino",5090,https://open.spotify.com/track/6Zj3hUAgkHTKkG0AdQeyQu
82,AMG,Trannos,5087,https://open.spotify.com/track/6HmFlBFT4ZvWuDP1otLqSg
83,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,5035,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
84,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",5026,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
85,"Paradise (feat. Dermot Kennedy)",MEDUZA,5022,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
86,"Roz Panthiras",Light,5022,https://open.spotify.com/track/5lHhoLhB2A85h40FHhVud1
87,"Oh Mama",Light,4957,https://open.spotify.com/track/0pqGqpgTEVR6cQzSCZqwSK
88,"VIVA DANI","Dani Gambino",4920,https://open.spotify.com/track/1o2tBJQ5XxuUSozk3naQ2j
89,"ATH Mafia","Billy Sio",4910,https://open.spotify.com/track/3f2hwZfQoviu5p6BgSQFF9
90,"WITHOUT YOU","The Kid LAROI",4896,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
91,Filakes,Strat,4890,https://open.spotify.com/track/0omM3mkVfjt8MhDKinkhcn
92,Overdose,"Lil PoP",4815,https://open.spotify.com/track/3N0dH5dZKj4momer7WIhRB
93,Varane,"Dof Twogee",4787,https://open.spotify.com/track/2d4DjOhZD8gHitp39slVz3
94,"HIGHEST IN THE ROOM","Travis Scott",4767,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
95,Theios,"Thug Slime",4705,https://open.spotify.com/track/2KNEHYYoNrMDaRMF71Z0Dh
96,Comeback,Immune,4656,https://open.spotify.com/track/1SHuHHjFYyhQxf4iITkyXW
97,Bonnie,"Lil Koni",4651,https://open.spotify.com/track/3jWoXmRaySXNcNii1B1N0e
98,"Big Moves - Vol. 1",VLOSPA,4627,https://open.spotify.com/track/3PtCTx3M4m3FOC5PK9R8t6
99,NANA,Saske,4599,https://open.spotify.com/track/6lcgBbZKhYBnOxOS5rNlYb
100,Caliente,"Mente Fuerte",4576,https://open.spotify.com/track/3wjl3uPGckJUAeI5cRG0bZ
101,"you broke me first","Tate McRae",4560,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
102,"1 XRONOS",Trannos,4547,https://open.spotify.com/track/6uuKyeUY5NSCE2jGnu4fHQ
103,"PLATA O PLOMO",HGEMONA$,4536,https://open.spotify.com/track/4hxAvDlMjTclplbeYKcEmy
104,"Head & Heart (feat. MNEK)","Joel Corry",4528,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
105,"Watermelon Sugar","Harry Styles",4514,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
106,"Goosebumps - Remix","Travis Scott",4496,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
107,"Your Love (9PM)",ATB,4478,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
108,"Gel Burda","Dof Twogee",4474,https://open.spotify.com/track/3aML8uROR94OkM5dY74gxf
109,"Hold On","Justin Bieber",4451,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
110,"Prisoner (feat. Dua Lipa)","Miley Cyrus",4406,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
111,Berlusconi,"Thug Slime",4381,https://open.spotify.com/track/361bEO7EtJ4eC9Pb4mtT5o
112,"Roses - Imanbek Remix","SAINt JHN",4377,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
113,"The Box","Roddy Ricch",4366,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
114,"Therefore I Am","Billie Eilish",4325,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
115,210,Strat,4252,https://open.spotify.com/track/5AsNGwVP7bix0nae8y95kc
116,Kotera,"Mad Clip",4240,https://open.spotify.com/track/3f7zVrAcCZ1BVlArmg8wzr
117,BRAT,"Dani Gambino",4220,https://open.spotify.com/track/5ZVprXsuOUWpTT5s550F7j
118,"Pou ‘Nai I Agapi",Melisses,4196,https://open.spotify.com/track/3I0jAa62srnP3D2jhsiq6d
119,"Leave The Door Open","Bruno Mars",4167,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
120,Googlare,Ypo,4136,https://open.spotify.com/track/6EsQeuRu9MDPsh6b2opdIm
121,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",4101,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
122,EKAB,"Dani Gambino",4080,https://open.spotify.com/track/7ye99y8O9xNm29kEt5Pt89
123,"Good Days",SZA,4069,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
124,"Afto Pou Agapas","Giorgos Sabanis",4007,https://open.spotify.com/track/78ekizNNyzK7eM6riPFAq2
125,Muezzin,"Dof Twogee",4007,https://open.spotify.com/track/0AcBPvuK0vxr3wqcdePpRM
126,"Life Is Good (feat. Drake)",Future,3974,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
127,"Mood Swings (feat. Lil Tjay)","Pop Smoke",3972,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
128,"Tha 'Mai Edo","Konstantinos Argiros",3955,https://open.spotify.com/track/1zlq27smGznbAk1ClTuhJB
129,MATZOUNIA,"Dani Gambino",3905,https://open.spotify.com/track/3pgKSHinC3NmhsTkLLCE2X
130,"Do I Wanna Know?","Arctic Monkeys",3877,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
131,IG,Slogan,3872,https://open.spotify.com/track/4ymFaT7dHSJ7i1MwIsoP9o
132,"GREECE (feat. Drake)","DJ Khaled",3847,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
133,Sandra,TOQUEL,3842,https://open.spotify.com/track/73KYTCSbVlj5E02qWj8DPF
134,Slang,Light,3828,https://open.spotify.com/track/0QoBn12Uo7oDv3zzz4QV1v
135,CHICO,"Dani Gambino",3814,https://open.spotify.com/track/2Ho2x1gIQqJsULvkhXDGcu
136,"Oxi Simera",LEX,3796,https://open.spotify.com/track/0dD17UWACV5aYTyeS6af1k
137,goosebumps,"Travis Scott",3788,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
138,"Why'd You Only Call Me When You're High?","Arctic Monkeys",3786,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
139,Senorita,SNIK,3764,https://open.spotify.com/track/4Wc7eARS7kCa4oX2lQ8AxT
140,Stars,TOQUEL,3762,https://open.spotify.com/track/3MkDbpHIHxmxOzqUAClMj3
141,Online,SNIK,3745,https://open.spotify.com/track/0wOsbCajTcYcXy4fpUlPIC
142,"Too Deep","Dof Twogee",3735,https://open.spotify.com/track/62k0bXBaJl93DJbBuqHhV8
143,"Iced Out","Billy Sio",3730,https://open.spotify.com/track/3ZnJ4WSPRbinkHAFbsTiNB
144,"She Poppin","DJ Tune",3707,https://open.spotify.com/track/5Ki10zcEXFZj7xYxlwH962
145,"Ores Mikres","Giorgos Mazonakis",3692,https://open.spotify.com/track/4URIs3gEDgakPiGq8bhe1G
146,HOLIDAY,"Lil Nas X",3675,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
147,Invincible,"Pop Smoke",3665,https://open.spotify.com/track/792HwhrdO3ErRKL5yRe4Ge
148,"Deja Vu",Hawk,3651,https://open.spotify.com/track/5A1uS1PcKcMsMG36KgAq1d
149,"We're Good","Dua Lipa",3607,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
150,Tsigalko,"Dof Twogee",3605,https://open.spotify.com/track/1jrQFSvutJhrIWjFK3uicQ
151,"Pasa Stin Pasa",HGEMONA$,3587,https://open.spotify.com/track/2V07zF2fLsXwE5gQSUa77w
152,"Daddy Issues","The Neighbourhood",3562,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
153,34+35,"Ariana Grande",3555,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
154,"WAP (feat. Megan Thee Stallion)","Cardi B",3540,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
155,Cyan,Saske,3528,https://open.spotify.com/track/7lOk3JSaMnbZhG381VLa6C
156,"Someone You Loved","Lewis Capaldi",3507,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
157,"POPSTAR (feat. Drake)","DJ Khaled",3503,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
158,"Breaking Me",Topic,3466,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
159,Cubano,SNIK,3456,https://open.spotify.com/track/6Lzhgx9O8YFJvkkoNY9S9r
160,"Best Friend (feat. Doja Cat)",Saweetie,3439,https://open.spotify.com/track/2etHQJxIbV0soyPhelVs9Y
161,"Emena Na Akous","Nikos Oikonomopoulos",3433,https://open.spotify.com/track/1QzEdiRXQj7sskK0KHyBhP
162,"Woh - Remix",Fy,3430,https://open.spotify.com/track/2njluUoYPPPzZFglKkRBlR
163,"Mind Games",MG,3360,https://open.spotify.com/track/49Xnvarf4R6N8l0DomJzMT
164,"lovely (with Khalid)","Billie Eilish",3340,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
165,"Selfish Love (with Selena Gomez)","DJ Snake",3319,https://open.spotify.com/track/3XoflnowYPFRPOh3uFvHcm
166,Pyrex,"Ivan Greko",3311,https://open.spotify.com/track/2TFBvp8YGeqaLfvsHdXwY1
167,Drip,SNIK,3309,https://open.spotify.com/track/5o9X0DpYnZvBJ5IRR7ZwiB
168,"Agria Thalassa - Bonus Track","Giorgos Sabanis",3282,https://open.spotify.com/track/4gbWhkf7IWTExWXnx1TwW7
169,Mektoub,VLOSPA,3265,https://open.spotify.com/track/73hkARooAxWI3EXpk41S1y
