,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,China,"Anuel AA",261764,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
2,"LA CANCIÓN","J Balvin",234552,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
3,Callaita,"Bad Bunny",226254,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
4,Tutu,Camilo,210266,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
5,"No Me Conoce - Remix","Jhay Cortez",179285,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
6,"Soltera (Remix)",Lunay,157813,https://open.spotify.com/track/2qMnZF5Ja2WvmfbblByQza
7,"Otro Trago - Remix",Sech,157807,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
8,"QUE PRETENDES","J Balvin",119513,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
9,"11 PM",Maluma,117355,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
10,"Yo x Ti, Tu x Mi",ROSALÍA,105409,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
11,"Verte Ir","DJ Luian",105407,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
12,"Otro Trago",Sech,104482,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
13,"Con Altura",ROSALÍA,97745,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
14,"Tal Vez","Paulo Londra",93745,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
15,"Pa Mí - Remix",Dalex,91660,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
16,"Si Supieras","Daddy Yankee",89158,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
17,Atrévete,"Nicky Jam",88998,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50
18,Bellacoso,Residente,88437,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
19,Cuaderno,Dalex,88281,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
20,"Si Se Da - Remix","Myke Towers",86415,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
21,"Adicto (with Anuel AA & Ozuna)",Tainy,86333,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
22,Desconocidos,"Mau y Ricky",85932,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
23,Señorita,"Shawn Mendes",85587,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
24,Runaway,"Sebastian Yatra",72067,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
25,"Que Mas Pues - Remix",Sech,71946,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
26,"La Boca","Mau y Ricky",70345,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
27,"No Te Vayas",Camilo,69096,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB
28,"La Boca - Remix","Mau y Ricky",66969,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
29,"Te Vi","Piso 21",66296,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
30,"Nada Ha Cambiado","Manuel Turizo",65416,https://open.spotify.com/track/5Qykmc6YTWMvZMmBcHUdMU
31,"Te Quemaste","Manuel Turizo",63373,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
32,"Ella Quiere Beber - Remix","Anuel AA",62375,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
33,"Te Robaré","Nicky Jam",61953,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
34,Solita,Sech,60571,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
35,"Con Calma","Daddy Yankee",58596,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
36,"Adan y Eva","Paulo Londra",58311,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
37,HP,Maluma,56583,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
38,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",55494,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
39,"Calma - Remix","Pedro Capó",51575,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
40,"Old Town Road - Remix","Lil Nas X",51242,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
41,Delincuente,Farruko,49766,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6
42,"Por Eso Vine","Paulo Londra",49744,https://open.spotify.com/track/5qN1G8fSHq4Sv5FRoOkNGu
43,Secreto,"Anuel AA",49590,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
44,Amanece,"Anuel AA",48432,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
45,"Baila Baila Baila - Remix",Ozuna,47233,https://open.spotify.com/track/7mWFF4gPADjTQjC97CgFVt
46,Indeciso,Reik,47008,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
47,"Un Año","Sebastian Yatra",46955,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
48,"Esclavo de Tus Besos","Manuel Turizo",45813,https://open.spotify.com/track/0WpwK09agFbwEUaNrGnXoe
49,"Rebota - Remix",Guaynaa,45721,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11
50,"Cúrame (feat. Manuel Turizo)","Prince Royce",44984,https://open.spotify.com/track/6rXxAohZzTDsP5KT3IDFIU
51,"Si Se Da","Myke Towers",43894,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
52,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,42480,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
53,Sola,"Manuel Turizo",42112,https://open.spotify.com/track/0KHhNlHN5lWn7q332PiPys
54,"Amor A Primera Vista","Los Ángeles Azules",41901,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J
55,Aullando,"Wisin & Yandel",41606,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
56,"Nunca Es Suficiente","Los Ángeles Azules",40659,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
57,Créeme,"KAROL G",38009,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU
58,Aleluya,Reik,37946,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM
59,"MIA (feat. Drake)","Bad Bunny",37166,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
60,"En Cero",Yandel,34823,https://open.spotify.com/track/51uLQESb4VnYAbs5WtGxho
61,"Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles)","Paulo Londra",34331,https://open.spotify.com/track/3H9GDhVVTlmFQSmpt51qiP
62,Destino,Greeicy,34313,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
63,"Una Vida Para Recordar","Piso 21",34087,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
64,"Contra La Pared","Sean Paul",33562,https://open.spotify.com/track/37eGbhE1xVFSvcKkqGb6i1
65,"Que Le De","Rauw Alejandro",33130,https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ
66,"How Do You Sleep?","Sam Smith",32868,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
67,Mami,"Piso 21",32808,https://open.spotify.com/track/3bDD7GGvIzAZeHz2TOYD3A
68,Lover,"Taylor Swift",32532,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
69,"Latina (feat. Maluma)",Reykon,32379,https://open.spotify.com/track/00Ia46AgCNfnXjzgH8PIKH
70,"I Don't Care (with Justin Bieber)","Ed Sheeran",31998,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
71,"Caso Perdido","Manuel Turizo",31760,https://open.spotify.com/track/4o7sjNZ3EtL7b8CDalIAlo
72,Ocean,"KAROL G",31724,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7
73,"No Te Contaron Mal","Christian Nodal",31416,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
74,"La Playa","Myke Towers",31336,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71
75,"La player (Bandolera)","Zion & Lennox",31152,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
