,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",39330,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,Bandido,"Myke Towers",36883,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
3,"LA NOCHE DE ANOCHE","Bad Bunny",36261,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
4,BICHOTA,"KAROL G",30152,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
5,telepatía,"Kali Uchis",25972,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
6,Reloj,"Rauw Alejandro",25972,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
7,"Hecha Pa' Mi",Boza,23656,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
8,Hawái,Maluma,21299,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
9,"TE MUDASTE","Bad Bunny",21066,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
10,"Hasta Abajo","Kevin Roldan",20962,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
11,"Mi Niña",Wisin,19992,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
12,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",19486,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
13,"Chica Ideal","Sebastian Yatra",19007,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
14,"Ella No Es Tuya - Remix","Rochy RD",18989,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
15,"La Tóxica",Farruko,18769,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
16,"Aquí Abajo","Christian Nodal",18474,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
17,"La Nota","Manuel Turizo",18100,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
18,"No Te Enamores - Remix",Milly,17977,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
19,"La Curiosidad","Jay Wheeler",17885,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
20,"Machu Picchu",Camilo,17553,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
21,BEBÉ,Camilo,16909,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
22,"Relación - Remix",Sech,16898,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
23,"Parce (feat. Justin Quiles)",Maluma,16460,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
24,"Una Locura",Ozuna,16018,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
25,"Vida de Rico",Camilo,15764,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
26,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",15289,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
27,LOCATION,"KAROL G",15202,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
28,"Mi Cuarto","Jerry Di",14994,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
29,Fiel,"Los Legendarios",14406,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
30,"Ropa Cara",Camilo,14151,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
31,Jeans,"Justin Quiles",14094,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
32,"Pa' Olvidarme De Ella","Piso 21",13752,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
33,"Además de Mí - Remix",Rusherking,13388,https://open.spotify.com/track/7I8L3vYCLThw2FDrE6LuzE
34,"Se Te Nota (with Guaynaa)","Lele Pons",13383,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
35,"BOOKER T","Bad Bunny",13353,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
36,"Blinding Lights","The Weeknd",13175,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
37,"Tattoo - Remix with Camilo","Rauw Alejandro",13161,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
38,"Ay, DiOs Mío!","KAROL G",13071,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
39,"De Los Besos Que Te Di","Christian Nodal",12966,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
40,"Save Your Tears","The Weeknd",12935,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
41,Despeinada,Ozuna,12553,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
42,"LA CANCIÓN","J Balvin",12547,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
43,"Dime Cómo Quieres","Christian Nodal",12339,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
44,"La Jeepeta - Remix","Nio Garcia",12101,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
45,"Cabrón y Vago - En Vivo","El Fantasma",11878,https://open.spotify.com/track/4nbWX2HzrOEnX4xxvYRCyU
46,"CÓMO SE SIENTE - Remix","Jhay Cortez",11802,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
47,"Fan de Tus Fotos","Nicky Jam",11702,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
48,"La Forma en Que Me Miras","Super Yei",11512,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
49,Polvo,"Nicky Jam",11493,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
50,911,Sech,11303,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
51,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",11084,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
52,Caramelo,Ozuna,10631,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
53,"HACIENDO QUE ME AMAS","Bad Bunny",10281,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
54,"Quiéreme Mientras Se Pueda","Manuel Turizo",10140,https://open.spotify.com/track/34LI7rwi9H8w2S5KTHnv1M
55,"drivers license","Olivia Rodrigo",9476,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
56,"No Me Conoce - Remix","Jhay Cortez",9462,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
57,"Si Estuviésemos Juntos","Bad Bunny",9426,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
58,"Más De La Una","Piso 21",8957,https://open.spotify.com/track/69Y5IZuBvGyzySFt5x7kCq
