,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Yummy,"Justin Bieber",125435,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
2,Señorita,"Shawn Mendes",122391,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,Memories,"Maroon 5",113141,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
4,"Dance Monkey","Tones And I",108623,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,Psycho,"Red Velvet",101222,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK
6,ROXANNE,"Arizona Zervas",97077,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
7,Circles,"Post Malone",93937,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
8,"everything i wanted","Billie Eilish",91982,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
9,"Don't Start Now","Dua Lipa",87538,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
10,說好不哭,"Jay Chou",79117,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf
11,Falling,"Trevor Daniel",77232,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,"My Oh My (feat. DaBaby)","Camila Cabello",75723,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
13,"bad guy","Billie Eilish",74583,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
14,"讓愛高飛 - 劇集 ""多功能老婆"" 片尾曲","Pakho Chau",74092,https://open.spotify.com/track/7nIxo0dE9d4FBwPYhmdQae
15,"Blinding Lights","The Weeknd",73951,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
16,"Adore You","Harry Styles",69081,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
17,我們都是這樣長大的,"Sammi Cheng",65584,https://open.spotify.com/track/37gQxPrcu81gpr5SbOlIJO
18,"Lose You To Love Me","Selena Gomez",64381,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
19,"Someone You Loved","Lewis Capaldi",60074,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,"Mean It",Lauv,57148,https://open.spotify.com/track/5ACkb3CikcSZPF0h7FSZAp
21,"Watermelon Sugar","Harry Styles",56730,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
22,我們的基因,"Kay Tse",54886,https://open.spotify.com/track/6FoIspSXf48MlZUl5wlXmx
23,"Beautiful People (feat. Khalid)","Ed Sheeran",53279,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
24,假使世界原來不像你預期,"Charmaine Fong",52764,https://open.spotify.com/track/53HxUdYRCRMdzYPG0qhGUP
25,未來見,RubberBand,52508,https://open.spotify.com/track/5OPqZ5dEqrdPGatJgnZ8xG
26,"Into the Unknown","Idina Menzel",52227,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W
27,春秋,"Hins Cheung",52057,https://open.spotify.com/track/2WVbMoHdWCspdiEa7OnG1D
28,你瞞我瞞,"Jason Chan",51765,https://open.spotify.com/track/1eId3TVzGrwv73YAWAVQMX
29,"I Don't Care (with Justin Bieber)","Ed Sheeran",49075,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
30,人話,"Charmaine Fong",49047,https://open.spotify.com/track/0up40LIPnr6XxfDpG2KS0U
31,"有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲",A-Lin,48154,https://open.spotify.com/track/6iNH42q8haGYDYGhKK6XiJ
32,"hot girl bummer",blackbear,47957,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
33,"The Box","Roddy Ricch",47883,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
34,"你,好不好? - TVBS連續劇【遺憾拼圖】片尾曲","Eric Chou",47449,https://open.spotify.com/track/2gug6MRv4xQFYi9LA3PJCS
35,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",47006,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
36,句號,G.E.M.,46953,https://open.spotify.com/track/66YKSygcUZHHqHJZcWslI3
37,"7 rings","Ariana Grande",46847,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
38,"逃生門 (feat. 王灝兒) - 門外版","Endy Chow",46602,https://open.spotify.com/track/2WMOgfhslraKnEEbXSL5JJ
