,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Leave The Door Open","Bruno Mars",18271,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
2,"一人之境 in C major","Terence Lam",17841,https://open.spotify.com/track/32QnXosZq7A11knnBAEqk7
3,時光倒流一句話,"Terence Lam",17296,https://open.spotify.com/track/63QmxPL3QlchvXcHLsI6UM
4,"隔離 - Studio Live Duet","Jace Chan",16093,https://open.spotify.com/track/4xL01OuFjqizPDclF8gDpl
5,"E先生 連環不幸事件","Edan 呂爵安",15972,https://open.spotify.com/track/06sDxr7MbbwFyTP1f6rvvl
6,是但求其愛,"Eason Chan",14959,https://open.spotify.com/track/4IkQXb1IdIziAJmO3FODo7
7,"drivers license","Olivia Rodrigo",14222,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
8,下一位前度,"Terence Lam",13852,https://open.spotify.com/track/0Q3jOuEpx8Esi2qZMQSghl
9,俏郎君,"Hins Cheung",13828,https://open.spotify.com/track/4ckh5VN2HYQ8TzS51Nh7ol
10,"刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲","Crowd Lu",13676,https://open.spotify.com/track/3OC84eKMxRJ4x0Hcwl9i4i
11,"Hold On","Justin Bieber",12587,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
12,未開始已經結束,"Dear Jane",12001,https://open.spotify.com/track/3pciLZ7pj3WiwP8AmKdze8
13,銀河修理員,"Dear Jane",11792,https://open.spotify.com/track/0pupuSkMBGpzsqG3fWcyPe
14,"Save Your Tears","The Weeknd",11560,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
15,東京人壽,"Joey Yung",11267,https://open.spotify.com/track/1qc9E4zCJ5utXDQVIAZlkm
16,隔離,"Jace Chan",10779,https://open.spotify.com/track/7egdaSVtPnuW7YG821w7jz
17,飞鸟和蝉,"Ren Ran",9551,https://open.spotify.com/track/0O7O4sssbFxoNoB4QRGra1
18,"We're Good","Dua Lipa",9517,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
19,呼吸有害,"Karen Mok",9292,https://open.spotify.com/track/4t53NE3uBLkTwW9rUgiHC8
20,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,9030,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa
21,蒙著嘴說愛你,姜濤,9018,https://open.spotify.com/track/2w9A7fvq6ka5CB9l7wDZXG
22,"What’s Next",Drake,8962,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
23,我在流浮山滴眼水.jpg,Serrini,8915,https://open.spotify.com/track/5x9Clj56YLmklm3Zikx2iF
24,Dynamite,BTS,8894,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
25,夜に駆ける,YOASOBI,8541,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
26,"Astronaut In The Ocean","Masked Wolf",8451,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
27,特倫斯夢遊仙境,"Terence Lam",8342,https://open.spotify.com/track/3PeCYcmMwmxshV64hPSHGS
28,哀的美敦書,"Dear Jane",8295,https://open.spotify.com/track/2mh20y35EhzqMy6su3sJJA
29,鯨落,"陳卓賢 Ian",8284,https://open.spotify.com/track/1rTnGbIahUmq6fK8RWAXfd
30,"遲了悔改 - ViuTV電視劇《太平紋身店》主題曲","Yan Ting",8271,https://open.spotify.com/track/0Os0RD1apkQsWOeF2cV5w2
31,"How You Like That",BLACKPINK,8200,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
32,春秋,"Hins Cheung",8151,https://open.spotify.com/track/2WVbMoHdWCspdiEa7OnG1D
33,"拼命無恙 in Bb major","Terence Lam",7901,https://open.spotify.com/track/24tzRRz8r26gOmQB8PEZwv
34,假使世界原來不像你預期,"Charmaine Fong",7837,https://open.spotify.com/track/53HxUdYRCRMdzYPG0qhGUP
35,Anyone,"Justin Bieber",7684,https://open.spotify.com/track/31qCy5ZaophVA81wtlwLc4
36,"Someone You Loved","Lewis Capaldi",7678,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
37,正式開始,"陳卓賢 Ian",7622,https://open.spotify.com/track/1jVw3apCOogFU1mOquNIhC
38,CityPop,AGA,7398,https://open.spotify.com/track/22DT55qhBCDKnPRPoZcX7n
