,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Hawái,Maluma,154921,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
2,"La Curiosidad","Jay Wheeler",90983,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
3,"La Jeepeta - Remix","Nio Garcia",88423,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
4,"Ay, DiOs Mío!","KAROL G",80491,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
5,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",66533,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
6,"Tattoo - Remix with Camilo","Rauw Alejandro",65608,https://open.spotify.com/track/4ZRrLHqzhGRXYj2qcB4s5S
7,Caramelo,Ozuna,64550,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
8,Relación,Sech,57216,https://open.spotify.com/track/3ZG8N7aWw2meb6UrI5ZmnZ
9,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,53589,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
10,"La Tóxica",Farruko,49093,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
11,"Relación - Remix",Sech,47679,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
12,"Djadja (feat. Maluma) - Remix","Aya Nakamura",47602,https://open.spotify.com/track/13vDU8nPsvTGEVTMB8Vw7g
13,"Blinding Lights","The Weeknd",46063,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,"CÓMO SE SIENTE - Remix","Jhay Cortez",45053,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
15,"Pa' Olvidarme De Ella","Piso 21",44572,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
16,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",43997,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
17,"Mi Cuarto","Jerry Di",43151,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
18,"Elegí (feat. Dímelo Flow)","Rauw Alejandro",42415,https://open.spotify.com/track/50ZC4PM7hywH27RcCfViau
19,Rojo,"J Balvin",40875,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
20,"Caramelo - Remix",Ozuna,39287,https://open.spotify.com/track/67jvGGbJmOmVonlyX3mNkV
21,Jangueo,"Alex Rose",37546,https://open.spotify.com/track/1bRpSCFv6P2OUhciByeRYR
22,"WAP (feat. Megan Thee Stallion)","Cardi B",37170,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
23,+Linda,Dalex,36754,https://open.spotify.com/track/5cBrOhKDyiJF9bPGUHKkG0
24,Diosa,"Myke Towers",36745,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
