,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",14032,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"LA NOCHE DE ANOCHE","Bad Bunny",12845,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
3,Bandido,"Myke Towers",11947,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
4,telepatía,"Kali Uchis",11266,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
5,BICHOTA,"KAROL G",8846,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
6,"TE MUDASTE","Bad Bunny",8277,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
7,Reloj,"Rauw Alejandro",7979,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
8,"Ella No Es Tuya - Remix","Rochy RD",7770,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
9,"Hecha Pa' Mi",Boza,7288,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
10,"Hasta Abajo","Kevin Roldan",7062,https://open.spotify.com/track/4PEfJZpVjdclfzZ9XO8uDw
11,"BOOKER T","Bad Bunny",6746,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
12,Hawái,Maluma,6218,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
13,"No Te Enamores - Remix",Milly,6075,https://open.spotify.com/track/2mM3gZ0BbPwPPMelbA8vgt
14,"Mi Niña",Wisin,6028,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
15,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",5907,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
16,"La Tóxica",Farruko,5803,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
17,"La Nota","Manuel Turizo",5603,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
18,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",5533,https://open.spotify.com/track/0D75ciM842cdUMKSMfAR9y
19,"Save Your Tears","The Weeknd",5461,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
20,"La Curiosidad","Jay Wheeler",5407,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
21,"Blinding Lights","The Weeknd",5324,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,"CÓMO SE SIENTE - Remix","Jhay Cortez",5209,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
23,"Machu Picchu",Camilo,5191,https://open.spotify.com/track/6RV9pRLIQiXm3qTGeyQluf
24,"Relación - Remix",Sech,5175,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
25,"Chica Ideal","Sebastian Yatra",4985,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
26,Fiel,"Los Legendarios",4975,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
27,"HACIENDO QUE ME AMAS","Bad Bunny",4784,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
28,LOCATION,"KAROL G",4695,https://open.spotify.com/track/5Km4r87BoX2qqtoprYS1gh
29,"LA CANCIÓN","J Balvin",4618,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
30,"Una Locura",Ozuna,4615,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
31,BEBÉ,Camilo,4596,https://open.spotify.com/track/3Zf4GutWZ7Hv3wsVQsSQPs
32,"Parce (feat. Justin Quiles)",Maluma,4594,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
33,911,Sech,4540,https://open.spotify.com/track/2TksvaRivgAEj780DgRB73
34,"Aquí Abajo","Christian Nodal",4476,https://open.spotify.com/track/16ONd70tvWAaLIc6hcLzaG
35,"Vida de Rico",Camilo,4254,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
36,"drivers license","Olivia Rodrigo",4151,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
37,Jeans,"Justin Quiles",4146,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
38,Polvo,"Nicky Jam",4117,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
39,"La Jeepeta - Remix","Nio Garcia",4106,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
40,"Ropa Cara",Camilo,4058,https://open.spotify.com/track/2zY1iTaEgs8ROkkWtWLe7l
41,"Mi Cuarto","Jerry Di",3945,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
42,"Tattoo - Remix with Camilo","Rauw Alejandro",3922,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
43,"La Santa","Bad Bunny",3865,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
44,"Si Estuviésemos Juntos","Bad Bunny",3835,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
45,"Ay, DiOs Mío!","KAROL G",3799,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
46,Despeinada,Ozuna,3750,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
47,"Se Te Nota (with Guaynaa)","Lele Pons",3734,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
48,"La Curiosidad (feat. Dj Nelson, Jhay Cortez, Lunay & Kendo Kaponi) - Blue Grand Prix Remix","Jay Wheeler",3642,https://open.spotify.com/track/7LE1K0lZyRFZjSlrnm7lfD
49,"Si Veo a Tu Mamá","Bad Bunny",3593,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
50,"La Forma en Que Me Miras","Super Yei",3419,https://open.spotify.com/track/57Ba26w9eoXx8BBUNgRNLV
51,Vete,"Bad Bunny",3338,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
