,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Roses - Imanbek Remix","SAINt JHN",143127,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
2,"Blinding Lights","The Weeknd",138130,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Breaking Me",Topic,119865,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
4,GOOBA,6ix9ine,104545,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
5,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,89990,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
6,"TROLLZ (with Nicki Minaj)",6ix9ine,84392,https://open.spotify.com/track/3dVvWnj4D8JGkKvo6Hucso
7,"THE SCOTTS","THE SCOTTS",75491,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
8,"Rain On Me (with Ariana Grande)","Lady Gaga",71540,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
9,"Dance Monkey","Tones And I",71168,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
10,"Don't Start Now","Dua Lipa",70625,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
11,"Watermelon Sugar","Harry Styles",69955,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"Break My Heart","Dua Lipa",67474,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
13,"Party Girl",StaySolidRocky,65341,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
14,"Toosie Slide",Drake,65047,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
15,"Kings & Queens","Ava Max",64718,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
16,"Blueberry Faygo","Lil Mosey",61718,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
17,"The Box","Roddy Ricch",59774,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
18,"Ride It",Regard,55507,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
19,"Some Say - Felix Jaehn Remix",Nea,55080,https://open.spotify.com/track/7C1trmcQQ5n5RNy4l6ziCv
20,"Ez annyira te","Kasza Tibi",55027,https://open.spotify.com/track/35TSvioaGVXAZDqJuNl0Rp
21,"ily (i love you baby) (feat. Emilee)","Surf Mesa",55007,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
