,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Astronaut In The Ocean","Masked Wolf",19022,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
2,"The Business",Tiësto,18738,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
3,"Üres szívek",Nemazalány,14140,https://open.spotify.com/track/78Jj0xPR2y4KMAtYuWpRly
4,"Head & Heart (feat. MNEK)","Joel Corry",13352,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
5,"Mood (feat. iann dior)",24kGoldn,13157,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
6,"drivers license","Olivia Rodrigo",13018,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
7,"Paradise (feat. Dermot Kennedy)",MEDUZA,13018,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
8,"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",Ofenbach,12893,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
9,"Save Your Tears","The Weeknd",12504,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
10,"Blinding Lights","The Weeknd",10817,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,"Your Love (9PM)",ATB,10654,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
12,Cella,"Bruno X Spacc",10644,https://open.spotify.com/track/1lzJmwdvxnJdnKUcedpOWx
13,RÉT,Azahriah,10572,https://open.spotify.com/track/7EQq2RCCbFOR7XnN5J1vTv
14,"Levitating (feat. DaBaby)","Dua Lipa",10477,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
15,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",9367,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
16,"Fiatal bajnokok","Bruno X Spacc",9230,https://open.spotify.com/track/63ANDuFpcX21uUiiTGPD95
17,Whoopty,CJ,8944,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
18,"Prisoner (feat. Dua Lipa)","Miley Cyrus",8690,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
19,Arcade,"Duncan Laurence",8649,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
20,"Breaking Me",Topic,8269,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
21,"Kings & Queens","Ava Max",8240,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
22,Lej,Dzsúdló,8098,https://open.spotify.com/track/3sUOONjFxjepoSXvKYrz5E
23,"you broke me first","Tate McRae",7917,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
24,"WITHOUT YOU","The Kid LAROI",7894,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
25,Talán,Manuel,7854,https://open.spotify.com/track/5uWUKvPNekWal505BdKgfD
26,Lovefool,twocolors,7839,https://open.spotify.com/track/51Of5p3lKZeOg6itfs4og4
27,Up,"Cardi B",7779,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
28,"My Head & My Heart","Ava Max",7722,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
29,"Roses - Imanbek Remix","SAINt JHN",7587,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
30,"Wasted Love (feat. Lagique)",Ofenbach,7401,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
31,"Take You Dancing","Jason Derulo",7326,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
32,Évszakok,"DR BRS",7135,https://open.spotify.com/track/0rHuCRM0BhYtxse5qLv0t6
33,"Calling My Phone","Lil Tjay",7090,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
34,Streets,"Doja Cat",6969,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
35,"Olyan Ő","Bagossy Brothers Company",6937,https://open.spotify.com/track/0GsltzHgCGCiQvskZggDDj
36,"Hold On","Justin Bieber",6855,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
37,"We're Good","Dua Lipa",6743,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
38,Keverem,"Bruno X Spacc",6665,https://open.spotify.com/track/1e8i2MMg3AGATWprn8rGts
39,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,6664,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
40,Mostantól,"Rácz Gergõ",6583,https://open.spotify.com/track/25dMOeb3nDs8BPjxrQyOjR
41,"Háborgó mélység 2","Lotfi Begi",6535,https://open.spotify.com/track/1X0AvW2wtoDeuluMYqJMdH
42,HOLIDAY,"Lil Nas X",6486,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
