,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Memories,"Maroon 5",2365826,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
2,Halu,"Feby Putri",1737634,https://open.spotify.com/track/3c4cBEObUsLU8O5I2yQP3l
3,Tolong,"Budi Doremi",1567437,https://open.spotify.com/track/5X5Vj8FcxyoLzq9qxAa45U
4,Señorita,"Shawn Mendes",1383698,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
5,Nyaman,Andmesh,1279115,https://open.spotify.com/track/6LHqHsocARSK7Lpx3Hz9XH
6,"It's You","Ali Gatie",1252277,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
7,comethru,"Jeremy Zucker",1207290,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
8,"I Love You 3000","Stephanie Poetri",1191242,https://open.spotify.com/track/3znQ9i61vfe2E7URHlOiyc
9,"Lose You To Love Me","Selena Gomez",1185554,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
10,"Tanpa Tergesa","Juicy Luicy",1148437,https://open.spotify.com/track/66wRGrt1HmeVa1wtnWMj6C
11,"Celengan Rindu","Fiersa Besari",1143834,https://open.spotify.com/track/19JvKc2f3ZNblfBSDMDwUF
12,"Someone You Loved","Lewis Capaldi",1117351,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
13,"Cinta Luar Biasa",Andmesh,1109228,https://open.spotify.com/track/1Hy1CBFRXYvFL7eJT5MLlG
14,"Selamat (Selamat Tinggal)",Virgoun,1108935,https://open.spotify.com/track/1mruWrUwAVe2XkksUQiaHK
15,"Hanya Rindu",Andmesh,1084628,https://open.spotify.com/track/3VK96nMFmP34P4dq2zrAWu
16,"Waktu Yang Salah","Fiersa Besari",1053497,https://open.spotify.com/track/4qgIQcskrvj6nlypTvBm5k
17,"Adu Rayu","Yovie Widianto",1038699,https://open.spotify.com/track/3FcCAFQj4bLpfxo8gj1kk9
18,"10,000 Hours (with Justin Bieber)","Dan + Shay",996620,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
19,"100 Degrees","Rich Brian",966810,https://open.spotify.com/track/2ZDpSQfBdgkooeXw6oj3Uz
20,lowkey,NIKI,935287,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi
