,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",402582,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
2,Outnumbered,"Dermot Kennedy",365922,https://open.spotify.com/track/6UjZ2Yx2g2a52XxiA8ONxZ
3,"3 Nights","Dominic Fike",328120,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
4,"Beautiful People (feat. Khalid)","Ed Sheeran",322039,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
5,Ransom,"Lil Tecca",262209,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
6,"Someone You Loved","Lewis Capaldi",260376,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
7,"boyfriend (with Social House)","Ariana Grande",256094,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
8,"Goodbyes (Feat. Young Thug)","Post Malone",242636,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
9,"How Do You Sleep?","Sam Smith",236586,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
10,"Mad Love",Mabel,220517,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
11,"Higher Love",Kygo,215227,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
12,"Post Malone (feat. RANI)","Sam Feldt",205904,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
13,"I Don't Care (with Justin Bieber)","Ed Sheeran",202759,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
14,Crown,Stormzy,200024,https://open.spotify.com/track/1hxE8xAp7CrBsdpiRpiWFy
15,"Hold Me While You Wait","Lewis Capaldi",190526,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM
16,"Ladbroke Grove","AJ Tracey",189926,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV
17,Sorry,"Joel Corry",188918,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
18,"Vossi Bop",Stormzy,184953,https://open.spotify.com/track/44ZJ4hLD5onikKsVLQaILr
19,"Wish You Well",Sigala,183945,https://open.spotify.com/track/1yAPglN5AGf7UoLK062ZYq
20,"Good As Hell",Lizzo,181408,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
21,"Piece Of Your Heart",MEDUZA,170614,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
22,"bad guy","Billie Eilish",166054,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
23,"Truth Hurts",Lizzo,159560,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
24,Castles,"Freya Ridings",159083,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n
25,Ritual,Tiësto,157169,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
26,"Old Town Road - Remix","Lil Nas X",149305,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
27,"Location (feat. Burna Boy)",Dave,148525,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI
28,Panini,"Lil Nas X",147504,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
29,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)","Martin Garrix",146412,https://open.spotify.com/track/40OMBMYRk5IQL6xCzGM0JA
30,"Never Really Over","Katy Perry",146095,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
31,"It's You","Ali Gatie",143415,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
32,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",137844,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
33,"Take Me Back to London (feat. Stormzy)","Ed Sheeran",135706,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0
34,"Money In The Grave (Drake ft. Rick Ross)",Drake,130207,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
35,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",122847,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
36,"Dance Monkey","Tones And I",122536,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
37,Bruises,"Lewis Capaldi",119385,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
38,"fuck, i'm lonely",Lauv,115001,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
39,"No Guidance (feat. Drake)","Chris Brown",114795,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
40,"bad guy (with Justin Bieber)","Billie Eilish",113255,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
41,"SOS (feat. Aloe Blacc)",Avicii,112997,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
42,Shallow,"Lady Gaga",109446,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
43,"If I Can't Have You","Shawn Mendes",107662,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
44,Prefontaine,Versatile,106531,https://open.spotify.com/track/5A0fbMSRVcJ5grS2gHrVfD
45,Lalala,Y2K,105141,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
46,"Hate Me (with Juice WRLD)","Ellie Goulding",103918,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
47,"Thiago Silva",Dave,102784,https://open.spotify.com/track/3DKCTIiJ97bS9TGiqcABjo
48,"Taste (Make It Shake)",Aitch,101081,https://open.spotify.com/track/3evfXgwjSY5zuFxAHjMW5S
49,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",100029,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
50,"All Day And Night","Jax Jones",95990,https://open.spotify.com/track/5naYe7rLMZcLfO1DKg48MK
51,"Harder (with Bebe Rexha)","Jax Jones",93357,https://open.spotify.com/track/5RgBnDtHKFHgtVdqabjGE3
52,"Takeaway (feat. Lennon Stella)","The Chainsmokers",88942,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
53,"Power Over Me","Dermot Kennedy",85910,https://open.spotify.com/track/0OGNtqKkjI7FCE9HZ4Khgo
54,"Small Talk","Katy Perry",85541,https://open.spotify.com/track/4NmE2ytXI8S2svTRSmEdpO
55,"Strike a Pose (feat. Aitch)","Young T & Bugsey",82612,https://open.spotify.com/track/23GvTfcGK454ppLsts3W44
