,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"drivers license","Olivia Rodrigo",48084,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
2,"The Business",Tiësto,32445,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
3,"WITHOUT YOU","The Kid LAROI",28517,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
4,"Paradise (feat. Dermot Kennedy)",MEDUZA,26739,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
5,"Save Your Tears","The Weeknd",26268,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"Levitating (feat. DaBaby)","Dua Lipa",25004,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"Heat Waves","Glass Animals",24927,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
8,"Calling My Phone","Lil Tjay",23787,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
9,"Head & Heart (feat. MNEK)","Joel Corry",23156,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
10,Giants,"Dermot Kennedy",23142,https://open.spotify.com/track/43CHdbHYdcbUWP10UFKyZ7
11,"What’s Next",Drake,22801,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
12,"Don't Play",Anne-Marie,22486,https://open.spotify.com/track/4I5bvu2KDsrCg0EWHIcvul
13,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,22346,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
14,Up,"Cardi B",21553,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
15,"Wants and Needs (feat. Lil Baby)",Drake,21070,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
16,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",20763,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
17,Streets,"Doja Cat",20660,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
18,"you broke me first","Tate McRae",19979,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
19,"Your Love (9PM)",ATB,19912,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
20,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,19258,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
21,"Mood (feat. iann dior)",24kGoldn,18401,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
22,"Hold On","Justin Bieber",17926,https://open.spotify.com/track/4u4NyuceXP7Uzh7XFJKCr1
23,"Good Days",SZA,17706,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
