,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falskar ástir",Floni,86920,https://open.spotify.com/track/4I6E6Tku36NOmDNL7LcIw9
2,"Fyrir aðra",Floni,77343,https://open.spotify.com/track/3iKA4ktpRpLEk0TBUTNKUL
3,"Frá mér",Floni,65653,https://open.spotify.com/track/7oySOMJlAO5hbDCa94ZX0q
4,"Rétt að byrja (feat. Birnir)",Floni,65117,https://open.spotify.com/track/2INfjWnlxg2Q1qupRK0Qhf
5,"7 rings","Ariana Grande",64300,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF
6,"Einn heim",Floni,63437,https://open.spotify.com/track/6LTqf9vJdyVDwoTFyfzoZF
7,"Kominn aftur",Floni,61904,https://open.spotify.com/track/31IskvrS1FaYq6OZiFjytx
8,Hraðar,Floni,58431,https://open.spotify.com/track/7492rjnwj0o6j5i6PAJBzn
9,"bury a friend","Billie Eilish",52307,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP
10,Shallow,"Lady Gaga",47946,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
11,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",38320,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
12,Næsta,JóiPé,36504,https://open.spotify.com/track/1YC7llsHtz0ScDtiLEVHZG
13,Wow.,"Post Malone",35361,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
14,"Upp Til Hópa","Herra Hnetusmjör",31887,https://open.spotify.com/track/4OSdc34FbsNO5PmjuPDXRS
15,Keyra,"Herra Hnetusmjör",30393,https://open.spotify.com/track/0RqvzJVa3bWHIzif8hPfVJ
16,"Veist Af Mér",Huginn,29620,https://open.spotify.com/track/6FRoRSdJqU7wFb8XW7B0oR
17,"Dancing With A Stranger (with Normani)","Sam Smith",27280,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
18,"Always Remember Us This Way","Lady Gaga",26611,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
19,"Sweet but Psycho","Ava Max",26233,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
20,"when the party's over","Billie Eilish",23940,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
21,Vangaveltur,"Herra Hnetusmjör",23398,https://open.spotify.com/track/71dVVh8uCnG4u6GhCoXitz
22,"Eina Sem Ég Vil",ClubDub,23357,https://open.spotify.com/track/52oeIc4mgVs9J0o0QuZEag
23,"Without Me",Halsey,22491,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
24,Vay,"Aron Can",22183,https://open.spotify.com/track/0Hz8VBLbdH3nIX6XKrOpvI
25,"Hata að hafa þig ekki hér (SAMSUNG SESSJÓN)","Friðrik Dór",21588,https://open.spotify.com/track/2VvV5w6oTybLoO9pcRpgTz
26,"thank u, next","Ariana Grande",21165,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
27,"High Hopes","Panic! At The Disco",19530,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
28,"Be Alright","Dean Lewis",19154,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
29,"Hetjan (feat. Herra Hnetusmjör)",Huginn,18874,https://open.spotify.com/track/7GM3D2CyLuQ3QwsO7ZIee6
30,"Look Back at It","A Boogie Wit da Hoodie",18418,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8
31,"MIDDLE CHILD","J. Cole",17931,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
32,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",17862,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
33,"SICKO MODE","Travis Scott",17657,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
34,"Lost in the Fire",Gesaffelstein,17645,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG
35,"Lætur mig",GDRN,17566,https://open.spotify.com/track/0bnCxmktCsoiwb1Witnnrd
36,00:26,JóiPé,16869,https://open.spotify.com/track/7tp89E9Daxb7xoLggXzWU7
37,"Giant (with Rag'n'Bone Man)","Calvin Harris",16711,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
38,"In My Mind",Dynoro,16544,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
39,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",16214,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
40,"Bohemian Rhapsody - Remastered 2011",Queen,15813,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
41,Thotiana,Blueface,14859,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
42,"Clubbed Up",ClubDub;Ra:tio,14718,https://open.spotify.com/track/44W4kdPFIt6tRy4cw1mUA6
43,"Racks on Racks","Lil Pump",14628,https://open.spotify.com/track/0SfG57HqtBNqKN9O27fo1s
44,"Mo Bamba","Sheck Wes",14542,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
45,"Með þér","Jón Jónsson",14497,https://open.spotify.com/track/0fYnjjXtO2bSkrNrVdv8LI
46,lovely,"Billie Eilish",14272,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf
47,"Fire On Fire - From ""Watership Down""","Sam Smith",14245,https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND
48,"Í Átt Að Tunglinu",JóiPé,14220,https://open.spotify.com/track/4wBY9TNUoxtKiRh4JjAS7x
49,Happier,Marshmello,14046,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
50,"Ekki stinga mig af (LIVE @Kaplakriki)","Friðrik Dór",13662,https://open.spotify.com/track/7JCYlpeDB2UgsTK3uzbyUr
51,"Ungir Strákar - Deep Mix",Floni,13464,https://open.spotify.com/track/5q4wkqDLqnvPy1nMrOvRz7
52,OMG,Floni,13038,https://open.spotify.com/track/54aOgpcb6kLIIrpdy5Ea0d
53,"HEIMSKUR OG BREYSKUR (feat. Birnir)",Auður,13026,https://open.spotify.com/track/2vzi4zXoztP0T0YCR7ga8V
