,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Ástrós (feat. BRÍET)","Bubbi Morthens",11169,https://open.spotify.com/track/7mGZklollA25HGdPh3jWeW
2,"Spurningar (feat. Páll Óskar)",Birnir,5407,https://open.spotify.com/track/5VrbuzqAjCAFSa7MpGRXWI
3,"Rólegur Kúreki",BRÍET,5244,https://open.spotify.com/track/5qI0p2E7BxBxYRJknYr6Gg
4,"Ef ástin er hrein (feat. GDRN)","Jón Jónsson",4924,https://open.spotify.com/track/5wGoaKvq8Vlst7ZqKyQbvn
5,"Save Your Tears","The Weeknd",4897,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
6,"drivers license","Olivia Rodrigo",4348,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
7,"Segðu mér","Friðrik Dór",4035,https://open.spotify.com/track/04ZMCgKlsRcTDrxGMKCrAx
8,"Calling My Phone","Lil Tjay",3650,https://open.spotify.com/track/5Kskr9LcNYa0tpt5f0ZEJx
9,Esjan,BRÍET,3483,https://open.spotify.com/track/7DRDJ5ZzU7mj7CfRxGYzOY
10,"The Business",Tiësto,3448,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
11,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",3163,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
12,"Wants and Needs (feat. Lil Baby)",Drake,3090,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
13,"Rangur Maður","Ingi Bauer",3005,https://open.spotify.com/track/55CSBM2ebqdGhLwpyZfl07
14,"What’s Next",Drake,2982,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
15,"WITHOUT YOU","The Kid LAROI",2698,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
16,"Fljúgðu burt dúfa",Auður,2540,https://open.spotify.com/track/215DAsePr8LKyzyF2sScV7
17,"Goosebumps - Remix","Travis Scott",2532,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
18,"Good Days",SZA,2429,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
19,"Blinding Lights","The Weeknd",2345,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
20,Up,"Cardi B",2260,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
21,"Rómeó og Júlía","Bubbi Morthens",2142,https://open.spotify.com/track/0IdsoEg5mjXNqlrskkzWjl
22,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2010,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
23,Streets,"Doja Cat",2003,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
24,"Dvel ég í draumahöll","Hafdís Huld",1977,https://open.spotify.com/track/44APbTIWsNtA4lJivNJSQ6
25,Sólblóm,BRÍET,1977,https://open.spotify.com/track/1JErDzdamBvSZQr7xaDToq
26,"Lemon Pepper Freestyle (feat. Rick Ross)",Drake,1959,https://open.spotify.com/track/4FRW5Nza1Ym91BGV4nFWXI
27,"AP - Music from the film Boogie","Pop Smoke",1895,https://open.spotify.com/track/17vGPZ5EsdvtgAOCD4FLWI
28,"Djúp Sár Gróa Hægt",BRÍET,1892,https://open.spotify.com/track/1aPtR7RxPkPBL385B9FYEl
29,Whoopty,CJ,1880,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
30,Fimm,BRÍET,1794,https://open.spotify.com/track/07pDiOE4MapRnzP6KdrRKX
31,"Er þetta ást? - Live á RÚV",Unnsteinn,1759,https://open.spotify.com/track/1jnKjUwZG3X1LhqeVY09eN
