,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Bottiglie Privè","Sfera Ebbasta",2256184,https://open.spotify.com/track/3E2KP5AWn6Wx0NcPstzKeo
2,Destri,Gazzelle,1806610,https://open.spotify.com/track/0WBg2If3H9nN9RFl2xO2SZ
3,"SLATT (feat. Capo Plaza)",Rondodasosa,1634446,https://open.spotify.com/track/1YvhcTM8aIRTg03AavA2HJ
4,Superclassico,Ernia,1533478,https://open.spotify.com/track/6Ahg1hncxUdK0ICqU03BCu
5,"ALTALENE (feat. Mara Sattei & Coez)","BLOODY VINYL",1515943,https://open.spotify.com/track/2zqxUV6h5y6Y9WhyH0FVvX
6,"Mama (feat. Nitro)",Gemitaiz,1348988,https://open.spotify.com/track/1ws9IBGum9LLNEdSVNO2pH
7,Scusa,Gazzelle,1312397,https://open.spotify.com/track/6Nrk9XnXq7Gfjy4vGmkrMq
8,"Mood (feat. iann dior)",24kGoldn,1263990,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
9,"Bella Storia",Fedez,1120579,https://open.spotify.com/track/0824Kyozhv4yBbM86aBFCG
10,"Scooby Doo","Pinguini Tattici Nucleari",1082553,https://open.spotify.com/track/0zgIj1n6G4tdQHYBvBVd8s
11,"Chico (feat. Rose Villain & Luchè)","Guè Pequeno",1079021,https://open.spotify.com/track/3Xhl7OqWAFgVxQKrWhyVVO
12,"Mondo Di Fango",Gemitaiz,1039746,https://open.spotify.com/track/3rR90ytwXhFCGXjbDzN7HI
13,"Head & Heart (feat. MNEK)","Joel Corry",1001270,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"Therefore I Am","Billie Eilish",962121,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
15,"Cuore Nero - prod. Frenetik&Orang3",Blind,961954,https://open.spotify.com/track/0ROJX4yr64AlknCaX71JDQ
16,Hypnotized,"Purple Disco Machine",955763,https://open.spotify.com/track/0vWUhCPxpJOJR5urYbZypB
17,"M' Manc (con Geolier & Sfera Ebbasta)",Shablo,942343,https://open.spotify.com/track/0MLu1cFYL4ikdRTdasCQT9
18,VENT'ANNI,Måneskin,890461,https://open.spotify.com/track/34r4voojt51Kk6ax5FJI1M
19,Lacri-ma,Gazzelle,848051,https://open.spotify.com/track/0N6QZADGv1zv3JbVIX6ctx
20,"A Un Passo Dalla Luna","Rocco Hunt",812001,https://open.spotify.com/track/3YNcQUeVOpM3SDmwBeGfMK
21,"What You Know Bout Love","Pop Smoke",801077,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
22,Crepe,Irama,791635,https://open.spotify.com/track/6L671UzJPyAzbHEhaNhDUJ
23,"Alright (feat. Emis Killa, Geolier)",Gemitaiz,783042,https://open.spotify.com/track/7hhg8fAx3sc2zOOW028BLs
24,"Te lo prometto","Il Tre",779155,https://open.spotify.com/track/72aqCNAdOo6H4nrPyAivSV
25,"TATUAGGI (feat. ARIETE)",PSICOLOGI,770149,https://open.spotify.com/track/15WIkk29b7NqOK2poTRnOU
26,Concedimi,"Matteo Romano",743415,https://open.spotify.com/track/0pFjYM7JdNJhjuooMgesks
27,"X 1 MEX (feat. Dani Faiv)","BLOODY VINYL",716482,https://open.spotify.com/track/5gouWBHeO3hLhCUr9gSvV5
28,"In Una Benz (feat. Fabri Fibra)",Gemitaiz,712477,https://open.spotify.com/track/2BVTClVUNxuibcmulbqtCQ
29,"Il bacio di Klimt","Emanuele Aloia",702772,https://open.spotify.com/track/3E1FgPTXX203rgBTD5nlKF
30,"Spigoli (feat. Mara Sattei & tha Supreme)","Carl Brave",698050,https://open.spotify.com/track/0VSw01E3JInAaFDeYt9v8F
31,Barcellona,Ghali,680525,https://open.spotify.com/track/51zuoAf9f1DNTVmBJHVErg
32,Dynamite,BTS,678032,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
33,"22 settembre",Ultimo,673733,https://open.spotify.com/track/15RRpHBNzv0gvjIry4jyOs
34,"Marte (feat. Izi)",Gemitaiz,667016,https://open.spotify.com/track/2JYEUkULDT9o2Y4WLIDnGV
35,"Breaking Me",Topic,652858,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
36,DÁKITI,"Bad Bunny",651786,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS
37,"TELEPHONE (feat. Capo Plaza & Sick Luke)","BLOODY VINYL",643727,https://open.spotify.com/track/0ejf33zIXZlhUnCKRMWx6q
38,"MACHETE SATELLITE (feat. Salmo, Taxi B & Greg Willen)","BLOODY VINYL",628771,https://open.spotify.com/track/3CHiuPXn9ufDJhVy1xI4Jf
39,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",618229,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
40,"La storia infinita","Pinguini Tattici Nucleari",613841,https://open.spotify.com/track/0XAO6HaZDHa2HxbnWWKWCZ
41,Mediterranea,Irama,597530,https://open.spotify.com/track/2Up8QSKRV7WnZxZAQasEUq
42,QVC9,Gemitaiz,569604,https://open.spotify.com/track/39Hg30Dwak4wyX3K2SI02E
43,"Dorado (feat. Sfera Ebbasta & Feid)",Mahmood,561214,https://open.spotify.com/track/1kI7mZAziaRfBeAOraRW1i
44,"Pasticche (feat. Capo Plaza)",VillaBanks,539686,https://open.spotify.com/track/7KnC2wSD0I5Fju3A7qCFX8
