,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ZITTI E BUONI",Måneskin,905139,https://open.spotify.com/track/1lWWoec2z1j88GRblI5anV
2,VOCE,Madame,881733,https://open.spotify.com/track/1eIS75JS5rfbJpSu6ZC9EO
3,"CHIAMAMI PER NOME","Francesca Michielin",761329,https://open.spotify.com/track/7mRh8GlpYlZB6pYliqn2a5
4,"Musica leggerissima",Colapesce,635132,https://open.spotify.com/track/5vYXOk1umkpp7JhXZm6rDI
5,"La genesi del tuo colore",Irama,612232,https://open.spotify.com/track/0HyDNYQmQ3obfA81D3y9tG
6,"Mai Dire Mai (La Locura)","Willie Peyote",448713,https://open.spotify.com/track/4jmvkbDw0cuWD2Fi9VswFQ
7,"Fiamme negli occhi",Coma_Cose,446322,https://open.spotify.com/track/5qn15Hs4s26YaNd5UWVe00
8,Parlami,Fasma,403641,https://open.spotify.com/track/00QN58Gx571pB1MEuBAcmL
9,Dieci,Annalisa,371076,https://open.spotify.com/track/2lBLzzEARN8mGgHFaXYKKk
10,"LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)",MACE,328772,https://open.spotify.com/track/1uXJYnCsXy2v50y0fDEEiV
11,Glicine,Noemi,317027,https://open.spotify.com/track/3oTNtTmOOekaUDvDiqM4br
12,"Un milione di cose da dirti","Ermal Meta",305608,https://open.spotify.com/track/5kYheNyo7xHKPsUWAFzXr3
13,Amare,"La rappresentante di lista",299283,https://open.spotify.com/track/6hhuex6bSsCfgDffHJmRo9
14,ORA,AIELLO,294988,https://open.spotify.com/track/2rU4f8Ou8hZLPkyeZK2a9H
15,"Combat pop (ALBI #1)","Lo Stato Sociale",221866,https://open.spotify.com/track/67YwbwQzGL1PXKsSdHShJ1
16,"Potevi fare di più",Arisa,195272,https://open.spotify.com/track/3WcWRr8wIkwPQOTYBWjEGf
17,"Cuore amaro",Gaia,190491,https://open.spotify.com/track/6PjFhlsfcwcmngrd4MK23Q
18,"Santa Marinella",Fulminacci,168105,https://open.spotify.com/track/2tD5TzOdRk1ld9oR4iKNQG
19,"Venere e Marte (feat. Marco Mengoni, Frah Quintale)","Takagi & Ketra",160804,https://open.spotify.com/track/4O3sAZoZDIhNRcfHNuU4Ps
20,lady,sangiovanni,155744,https://open.spotify.com/track/2uyQXAGGwHuQVsu04OTVsB
21,"Torno a te",Random,149221,https://open.spotify.com/track/2vbQREBRczk9Jzpv7jDdsS
22,"Ferma A Guardare (feat. Pinguini Tattici Nucleari)",Ernia,144753,https://open.spotify.com/track/1eDC4NiUYgQSKpKDIvXxi4
23,VENT'ANNI,Måneskin,142395,https://open.spotify.com/track/34r4voojt51Kk6ax5FJI1M
24,Arnica,"Gio Evan",140759,https://open.spotify.com/track/4085y98SzDPD1cUSwYz1Tj
25,"Polvere da sparo",Gaudiano,133695,https://open.spotify.com/track/5fjEj7RX48WjsXj2nSbxeU
26,"Non Fare Così","Capo Plaza",130573,https://open.spotify.com/track/769M2rTiAoL7x2lKDHLjRa
27,"Momento Perfetto",Ghemon,128994,https://open.spotify.com/track/0ByLQuJ5fcYqbuWipVZjx0
28,"Il Farmacista","Max Gazzé",128684,https://open.spotify.com/track/3tx0Rl5JSvTVfPMuDd0CdN
29,"Hecha Pa' Mi",Boza,127819,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
30,"Morirò da Re",Måneskin,127132,https://open.spotify.com/track/1aX0Ki80LFzzhqxqRlqbAV
31,"Save Your Tears","The Weeknd",123868,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
32,"Ti piaci così","Malika Ayane",122435,https://open.spotify.com/track/76CrXIDgHoaKTdAoJGWf1z
33,"No Cap (feat. Geolier)","Emis Killa",121770,https://open.spotify.com/track/3uqFFmxrCv4nzkKFSNbXHv
