,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,ドライフラワー,優里,342326,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J
2,Dynamite,BTS,274890,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
3,夜に駆ける,YOASOBI,271619,https://open.spotify.com/track/6MCjmGYlw6mQVWRFVgBRvB
4,勿忘,"Awesome City Club",270372,https://open.spotify.com/track/0XZyF9lv6diMt4bxThOL0h
5,怪物,YOASOBI,235937,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi
6,うっせぇわ,Ado,234328,https://open.spotify.com/track/6EzZn96uOc9JsVGNRpx06n
7,群青,YOASOBI,223605,https://open.spotify.com/track/1zd35Y44Blc1CwwVbW3Qnk
8,炎,LiSA,188336,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn
9,虹,"Masaki Suda",177326,https://open.spotify.com/track/7AIj86wFWqm7X1TZ2hzHwS
10,"Kaikai Kitan",Eve,175741,https://open.spotify.com/track/6y4GYuZszeXNOXuBFsJlos
11,ハルジオン,YOASOBI,164627,https://open.spotify.com/track/08YwAPnX8sygJUXG9rvhDv
12,"Stand by me, Stand by you.",HIRAIDAI,163852,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh
13,魔法の絨毯,"Takaya Kawasaki",161178,https://open.spotify.com/track/37IPQgBkvbmH9JR5mlY6a8
14,春を告げる,yama,159675,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD
15,アンコール,YOASOBI,156935,https://open.spotify.com/track/465JzFiajJO59sUrDFsxdC
16,かくれんぼ,優里,155768,https://open.spotify.com/track/0JTjZnuciQH4M3620aMDtZ
17,裸の心,Aimyon,152542,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ
18,"猫 〜THE FIRST TAKE ver.〜",DISH//,150929,https://open.spotify.com/track/25BJRpLBe3i6d8okphoRAm
19,napori,Vaundy,143044,https://open.spotify.com/track/5Ym4egUmT9wHEvZM2anGG8
20,"Make you happy",NiziU,139035,https://open.spotify.com/track/1LnJVIG1BaHTRznuOgR0yc
21,ハルカ,YOASOBI,138251,https://open.spotify.com/track/5D9MPWdY2hjSeTIGE5n5kv
22,Pretender,"Official HIGE DANdism",135698,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU
23,たぶん,YOASOBI,135154,https://open.spotify.com/track/398dL22bDbKbAmiOnPaq7o
24,正しくなれない,ZUTOMAYO,135114,https://open.spotify.com/track/2FHexlZenTsS3lsjUYHiDx
25,猫,DISH//,131106,https://open.spotify.com/track/6sIx7Cn37DGEhjy9hBP8Gx
26,"I Love...","Official HIGE DANdism",127239,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb
27,不可幸力,Vaundy,126733,https://open.spotify.com/track/18nkY3pJTub8WwEGiQAGh4
28,白日,"King Gnu",126501,https://open.spotify.com/track/172fMG26G2OoEzzg0wn26r
29,感電,"Kenshi Yonezu",125509,https://open.spotify.com/track/6H0PLsSYMzDOqhLgyOlzIj
30,"Step and a step",NiziU,125269,https://open.spotify.com/track/5DgAgJbHcm74RyA9YKj6k1
31,115万キロのフィルム,"Official HIGE DANdism",125155,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7
32,"Walking with you",Novelbright,123659,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd
33,紅蓮華,LiSA,121500,https://open.spotify.com/track/0qMip0B2D4ePEjBJvAtYre
34,silent,"SEKAI NO OWARI",119419,https://open.spotify.com/track/6c5k0VC9TBzlcKwtjpzFW2
35,"snow jam",Rin音,116943,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG
36,創造,"Gen Hoshino",113137,https://open.spotify.com/track/359Yw4Ng9TcH667Ct2Dj6D
37,香水,Eito,109658,https://open.spotify.com/track/786dSB84yrSaICJwCT7VxP
38,点描の唄,"Mrs. GREEN APPLE",106744,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV
39,恋人ごっこ,"Macaroni Empitsu",105882,https://open.spotify.com/track/2SihT7AVMiI2VtaAyVIcnO
40,マリーゴールド,Aimyon,105442,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7
41,ただ君に晴れ,ヨルシカ,105378,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
42,キンモクセイ,オレンジスパイニクラブ,102208,https://open.spotify.com/track/7p8JJm7CT2F4k11f1DtNUa
43,"Stay Gold",BTS,101922,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ
44,Laughter,"Official HIGE DANdism",99649,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo
45,"再会 (produced by Ayase)",LiSA,97893,https://open.spotify.com/track/52IsIvHidofM9JMjw78Jyz
46,三文小説,"King Gnu",97680,https://open.spotify.com/track/7BMKWT0Vw0EKDELXLvuWCp
